Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82
15.45,105.46,44.70,230.40,255.57,241.05,97.13,127.18,75.48,106.86,167.87,97.43,172.26,75.50,25.70,256.31, ,61.77,18.16,35.38,124.17,245.47, ,231.88,79.92,176.20,213.10,113.53,16.88,263.34,137.11, ,93.42,78.83,135.18,23.79,101.41, ,46.88, ,278.76,139.96,212.28,199.21,140.26,273.22,173.08,263.16,170.98,192.32, ,27.50,235.55,148.22,264.79,261.94,173.86,164.79,210.31,59.18,31.78,139.89,141.99,120.99,76.47,196.43,89.34, , ,121.98,108.40,116.40,111.60,68.37,150.22,167.91,145.35,178.31,57.53,190.72,24.41,56.10
293.46,144.77, ,266.75,278.73,104.24,165.12,117.44,244.72,9.43,241.47,32.43,266.66,117.43,77.15,201.28,78.08,142.76,217.04,132.47,163.02,244.83,31.21,169.66,158.40,130.06,88.21,26.57,215.23,200.05,228.62,290.37,148.04,151.31,242.64,260.85,220.49,133.81,267.96,227.64, ,57.70,270.77,252.80,135.42,225.69,25.41,118.17,175.06,183.42,193.94,200.99,87.70,133.40, ,136.87,200.99,24.74,290.20,80.01,80.35,241.52,202.22,26.33,143.60,117.75,171.57,284.74,72.65,4.57,166.05, ,67.04,103.83,151.06,274.26,129.12,108.42,53.29, ,287.62, 
105.37,212.80,289.05,162.98,88.53,246.51,54.12,90.83,207.80,206.71,108.79, ,217.20,86.42,136.70,214.72,179.42,90.72,208.07,132.73,263.21, ,193.17, ,284.00, ,225.90,38.47,262.38,251.89,158.02,172.18,160.77,111.48,140.83,287.87,213.95,278.72,211.46,183.59,155.90,16.47,129.96, ,92.34,68.37,284.56,299.99,175.18,28.10,190.93,242.84,23.28,185.17,130.71,228.57,212.96,7.25,261.95,111.24,188.74,182.10,194.02,89.92,232.20,24.17,227.36,29.57,186.27,295.63,271.81, ,184.77,15.01,18.14,290.77,265.95,254.54,64.39,229.17,68.83,157.76
274.55,221.53,11.04,220.82,108.07, ,292.84,50.79, , ,163.14,93.95, ,233.20,82.95,231.48,209.57, , ,214.01,109.31,101.53,253.06,175.14,202.45,39.63,295.70,237.96,261.58,233.80,69.37,57.14,168.54,90.09,150.82,177.53, ,279.06,182.21,165.40,91.11, ,165.93,78.31,224.93, ,158.73,144.75,291.80,44.03,235.70, ,239.80, ,168.95,59.72,1.56,222.21, ,132.90,104.31,62.49,251.10,187.98,282.61,177.56,107.50, , ,245.39,197.63,172.66,74.58,12.08,146.04,166.57,63.35,190.14,0.12,263.71,27.00,251.57
74.54,40.61,122.87,142.17,0.87,31.03,238.65,75.15,147.86,63.62, ,253.77,212.71,0.76,122.01,52.38,21.63,67.17,234.32, ,254.82,17.09,129.49,28.96,40.43,146.35,88.04,57.83,271.66,125.86,274.84, ,1.40,236.31,254.66, ,256.92,175.80,111.29,229.75,209.93,17.08,74.24,115.23,230.21,284.90,159.37,129.02,261.14,220.53,178.26,151.46,216.59,109.19, ,38.94,242.47,185.22,83.37,113.99,220.55,200.34,60.25,105.64,121.22,265.00,207.49,2.38,272.75,151.85,62.18,168.77, ,53.98,283.28,117.40,264.87,99.05,78.53, ,123.01,76.35
231.27,144.17,26.50, ,178.35,25.48, ,30.13,40.31, ,84.63,151.06,169.23,290.98,209.25,70.77,114.44,220.86,2.95,124.77, ,3.13,143.29, ,173.42,264.05,293.67,57.92,98.17,94.85,174.92,127.24,293.69,104.47,39.96,69.07, , ,167.86,30.18,88.47,281.46,110.57,101.20,119.87,95.65,288.52,218.81,216.26, ,20.74, ,128.16,262.15,83.02,220.18,70.13,16.80,61.17, ,162.37,146.59,91.52,50.28,280.12,278.35,223.49,19.68,127.25,283.05,298.83,102.89,183.19,128.83,172.70,261.50,252.08,96.83,169.40,105.69,13.15,42.14
 , ,257.54, ,240.59,276.46,195.97,236.83,217.32, ,173.52,215.28,241.20,169.20,159.22,260.11,58.92,109.00,64.08,52.42,7.13,18.18,41.47,297.61,23.99,229.17,2.32,23.11,156.57, , ,167.20,188.15,16.48,68.17, ,120.60,70.84,140.46,7.57, ,56.54, ,285.71,0.75, ,244.27,84.06,2.53,12.60,177.38,187.84,109.65,66.16,22.38, ,153.99,19.52,96.36, ,82.08,282.39,51.01,198.99, ,201.52,237.64,263.70,280.04,76.37, ,8.30,7.67,107.95,100.21,143.86,72.81,250.10,138.19,281.86,136.17,238.69
144.53,186.20,10.94,187.62,70.88,196.49, ,4.45,76.81,269.91,168.42,117.76,34.03,205.47,255.04,9.90,256.89,63.73,51.74,255.75,230.07,190.76,128.27, ,205.08,104.57,159.23,190.49,34.46,288.32,264.40,115.57,57.56,205.66,208.11,81.44,294.91,93.14,61.38, ,266.46,242.76,138.40,229.69,277.64,209.56,203.45,198.87,67.80,251.03,263.35,274.94,10.80,258.87,269.43,152.52,226.39,275.08,38.47, ,16.11,195.59,47.26,298.29,273.62, ,167.12,59.56,182.61, ,141.48,19.53,237.19, ,32.47,79.87,135.28,87.05, ,186.47,167.31,119.00
238.28,8.06,222.23,137.76,200.22,77.26,67.94,175.18,46.93,162.90,240.96,204.92, ,91.39,57.61,65.42, ,228.09, ,150.33,7.33,256.94,220.18,54.52, ,137.55,157.55,99.43,229.26,18.56,95.75,177.17,30.40,286.30,282.32,108.82,163.21,295.98,171.91,204.30,224.54, ,82.09,187.53,271.56,199.16, , , ,59.52,44.01,153.04,201.70,65.37,213.59,214.70,234.03,192.04,160.85,240.66,167.68,174.71,20.42,47.20,234.11,79.11, ,232.15,54.26,69.82,107.60,33.88,65.20,85.14, ,65.28,216.88,285.69,292.52, ,39.72,291.52
269.78,299.01,274.09,95.93,172.44,175.08,96.63, ,181.76,72.92,28.49,179.99,81.39,20.29,212.23,130.33,180.75,57.69,74.05,178.61,283.40,293.04,178.77,248.91,97.38,7.57,11.63,140.05,60.07,231.83,71.31,30.99,162.12,34.75,199.63,54.12,295.50,72.74,280.48,234.79, ,242.36,55.11,43.79, ,204.13,162.28,142.11,227.51,281.94,240.40, , ,64.60, ,137.34,22.17,280.17,202.47,3.76,52.43,105.72,251.68,104.69,27.79,154.63, ,116.89,161.47,266.94, ,8.62,208.98,222.42,130.81,111.67,82.47,182.12,106.52,73.88,60.93,209.17
133.69,32.45,50.54,73.05,188.56,40.04,112.45,286.69,87.34,77.83,262.47,58.01,93.76,280.20,233.55,70.25,78.43,173.36,127.65,105.58,28.07,113.75,108.08,83.78, ,161.61,161.28,123.25,215.33,210.47,188.69,140.27,178.25,129.29,70.62,112.80,103.76,200.58,66.50,28.05,199.85,27.16,11.23,291.40,105.54,296.58,1.70,250.16,79.82,187.17,155.14,237.27,258.40,203.19,138.88,286.82,120.90,99.86,164.39,58.70,293.13,264.16,192.13,174.78,293.77,122.39,61.93,107.82,197.50,45.22,242.24,75.11,46.02,195.28,266.22,180.33, ,144.49,201.38,128.97, ,190.92
201.49,55.37,273.18,20.32, ,262.56, ,25.71, ,220.99,205.55,187.19,184.22,119.09, ,248.06,143.07,254.65,91.84,53.87, , ,83.41,36.75,16.50,230.31,283.45,161.37,124.36,42.64,145.36,246.53,87.18,232.40,134.15,51.84,89.25,262.21,266.86,6.52,61.42,239.18,173.99,203.29,126.81,154.38,74.17,65.59,190.51,203.17,22.23,212.68, ,174.90,236.60,290.66, ,227.48, ,101.47,183.45,86.49,254.19,203.55,124.26,245.61,268.07,144.48,182.95,192.82,240.11,231.70,49.38,158.26,147.14,168.18,59.54,159.96,13.33,68.84,128.42, 
96.49,104.32,167.67,212.41,0.39,157.22,91.21, ,299.71,49.16,201.93,122.56,122.44, ,191.28,253.83,233.32,190.45,69.90,97.92,283.63,24.14,29.48,165.05,115.06,168.07,238.32,105.52,99.22,125.62,214.90,196.23,129.77, ,199.67,283.78,128.42,206.12,111.58,134.31,136.52,98.56,109.02,224.99,174.55,234.85,81.30,61.28, ,147.95,43.74,99.15,121.16,131.84,292.82,224.74,289.81,21.87,204.47,34.27,271.76,248.55,281.97,198.08,106.92,26.85,38.77,76.39,7.25,250.36,61.52,223.38, ,245.25,175.02,194.89,14.21,137.28,77.52,49.09,207.05,15.86
133.89,134.10,149.11,244.19, ,119.30,155.18,17.80, ,60.25,153.60,6.24,225.47,91.01,72.77,69.68,55.77, ,189.87,79.60,141.59,36.03,1.34,50.74,207.00,79.39,169.22,123.93,79.32,251.11,280.46,123.56,4.93,299.57,224.53,126.99,7.95,27.01,54.22,28.44,93.38,78.91, ,202.84,41.00,73.81,90.99,218.44,27.91,159.64,170.11,49.70,246.76,263.24,266.93,284.49,134.38,7.07,54.00,219.68,20.44,189.89,16.47,271.49, ,131.13,224.02,16.78,16.70,123.50,196.43,257.24,298.87,131.66,103.56,15.53,62.01,88.46,25.48,144.93,250.71,36.95
46.00,34.99,283.22,35.45,22.98,4.23,42.25,117.71,177.46, ,239.47,132.85,167.74,257.84, , , ,155.09,28.28,42.59,48.56,191.15,70.74,93.40,31.28,258.81,44.34,148.21, ,261.11,165.70,291.93,152.85,1.15,294.75,175.34,239.80,197.40,24.13,104.75,124.06,95.93,60.20,181.01,235.17,1.13,61.07,246.93,259.55,46.67,139.32,260.55,175.41,90.46,250.75,36.65, ,132.58,271.26,288.62,166.87,219.19,191.81,214.67,171.80,152.40,2.07,86.66,249.83, ,149.36,66.85,270.17,18.58,249.16,66.40,117.16,86.41,88.95,299.57,170.47,47.08
164.39,83.23,71.33,117.22,223.21, ,193.38,125.28,111.13,37.57,192.72,64.75,23.66, ,218.34,139.51,230.45,86.93,249.47, ,66.69,264.73,185.66,112.72,129.27,86.51,202.19,101.55,256.85,30.36,43.55,73.55,194.69,95.91,26.92,249.89,33.13,44.36,72.72,229.73,80.93,68.83,295.46,250.07,295.60,186.35,244.68,48.13,37.34, ,64.27, ,157.88,212.25,50.13,59.33,186.96,296.09,123.38,126.18,243.86,53.89,160.93,90.10,137.95,53.10,191.71,183.33,282.67,251.84, ,11.17,267.51,8.74,274.81,49.49,244.15,102.16,32.20,164.45,238.68,294.36
183.61,7.70,128.35,185.04,183.83,173.80,47.64,74.65, ,124.14,126.98,172.87,27.60,65.79,212.29,263.23,241.30,44.36,237.26,59.54,31.47,272.21,3.39, ,25.84,81.59,164.57,269.42, ,243.03,73.46,189.37,191.98,145.60,5.17,83.99,181.27,20.47, ,23.86,255.72,45.83,146.25,114.31,276.31,58.70,292.38,297.37,106.01, ,42.35,257.53,197.92,241.79,292.29,242.25,195.77,46.36,138.20,47.40,233.07,12.58,258.69,38.43,32.61,162.43,299.67, ,197.59,143.09,251.05,58.22,278.92,297.94,188.37,259.41, ,225.72,228.84,81.42, ,114.03
34.60,133.41,90.29,113.32,146.97,16.52,15.95,255.36,207.45,268.60,285.97,92.58,85.22,222.22,149.17,186.23,225.24,38.33,50.64,248.90,216.01,102.80,260.87,245.85,201.89,35.17,70.82,28.66,104.75,208.52,287.12,137.70, ,176.03,165.02,176.79,243.69,165.43,103.08,121.50, ,35.94,13.36, ,42.02,239.07,171.30,280.02,30.70,80.44, ,245.46,297.06,178.10,173.52,242.36,175.24,222.60,220.33,17.93,277.98,293.73,152.02,250.89,217.42,198.50,263.54,58.55, ,236.65,25.57,42.25,165.64,45.29, ,281.25,231.00,75.46,230.09,111.45,45.54, 
244.05,287.78,211.57,240.06,48.27, ,90.52,4.25,133.60,222.87,175.81,74.07,78.59,178.75,185.14,218.90,168.34,197.17,283.48,196.41,193.83,270.31,250.35, ,83.96,253.74,231.43,272.88, ,277.05,76.22,285.75,71.58,67.03,110.45,114.32,182.21,168.90,292.49,127.07,203.21,277.11,114.12,74.90,270.90, ,47.12,44.03,285.72,109.28,8.58,68.80,42.00, ,194.52,3.59,92.80,204.27,8.82, ,83.72,125.52,73.49,49.82,214.89,15.65,290.02,183.96,39.67,135.76,120.48,227.59,297.99,46.34,143.22,222.52,79.95,62.62,220.68,270.97,147.98,159.73
10.85,196.81,269.65,274.53,237.76,232.19,36.52,3.65,43.26,106.68,274.20,276.65,281.73,30.45,234.24,267.70,233.87, ,203.52,270.14,134.83,225.85,208.77,74.23,247.64,195.18,274.60,47.51,46.21,199.93,229.37,143.61,23.98,170.07,205.19,221.15,12.46,110.60,51.38, ,299.02,204.93,159.83,117.38, , ,229.24,41.88,35.13,43.33,86.41,248.45,191.98,239.08,99.07,90.35,170.06, ,74.98,28.97,276.63,59.99,287.52,131.02,286.65,50.20,133.76,278.35,213.00,299.46,65.89,42.32,29.83,218.94,290.94, ,267.57, ,56.71,160.71,0.59,235.09
177.26,71.81,129.23,122.42,236.77,288.47,238.11,110.79,123.12,104.96,69.30,181.52,104.87,13.75,189.60,156.24,17.69,222.46,212.85,275.61,233.20,128.72,282.37,28.36,41.24,77.82,244.48,236.56,1.57,154.80,199.14, ,216.82, ,63.74,225.37, , ,3.42,29.88,69.78,91.29,191.56,221.56,128.45,185.38,108.42,21.19,51.22,224.38,159.70,142.23,27.47,243.64,274.05,16.69,31.76,154.84,277.09,59.36,234.51,235.56,284.93,50.48,235.97,26.45,262.98,180.74,12.46,21.34,97.89,30.33,146.02,52.97,261.56,228.65,57.08,238.99,120.96,78.15,264.33, 
227.30, ,217.75,157.70,272.24,277.12,85.24,187.73,246.25,250.54,45.34,39.12,49.62,273.80,217.01,232.37,165.43,102.94,191.39, ,163.63,299.40,1.47,53.92, ,203.20,243.70,97.83,232.88,142.89,275.22, , ,129.51,113.24,93.41,193.09,168.26,115.08,110.80,88.37, ,291.57,250.10, ,232.92,285.98,79.67,135.72,168.80,234.70,197.68,286.67,143.79,200.10,189.38,196.48,261.39,269.32,152.99,140.63,82.43,161.72,87.81,86.57,262.67,238.65,49.37,251.12,80.25,152.03,162.13,247.38,251.40,125.62,126.13,190.30,92.86,70.66,49.46,137.28, 
75.93,227.86,123.59,81.50,273.05,136.94,298.50,272.95,86.08,41.34,267.64,145.19,20.56,69.12,163.14,56.28,253.70, , ,105.17,52.10, ,189.04,71.45, ,286.65,150.07,287.90,277.89,137.37,158.95,176.24,287.72,261.16,216.67,18.72,223.30,100.07, ,199.84,109.35,54.35,122.64,32.82,60.23,77.73,24.86,234.93,271.94,8.11,84.13,232.09,132.89,206.04,262.75,196.83,78.45,117.01,33.52,141.45,15.75,152.43,203.40, ,175.34,95.66,38.94,20.79,138.14,50.95,286.44,164.11,235.29,175.55,148.81,277.83,41.13,95.00,100.41,169.29,137.17,64.45
270.19, ,108.32,71.97,95.38,239.71,164.09,29.46,203.81,278.30,95.97,241.37,275.72,47.00,260.89,15.91,282.13,158.01,210.09,166.05,158.79,159.37,160.75, ,64.56,1.66,39.65, ,217.36,276.02,104.15,276.29,73.90,221.22,48.87,161.90,136.77,20.67,43.57,184.97,245.98,68.58, ,245.55,85.66,285.23,202.39,26.30,296.04, ,227.96,74.97,248.50,110.55,207.88,150.59,221.04,221.50,253.47,235.16,175.45,247.91,235.79,251.77, ,236.49,94.05,276.88, ,188.62,187.75,148.58,189.36,134.90,59.23,200.66,51.06,27.79,1.58,169.02, ,35.11
 ,129.16,100.60,78.50,7.54,85.72,4.59,225.73,85.93,227.87,279.35,62.70,277.89,270.71,17.62,182.01,16.24,67.37,24.26,106.05,112.11,187.91,166.84,256.19, ,184.06,77.94,2.06,140.88,55.79,83.96,169.79,264.55,58.79,205.23,187.45,16.77,124.93,246.06,89.67,37.16,138.19,136.71,200.17,206.59, ,290.55,135.16,168.82,40.75, ,245.40,158.39,216.88,95.64,221.89,61.77,159.03,74.15, , ,273.33,230.28,237.36,73.86,3.37,260.07,11.37,91.25,167.64,153.07,171.07,148.59, ,7.62,108.15,173.04,276.70,12.75,57.21,289.27,150.66
 ,104.25,142.08,260.39,203.63,273.01,188.41,7.56,129.22,30.56,13.41,109.28,125.78,190.48,13.95,123.73, ,227.99,245.71,144.23, ,257.69,101.83, ,109.38,179.26,99.08,263.17, ,96.44,145.81,10.96,153.94,252.97,62.68,203.27,281.05, ,238.74,15.12,137.19,153.36,74.26, ,37.43,149.42,202.45,120.79,154.98,48.11,232.29,244.77,296.96,294.27,164.55,225.37, ,49.87,235.06,55.19,161.56,112.78,122.19,116.22,262.98,83.71,23.24, ,158.81,241.51,101.71,234.49, ,153.10,158.19,201.07,51.52, ,164.30,255.31,174.28,235.29
74.62,288.47,21.92,160.59,0.35,69.49,289.38,87.95,283.13,267.39,227.64,29.62,88.07,64.24, ,299.53,50.46,216.05,27.68,180.17,63.68,60.60,131.85,86.47, ,262.58,65.17,195.56,282.16,79.72,245.98, ,173.56, ,89.61,79.37,5.77, , ,131.09,280.09, ,178.26,264.18,250.47,239.37,136.57,124.98,168.99,228.92,286.54,132.15,59.99,117.91,201.69,261.55,246.24,118.42,163.48,168.31,237.01,159.21, ,284.19,199.68,185.48,151.26,74.37, ,59.46,56.55,47.45,77.97,296.28,118.18,278.99,273.72,94.17,289.57,117.12,24.53,131.60
 , ,41.12,223.77,177.79,61.72,298.42,218.92,36.08,154.47,23.58,231.05,261.12,242.60,166.74,60.08,233.88,296.03,289.67,75.58,200.12,92.69,276.99,193.24,48.70,28.14,175.90,190.03,179.81,215.26,99.75,44.89,168.52,8.63,260.72,25.63,221.51,59.38,129.92,211.58,0.33,250.90,198.90,13.25, ,228.51,73.30,170.15,72.37,115.57,171.79,256.18, ,74.50,19.79,44.62,83.04,171.08,221.18,174.86,148.69,162.94,221.72,144.10,139.15,144.22,226.95,25.88, ,100.38,185.07,96.19,87.85, ,121.79,57.51,296.74,145.06,180.14,226.46,95.43,79.40
135.31,283.64,265.92,261.57,34.00,113.68,54.22,137.97,17.12,172.65,101.67,173.54,84.49,6.05,165.61,119.57,91.80,162.10,252.14,75.21, ,188.88,144.26,274.55, , ,192.91,271.70,48.21,295.11,259.56,13.82,294.60,136.81,176.83,49.94,269.74,90.54,172.67,2.32,255.07, ,147.98, ,58.61,242.46,234.24,228.75,247.03,262.78,21.15,278.38,140.12,107.17, ,279.84,109.06,120.53,144.31,10.01,27.11,75.72,30.28,9.58,224.77,241.11,254.08, ,25.17,235.12, ,41.86,16.96,239.24,123.13,106.00,216.81,229.18,213.95,270.26,237.78,156.46
203.65,259.61,135.70,125.77,31.95,80.23,18.57, , ,103.03,274.83,125.51,12.37,163.47,262.99,177.67, ,81.32,239.75,65.67,97.75,152.15,113.95,283.95, ,125.65,79.85,256.28,4.49,244.82,251.28,269.20,27.24,210.27,189.09,22.89,280.00,161.44, ,62.50,3.97,54.99,229.81,196.70,159.96,79.99,116.63,297.11,15.03,155.85,135.55,295.14,18.10, ,263.49,68.78,226.28,247.82,148.55,63.40,263.24, , ,45.38,288.26, ,234.72,38.77,184.92,215.10,85.66,166.51,290.17,234.24,7.16,57.45,164.34,73.67, ,64.82,156.36,129.45
287.80,261.65,161.19,273.16,81.21,230.72,184.71,23.42,297.22,151.07,288.71,181.33,297.10, ,153.46,49.73,287.02,37.99,187.18,18.24,114.76,182.12,97.49,227.35,169.40,42.16,40.43,158.38,231.50,42.51,103.76,161.31,118.24,135.86,232.84,256.81,66.88,251.53,11.11,55.46, ,97.62,271.03,15.95, ,120.48,48.49,228.02,15.02,109.10,51.67,4.98,89.53,147.42,236.22,219.94,39.04,89.30,121.56,212.55,84.85,50.59,257.26,43.14,24.86,123.15,194.17,85.02,199.98,24.75,90.97,127.88,95.22,26.60,38.50,131.61,272.17,256.69,160.81,201.70,152.06,262.21
152.98,29.92,279.67,189.16,299.37, ,94.59,227.25,272.71,142.98,138.57, ,68.00,52.57,71.67, , ,250.85,81.11,200.49,35.45,131.43, ,32.07,40.90, ,13.61,283.77,264.28,162.41,194.95,1.98,119.61,0.50,144.05,51.24,142.39,134.19,121.51,5.89,281.77,91.71,90.92,105.04,84.44,87.49,182.43,246.01,85.99,72.50,28.12,274.58,210.43,144.33,49.65,282.87,115.44,26.80,150.07,261.57,99.29,213.90, ,159.92,224.51,56.25, ,179.99,5.06,237.90,122.35, ,105.22,115.06,45.77,29.86,282.99,276.90,178.28,170.56,242.38,144.62
