Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41
261.88,268.71, ,111.61, ,260.35,260.58,17.35,103.53,34.62,102.64,127.17,28.16,167.80,272.77,181.37,97.59,85.94,246.60,262.15,13.66,232.05,267.71,222.41,127.50,133.51,278.32,155.16,5.50,199.95,128.49,247.60,174.60,185.88, ,215.65,280.05,33.17,5.34,80.03,42.44
297.61,65.93,247.62,5.66,235.03,37.86, ,183.04,162.97,156.44,176.61,298.93,228.35,238.56,273.90, ,40.64,223.00,226.00,79.82,27.29,79.54,195.39,249.50,171.99,121.61, ,259.17,73.29,242.55,34.27,163.10,105.77,108.55,150.47,16.39,33.37,112.69,117.61,291.57,249.57
34.81,113.81,50.62,160.50,237.44,39.91,180.70,28.58,100.66,272.34, ,115.95, ,280.55,147.20,116.67,139.31,243.20,77.71,196.35,97.50,199.22,163.72,187.73, ,286.04,263.01,47.25,40.18,157.44,294.73,266.81,241.14,86.74,13.25,240.08,266.12,189.10,122.30,152.80,249.89
 ,151.04,23.47,10.15,113.14,147.98,242.05,230.76,193.08,83.60,191.65,97.27,92.66,246.80,21.97,268.66,179.70,216.76,150.88,4.91,151.41,267.78,250.20,286.18,187.38,176.56,120.67,195.39,203.49,173.93,276.79,100.30,61.26,68.19,84.38,248.52,132.66,131.53,43.66, ,83.52
176.07,292.11,237.31,255.63, ,82.91,113.72,72.30,264.94,228.11,126.50,120.53,156.44,281.00,99.54,180.99,293.41,206.69,55.58,81.61,184.21,106.65,7.53,188.51,145.20,279.47,22.40,73.15,95.81,79.32,261.98,92.65,209.67,97.50,156.85,230.00,76.66,13.79,165.93, ,237.43
12.68,99.66, , ,72.21,261.38,146.71,105.24,136.37, , ,253.53,67.39,216.39,227.11,155.33,217.66,231.59,257.58,147.11,160.46,42.59,26.85,151.85,98.88,30.67,25.03,143.00,186.61, ,60.05,11.21,58.53,5.97,184.26,130.59,136.19,151.76,221.13,195.72,78.09
143.05,30.86,24.86,295.45,133.04,254.66,33.86,142.79,60.92,247.78,184.34,138.44,60.50,185.71,135.04,75.85,66.00,267.36,175.27,41.11,60.79,221.28,172.55,18.37,110.71,222.52,265.91,86.81,150.51,23.37, ,5.30,254.91, ,205.29,195.76,85.77,226.32, ,205.67,47.82
168.86,76.27,15.40,245.15,101.15, ,7.85, , ,7.24,137.45,154.43,88.94,103.12,275.43,227.40,296.57,75.33,94.63,125.60,72.44,287.52,87.67,295.95,208.55,245.09, , ,53.89,268.43,185.64,81.49,275.01,48.86,265.59,186.04,203.59,133.13,142.14,283.43,41.60
281.84,15.01,201.05,75.87,282.37, ,157.09,180.18,284.91,235.10,204.96,18.94,195.49,58.39, ,35.65,55.27,16.05,86.26,232.11,110.10,247.50,291.81,43.63,162.54,199.27,202.23,35.91,147.34,143.85,211.43,226.21,88.32,2.23,139.05,38.80,20.97, ,218.36,278.15,28.94
30.65,209.78, ,187.45,180.38,173.25,6.50,144.39,166.56,135.62,158.46,288.30,187.11,20.03,180.97,100.46,267.02,218.62,258.39,96.20,17.29,154.89,218.86,43.56,68.08,195.38,105.12,288.87,199.22,156.49,28.56,122.49,11.89,272.51,77.63,67.46,270.74,295.58,245.83,109.60, 
38.10,276.31,98.07,145.30,12.73,41.31,122.36,231.96, ,243.27,54.40,181.46,296.03, ,186.47,211.62,208.64,151.91,89.77,138.42,279.52,278.74,35.97,26.59,11.72, ,207.72,0.82,263.83,262.32,81.08,117.15,41.93,152.84,17.51,58.76,18.65,122.18,182.09,293.37,185.98
233.40,31.73,297.19,79.60,118.65,255.05,252.99,6.23,147.47,166.11,240.10,274.39,93.68,6.79,72.01,79.79,119.91, , ,125.08,133.40,268.14,246.01, ,136.79, ,211.27,205.14, ,25.05,292.83,185.58,114.71,124.90,296.64,109.62,222.56,35.15,247.84,49.16,226.99
71.86,136.62,296.49,42.99,14.27,243.02,152.98,240.64,236.99, ,280.92,19.94,194.45, ,1.60,91.73,255.83, ,52.97,246.19,222.25,80.84,241.18,41.47,256.69,56.28,73.44,157.20,83.72,11.80,257.98,286.88,92.49,3.21, ,142.05,145.92,221.14,2.23,241.30,117.05
257.71,61.84,217.80,223.11,107.67,233.56,87.48,260.42,177.34,98.14,53.54,141.93,148.99,284.63,86.64, ,228.78,181.96, ,116.75,5.83,95.72,174.05, ,71.37, ,10.84,90.82,20.11,171.26,106.48,295.30,236.18,292.25,293.67,111.71,131.50, ,281.46,5.65,97.38
147.97,182.96,177.72,288.32,8.04, ,120.12,139.27,3.26,297.58,161.41,48.07,94.41,210.42,178.30,291.92,5.94, ,257.78,45.78,275.38,126.40,77.29,48.23,167.16,260.54,22.80,142.80,170.40,175.61,137.42,290.19,18.66, ,264.02, ,23.28,68.83,152.74,230.52,270.73
264.45,245.47,219.77,22.47, ,265.97,171.59,47.72,179.67,132.95,48.95,185.22,60.04,138.25,107.60,254.72,79.32,182.36,85.30,44.46,284.49,17.98,256.57,281.78,150.48,266.91, ,53.96,273.05,53.51,183.73,11.67,148.33,24.94,256.25,26.40,32.05,260.78,216.06,59.81, 
298.29,194.73,9.54,58.53,214.89,21.28,9.35,17.62,288.56,243.36, ,275.09,284.85,288.76,274.97,240.35,185.46,34.17,71.47,244.29,250.65,263.33,81.70,183.24,126.63,72.19,38.78,135.51,253.94,274.21,267.94,164.11,16.48,254.44,212.15,73.69,292.97,37.61,223.42,17.94,277.45
246.67,293.60,289.06,49.71,177.51, ,249.61,266.70,24.66,220.04,140.98, ,92.53,260.22,254.15,109.30,256.61,23.20,251.37,89.42,49.64,270.38,40.19,45.08,249.30,75.84,143.64, ,77.49,213.48,29.57,99.35, ,159.74,206.64,232.89,40.83,147.99,82.68,207.98,293.40
270.53,233.32,112.02,48.61,209.56,160.42,168.73,213.62,2.49,232.70,194.98,244.45,228.63,274.48,51.68,240.83,123.55,295.38,245.53,277.25,31.93,194.07,137.97,173.69, ,184.35,228.12,98.31, ,88.60,99.74,169.39,151.40, ,116.85,287.77,84.33,164.83,256.85, ,29.59
198.97,35.44,262.55,79.40,241.20,247.63, ,52.37,227.79,230.58,174.05, ,230.64,173.11,268.07,214.43, ,255.38,113.24,171.00,13.08,240.87,42.97,34.21,207.32,175.39,89.82, ,20.42,133.66,4.66,17.74,258.61,1.59,35.80,243.12,4.09,69.12,89.55,223.21,112.70
268.14,205.80,241.59,292.39,296.47,65.60, ,247.13,74.18,186.88,102.50,155.53, ,234.82,252.81,15.44,253.47,294.31,241.44,15.62,202.50,5.00, , ,246.32,181.14,149.40,288.12,201.86,279.24,256.74,7.24,253.56,134.70,268.65,118.05,91.52,144.30,258.49,61.41,59.53
81.32,200.01,62.31,240.75,144.90,111.38,41.19,188.67,220.38,227.10,10.04,121.90,87.56,219.04,252.19,205.91,210.66,71.19, ,23.38, ,23.55,156.56,242.89,39.27,294.33,192.68,158.44,241.24,285.01,169.26, ,211.12,86.98,200.18,229.96,225.61,247.54,78.89,256.14, 
212.93,167.53,91.62,207.50,173.79,150.02,270.93,35.67,48.12,73.03,298.20,258.07,213.19,43.29,159.02,102.61,294.60,68.49,24.23,270.05,205.79,213.43,31.45,197.60,5.70,121.89,240.09,16.37,189.48,162.44,240.70,154.13,185.58, ,83.19,282.73, ,296.61,10.19,154.13,69.31
253.59,49.72,0.77,144.58,158.11,293.20,97.50,143.93,187.13,78.48,147.40,112.50,257.07,98.26,9.47,105.98, ,182.30,198.71,257.12,278.37,216.78,73.01,40.09,133.97,2.86,271.05,226.51,61.14,243.45,265.23,159.75, ,200.94,238.73,142.20,39.04,57.94,170.07,44.86,102.07
