Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109
96.05,56.58,118.88,3.56,195.70,92.65,200.40,226.09,173.05,202.30,110.30,211.17, ,214.67,278.76,111.15,120.93,266.84,118.48,79.83,159.63,221.96,80.68,97.41,263.80,141.90,112.19,104.57,286.94,181.44,44.11,175.95,292.18,241.31,106.73,239.97,201.41,137.67, ,235.08,216.48,63.58,49.16,214.45,264.64,233.64,277.79,106.29,218.41,84.14,55.81,269.04,6.69,159.84,83.65,210.47,31.89,110.01,251.76,133.26,258.14,146.75, ,253.04,211.54,162.89,257.94,209.66,274.85,139.95,124.27,174.11,266.76,234.41,99.93,181.07,217.00,163.08,241.09,231.67,18.24,93.25,62.72,256.28, ,96.23,167.80,175.33,297.87,226.61,123.42,226.74, ,174.71,255.40,118.97, ,137.21,61.68,44.36,69.67,108.11,83.16,197.00,268.12,281.98,240.55,80.21,245.16
42.00,138.09,66.97,126.24,6.80,17.56,252.51,133.11,253.13,36.53,174.74,45.01,199.38,262.12,152.85,162.27,155.28, ,222.26, ,126.44,66.83,83.50,231.23,79.96,132.87, ,7.61,79.51,20.52,126.45,217.92,162.37,189.01,165.42,188.26,237.70,111.15,4.08,12.93, , ,53.55,231.80,148.08,225.49,76.38,168.70,85.66,107.07, ,272.49,82.06,23.64,127.97,6.72,118.27,168.91,280.95,247.37,43.94,267.60,35.08,81.23,105.19,136.44,6.10,165.80,125.75,90.80,294.77,212.18,24.93, ,5.89,75.98,20.88, ,233.42,35.13,99.13,126.95,220.19,44.50,221.22,275.42,123.96,109.55,83.22,117.23,140.36,287.82,115.06,203.96,92.24,63.13,79.42,126.94,23.15,85.59,41.67,256.39,31.19,201.77,200.42,26.25, , ,229.14
36.56,276.72,72.19,20.18,229.94,151.22, ,236.81,60.22,153.85,29.02,127.63,120.20,169.69,259.81, ,188.05,223.21,49.13,204.63,147.02,216.42,87.66,235.06,295.19,138.96,261.90,48.67,178.95,275.01,155.11,130.04,79.09,207.94,48.66,197.53,247.14, ,34.80,128.98,44.11,158.89,23.76, ,129.09,209.12,136.51,262.87,107.39, ,15.32,68.47,67.72,75.03,158.08,230.60,129.76,48.92,239.86,206.28,201.77,162.80, ,227.03,105.92,10.71,49.74, ,177.63,158.34,130.30,62.50,3.47,35.60,180.90,125.08,229.14,90.05,32.72, ,1.47,53.39,161.07,193.09,280.76,213.59, , ,295.92,233.48,68.52,69.09,110.95,273.12, ,65.07,175.74, ,211.08, , ,240.55,127.41,218.97,154.73,271.01,223.90, ,292.42
107.92,1.32, ,139.12,74.59,86.25,181.64,296.05,69.48,143.07,157.90,237.89,253.04,163.29,113.39,169.35,10.04, ,274.23,144.20,289.85,270.99,35.49,144.53,37.81,244.38,239.03,172.59,259.46,114.95, ,17.07,198.63,211.50,1.34,47.91,116.62,157.08,237.25,109.62,163.22,282.93,129.77,270.51,248.82,196.38,246.88, ,145.51,2.47,241.90,97.13,245.86,285.07,236.15,20.57,273.70,257.64,41.09,42.14,195.83,18.90,41.01,72.02,172.91,235.74,203.73,242.80,31.78, , ,38.35,242.64,292.42,83.68,147.29, ,43.12,174.93,260.96,96.19,280.19,83.23,74.42,37.80,147.88,284.54,4.02,58.45,58.07,99.74,106.02, ,149.13,122.54,106.47,269.49,210.01,37.18,214.59,42.80,1.17,123.13, , ,175.43,246.86,128.30,240.17
286.05,199.37,262.61,38.42,259.79,72.28,253.43,150.26,125.46,4.71,268.41,137.38,45.76, ,174.07,218.17,108.73,127.29,270.09,255.74,92.91,274.47, ,261.33,153.84,91.58,35.39,175.75,203.83,256.99,95.58,100.00,188.39, ,105.72,283.92,279.75,265.63,166.73, ,106.87,2.34,135.62,258.45,210.49,232.88,44.11,247.15,51.96,251.58,241.27,186.68,8.89,268.35,130.25,178.65,68.65,135.58,218.72,215.63,256.31,296.69,176.97,144.52,79.39,131.69,125.23,23.39,281.90,97.22,83.33,49.26,156.86,56.24,278.87,204.79,120.39,235.59, ,80.11,224.72,57.98,1.43,268.77,58.25, ,170.39,208.63,195.81,104.50,141.07,223.93,18.55,247.33,41.69,34.25,17.38,25.96,211.87,231.53,160.57,280.18,235.87,250.62,254.30,83.74,138.49,141.22,52.00
111.18,181.21,61.66,55.87,161.36,189.94,15.16,284.93,81.46,184.14,52.49,87.21,233.80,143.90,82.74,163.57,289.59,39.35,243.37, ,104.73,28.80,78.12, ,73.46,103.36,192.85,96.04,292.09,205.76,104.86,31.90,182.43,13.21,72.73, ,211.60,79.96, ,158.08,141.50,180.47,189.14,100.72,53.38,15.02,228.80,247.65,88.30,282.18, ,54.91,68.85,119.40,206.90,6.89,219.84,107.08,127.56,265.42,233.79, ,192.93,247.63,247.71,270.66,137.44,284.80,91.36,14.93,158.21,247.06,13.10,191.90,13.04,143.22,6.09, ,199.02,201.14,136.18,10.26,74.51,50.87,124.13, ,64.30,78.22, ,91.33,137.09,209.87,112.35,215.48,289.16,202.25,154.11,127.38,104.50,197.14, ,21.27, ,85.57,235.10,263.09,293.77, ,203.64
107.91,225.05,228.45,23.95,193.66,246.13,166.88,255.16,19.94, ,176.82,197.67,158.94,138.35,260.95,56.35,241.83,195.57,224.08,87.48,128.79,288.97,16.74,141.98,156.93,218.75,180.42,145.67,277.19,192.06,117.94,208.66,244.04,123.29,39.36,210.95,60.64,54.96,36.91,116.37,15.35,227.58,151.55,235.12, ,127.19,175.21,275.53,19.63, ,187.75,269.04,287.26,298.63,107.07, ,223.44,254.51,156.95,110.11,85.41,287.47,5.73, ,281.26,7.82,155.92,180.15,294.28,154.65,209.64, ,148.80,257.82,143.73,253.59,44.97, ,32.44,198.43,239.78,292.77,240.72,143.18,273.65,288.28,130.37, ,158.82,275.18,150.03,231.41,72.75,142.63,8.83,163.88,34.00,196.73,284.30, , ,19.07,93.45,92.61,237.37, ,212.55,188.12,299.49
104.21,134.37,284.70,233.55, ,277.12,244.20,130.80,66.59,31.21,297.23,151.41,75.26,147.14,77.61, ,69.35,118.69,52.47,132.32, ,94.91,77.45,224.56,108.08,58.12,151.19, , ,289.95,192.09,181.71,15.69,39.06, ,242.78,246.63,36.98,170.00,16.13,224.68,17.18,282.50,67.02,119.59,27.80,261.71,39.68,180.58,270.47,207.44,230.04,288.35,92.75,267.14,67.46,33.25, ,15.75,174.69,60.71, , ,206.01,258.36,126.86,107.89,230.00,235.97,9.49,176.81,170.14,235.30,18.94,169.63,261.06,88.29,288.62,240.44,115.98,32.06, ,139.95,151.36,184.75, ,87.75,38.42,97.91,19.85,293.65,151.54,233.80,276.47,109.52,117.05,115.71, ,37.07,117.13,150.15,123.86,89.63,59.14,34.00,67.37,26.50,2.39,190.66
257.68,51.74,230.13,290.31, ,27.38,262.72, ,264.60,239.17,275.77,101.75,31.17,160.63,125.98,38.89,105.23,129.71, ,59.84,161.47,279.81,207.38,104.67,207.13,65.00,120.12, ,129.89,232.23,152.16,153.53,74.85,187.61,115.73,264.40,220.24,229.76,10.86,213.76,79.41,201.68,178.23,103.88,59.47,298.63,94.32,102.68,110.92,73.73,49.07, ,269.31, ,78.41,278.65,289.15,50.28,98.83,155.81,236.62,238.81,126.92, ,229.60,198.34,276.03,268.95,1.60,155.77,16.67,86.62,297.39,59.11,243.51,44.03,224.24,85.03,86.24, ,15.84,145.25,296.49,204.68,271.85,166.43,159.61,166.44,172.06,227.56, ,215.18,100.85,63.64,298.92,4.05,165.71,91.08,21.00,6.11, ,149.05, ,8.65,279.44,244.82,104.65,245.20,109.42
 ,173.05, ,22.93,103.99,260.49,290.07,256.41,13.16,145.23,102.59,283.99,30.97,72.60,233.91,155.44,63.84,216.38,172.84,231.76,127.95,171.89,173.75,114.20,117.89, ,220.49,82.14,144.27,75.12,244.87,135.33,156.76,204.58,22.84,84.30,271.83,171.56,150.30,204.05,117.75,135.36,276.77,40.76,228.46,100.92,208.80,161.52,86.25,218.10, ,2.40,181.82,280.32,129.26,175.72,97.93, ,136.17,219.33,136.99,292.81,21.12,174.16,267.18,248.75, ,158.74,178.27,166.64,12.23,138.77,162.36,227.14,72.87,83.52, ,231.32,18.00,144.23,135.08,152.57,296.70,242.56,100.35,51.02,295.35,97.71,209.28,110.45,107.29,157.00,133.64,299.71,40.75,43.80,255.35,259.65,118.45,136.43,185.33,177.73,234.38,64.00,9.85,217.14,228.00,174.22,162.45
213.29, ,257.09,273.22,38.69,271.92,61.69,126.23,68.45,183.53, ,27.19, ,244.32,173.37,45.09,180.91,148.30,236.88,163.15,258.85, ,230.77,197.05,268.97,189.93,29.73,46.81,287.55,1.24,165.55,203.50,200.61,248.86,59.40,147.87,13.10,104.86,192.44,65.35,148.12,137.29,189.09,234.77,176.27, ,41.82,238.56,156.32,91.24,120.48, ,89.98,38.62,102.45,196.77,92.46,123.08, ,12.17,157.51,290.13,223.86,49.23,174.33,223.49,46.59,111.05, ,269.64,28.80,5.19, ,97.65,62.96,193.20, ,50.72,131.38,187.80,193.47,37.66,273.71,145.61,114.28,151.64, ,180.44,260.44, ,58.09,158.85,269.68,226.75,197.93,164.63,221.46,135.95,157.12, ,2.72,76.61,278.99, ,159.43,99.52,112.41,41.93,243.10
205.25,32.00,227.98,188.90,254.74,108.55,134.52, , , , ,240.86,137.50,24.55,65.74,94.63,108.23,119.27,207.59,116.65,47.92, ,2.66,93.56,164.93,229.10,11.95,67.65,65.02,44.52, ,181.49,41.35,134.41,3.20,11.90,177.57,125.42,62.48,256.15,20.76, ,147.56,33.60,152.51,83.15,100.66,78.53,58.19,31.74,71.46,230.71,251.31,16.73,53.01,70.04,193.32,36.09,23.18,256.08,168.30,72.73,56.07,166.29,219.51,33.07, ,263.78, , ,199.01,7.31,107.01,264.88,273.40,20.82, ,196.51,1.07,180.34,120.50,171.41,244.65, ,216.42,213.26,122.56,176.47,183.83,67.19,281.13,154.47,83.66,198.46,117.38,175.39,288.20,45.93,166.67, ,83.09, ,222.58,84.72,71.10,82.54,117.27,178.87,65.61
88.05,257.57,131.77,79.95,54.97,148.18,76.29,4.72,179.82,136.18,26.36,233.08,45.56,172.56, ,238.17,110.13,144.52, ,277.48,153.99,221.40,254.09,209.53,192.65,186.11,53.88,236.10,21.38,37.31,206.09,132.11,169.53, , ,68.37, , ,247.50,224.52, ,134.06,92.34,46.51,277.29,57.27,280.36,1.56,245.02,6.41,230.48,275.63, ,190.68,31.49, ,256.02,197.89,200.15,13.49,111.40,205.64,255.02,207.59,60.30,17.54,190.68, ,166.31,216.61,159.78,195.16,204.12,55.85,135.08,7.68,157.47,287.38,253.48,233.73,233.68,227.60,277.02,107.86,239.21,200.31,272.56,256.95,30.40,170.87,58.88,247.21,177.00,242.49,107.98,40.53,262.57,42.05,143.75, , ,174.37,181.95,78.70,23.62, ,194.49,210.58,221.78
250.04,69.42,264.35,121.04,208.21,48.06,232.92,230.71,72.34,197.83,292.64,242.89,188.42, ,99.00, , , ,154.47, ,118.82,62.01,149.19,172.88,84.11,227.70, ,141.64, ,134.27, ,236.00,142.74,21.95,10.40,213.62,243.22,283.68,216.60, ,67.79,30.39,52.24,251.88,99.72,257.89,284.22,170.00,105.98,229.13,192.70,72.77,120.23, ,4.43,149.76,211.75,68.22,183.39,15.52, ,265.20,60.01,299.94,156.60,112.32,265.07,262.73,62.59,265.19,87.39,253.59,20.90,193.44,268.13,100.06,45.75,83.63,14.69,35.78,189.49,257.01, ,219.74,215.70,157.59,90.09, ,215.31, ,108.75,26.00, ,72.93,237.52,180.01,240.14, ,129.63,80.51,216.98,176.57,2.96,152.22,0.90,8.36,183.22,60.74, 
232.99,219.84,138.71,122.73,15.62,208.48,26.74,296.47,69.23,29.95,281.37,104.29,131.37,289.93,153.58,94.08,181.29,257.09,113.75, ,129.38,7.33,52.78, ,79.77,34.49,72.61,232.72,122.57,269.74,12.56,11.64,209.90,120.55,212.93, ,11.79,272.85,272.55,219.10,105.40,212.38,260.92,147.84, , ,107.56,224.49, ,31.13,67.89,7.76,85.99,292.60,227.42,122.23,230.82,58.45,212.50,80.05,121.40, ,33.32,54.87,256.30,288.94,297.71,104.84,226.61,271.14,286.83,198.51,213.67,298.33,111.13,112.85,93.29,143.43,56.14,84.42,128.13,109.51,213.98,104.38,273.76,216.87,58.37,200.47,14.00,4.84,170.69,77.00, ,220.43,204.55,175.02,246.87,26.50,162.36,177.10,214.61, ,175.21,35.19,283.03,274.48,174.32,105.56,109.15
171.75,158.52,74.77,237.37,102.00,185.51,187.19,257.47,108.27,150.80,208.35,192.65,121.70,28.00,18.29,181.24,36.89,180.54,115.26,134.80,128.01,260.12,208.77,155.01,50.26,160.51,139.65,141.45,120.14,188.62, ,69.86,43.47,209.02,224.87,289.93,154.94,102.25,219.02,25.16,70.10,96.58,170.62,170.17,269.88,20.59,46.21,136.79,200.07,244.81,72.75,267.07,244.99,97.83,89.16,100.07,153.96,187.99,46.39,156.56, ,177.15,143.99,261.36,167.67,178.48,79.92,259.68,58.21, ,222.21,228.44,277.43,218.93,106.99,223.59, ,21.37,106.15,108.29,99.03, ,277.51,154.62,228.24,148.94,267.69,75.41,93.43,278.53,218.27,277.67,49.06,163.23, ,28.59,132.92,274.00,105.14,62.24,170.81, ,128.05, ,203.46,209.39,66.82,174.57,199.41
201.41,179.66,224.07,89.21,35.87,264.61,5.78,36.88,251.33,4.63,197.64,231.78,164.39,28.77,150.95,55.39,86.85,143.52,143.29,67.91,295.95,20.17,59.37,178.31,138.74, ,36.38, ,143.41,84.57, ,235.53, ,287.89,284.81,198.13,64.14,7.27,298.55,61.82,84.50,68.61,123.07,259.61,8.76,169.52,275.20,28.86,213.67,262.78,148.16,26.59,126.94, ,125.49, ,183.40,274.33,69.03,174.80,11.50,131.66,276.89,44.93,182.43,22.49,157.09,6.12,82.95,217.54,258.54, ,141.94,63.88,193.67,268.75,172.78,53.98,129.19,98.73,43.28,157.42,214.42,194.61,111.02,15.63,286.21,255.90,119.11,222.10,181.06,235.10,43.15,107.63, ,206.36,193.21,164.70,178.10,276.31,3.79,291.83,290.18,126.05,105.41,40.44,26.88,53.29, 
42.38,146.79,94.71,85.51,18.76,236.49,143.52,215.32,204.51,137.67,211.51,296.22,296.45,84.22,167.71,202.18,53.28,102.39,203.03,206.38,55.11,133.33,55.56,46.12,134.11,150.88,139.80,102.95, ,187.17,129.23,266.17,105.38,141.70,218.17,159.76,84.71,273.29,58.19,29.46, ,213.25,201.66,16.25, ,277.77,253.29,243.88,146.31,234.59,2.64,17.61,292.72,165.02,85.65,287.94,241.48, ,110.63,81.41,50.27,104.66,224.01, ,143.46,235.19,45.97,230.81, , ,165.89,189.54,188.47,66.65,21.47,240.58,176.43,117.39,172.13,71.16,245.37,141.75,292.67,118.40,251.30,147.02,183.88,68.74,214.04,202.30,230.40,2.64, ,120.04,82.48,25.14,124.85,8.02,232.43,123.81,147.04,2.94,226.31,32.97,253.54,200.96, ,43.84,205.60
11.74,36.67,184.72, ,124.48,21.48,106.70,212.83,187.72,217.98,255.26,112.69,119.31,97.85,57.49,123.68,1.28,48.34, ,251.28,292.46,230.04,268.94,262.19,263.04,140.67,133.21,189.77,210.94,139.85, ,129.40,272.58,235.96,23.18,272.21,96.39,161.79,103.39,107.94,200.16,166.75,119.10, ,161.11,70.42,298.33,130.36,3.91, ,24.84,290.92,215.97,131.49,233.07,14.86,260.95,26.91,192.25,86.07,7.12, ,8.08,161.01,204.72,99.47, ,83.69,186.80,169.95,77.41,253.16,144.04,7.30,41.81,16.97,258.81,83.25,32.17,249.51,241.68,270.08, ,53.77,191.00,285.96,130.84,162.45,233.02,230.41,118.38,120.94,88.78,29.51, ,66.47,47.82,241.21,41.53,71.67,136.41,143.50,255.94,208.14,165.50,109.48,103.09,90.41,28.22
78.86,112.66,32.27,153.47,178.37, ,250.04, ,75.14,101.00,128.52, ,294.01,19.62,96.94,53.90, ,289.35,192.77,70.49,262.48,198.53,118.96,90.89,172.72, , ,197.11,282.86,190.07,126.88,73.66,207.45,73.22,145.11,298.81,191.03,139.56,102.14,206.97, ,79.70,197.56,256.18,36.28,283.70, ,137.25,276.25,6.60,241.51, ,240.32,206.48,206.87,3.75,203.00,295.41,255.85,36.11,286.60,275.47, ,165.78,172.04,152.25,191.49,30.35,34.08,113.42,4.53,239.43,12.44,165.34,92.06,31.25,44.92,279.56,189.03,122.76,287.36,239.71,68.78,85.79,67.73,38.54,8.65,242.19, ,107.52,206.25,47.49,210.76,189.90,40.17,48.74,22.61,40.94,92.53,287.25,78.73,233.92,195.11,93.18, ,200.70,232.31,279.93,277.30
32.56,171.23,252.01,90.40,13.41,68.29,279.11,103.15,197.59,60.68, ,276.89,248.03,67.85,189.26,291.88,243.05,191.55,147.16,101.25,177.43,191.20, ,154.87,237.80,259.15,161.93,275.38,254.51,65.31,73.97,260.96,218.86,285.84,3.27,30.96,27.30,17.39,196.31,234.15,224.71,132.60,199.77,84.10,292.68, ,66.65,84.33,44.07,146.78,243.70,4.75,23.94,87.27,25.13,187.23,184.24,291.84,280.30,54.98,92.51,257.95,29.60,20.10,282.71, ,226.41,52.21,187.46,83.56,206.17,27.78,227.33,57.26,88.61,253.19,249.59,181.14,187.19,128.84,206.12,8.33,159.24,128.83,241.57,187.25,255.48,213.15,23.35,81.02,127.49,35.15,191.79, ,78.98,14.65,45.83,48.17,169.60,7.20,50.27,103.55,175.06,111.15,41.94,138.89,209.04,189.05,64.88
