Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82
59.52,218.73, ,289.08,284.28,20.08,12.82,195.97,29.77,104.92,189.05,264.11,256.30,293.38,31.61,219.68,176.34,99.46,132.10,186.80, ,206.88,205.74,278.64,109.77, ,66.45,297.64,275.58,259.37, ,290.98,18.54,262.12,271.17,140.99, ,257.37,282.63,158.38,18.67,172.41,288.86,31.45,269.42,240.43,275.98,219.77,57.82,23.88,62.66,207.70,288.58,75.02,205.11,33.84,254.56,154.32,145.11,229.92,192.79,43.32,209.63,230.53,54.57,34.15,167.25,239.61,106.92,127.03,248.03,235.81,67.13,146.01,275.89,26.77,246.27,37.45,33.18, ,87.76, 
204.99, ,144.59,206.27,72.50, ,233.38, ,0.51,155.84,220.12,239.52,178.04,126.24,42.79,157.28,16.62,35.53,114.12,51.73,39.34,238.69,57.61,156.41,37.02,270.86,244.02,45.92,219.99,156.01,266.38,93.32,28.07,89.27,8.98,162.58,265.23,194.90,194.06,80.95,63.57,188.21,262.19,129.65,106.29,144.96,298.95,55.68,67.14,169.20,285.95,124.44,133.05,274.01,70.65,258.19,106.78,141.81,80.53,251.16,257.12,259.50,34.40,283.08,160.12,177.66,184.07,97.25,21.43,44.24, ,2.43,233.01, ,1.98,39.57,116.16,49.26,252.77,90.84,185.19,88.14
97.03, ,194.28,86.37,33.58,91.77,104.76,184.82,26.76, , ,230.33,29.16,161.91,96.83,298.00,185.89,144.82,125.79,147.44,4.64, , , ,195.38,101.84,147.94,280.70,146.34,157.00,51.74,249.16,267.81, ,28.66,193.50,180.88,66.61,221.96,281.93,52.61,240.83,251.05,101.56,3.18,235.89,43.14,104.68,173.50,228.03,243.41,56.61, ,123.22,84.43,291.75,33.06,164.25,45.92,255.48,24.26,60.70,290.01,284.45,139.90, ,42.06, ,98.67,94.67,163.61,202.34, , , ,266.77,296.16,44.80,12.11,181.68,281.67,176.32
 , ,274.98,291.89,128.70,1.85,9.29,252.93,283.47,114.89,277.64, , ,232.02,14.10,142.07, ,18.40,249.75,135.06,272.69,108.49,44.09,127.66,112.00,208.51,107.21,277.97, ,0.40,47.03,263.97,10.28,207.50,175.48,5.43,160.99,263.75,91.76,107.02, , ,225.31,206.54,213.12,180.90,275.07,228.03, ,238.31,24.54,40.26,114.10,73.83,159.28,253.53,160.20,216.93,195.63,166.08, ,290.87,278.72,88.52,204.99,145.06,230.10,110.03,67.83,216.76,164.84,183.12,130.14,63.88, , ,255.75,281.17,189.35,212.57,166.64,183.43
187.33,265.42,256.46,2.93,262.84,143.16,14.72, ,78.61,48.49,18.72,275.74,266.61,177.91,102.26,127.91,182.80,79.38, ,112.63,71.10, ,214.26,65.59,220.85,250.53,138.77,46.60,234.59,50.13,257.68,107.97,266.35,27.02,170.94,158.36,296.01,104.90,155.28,97.83,14.69,45.47,17.61,267.97,105.27,64.70, ,172.67,136.85,175.57,34.37,40.95,96.49,193.30,130.06,104.60,78.49,251.66,170.57,199.92,149.00,187.47,88.52,60.51,223.58, ,257.95, ,46.36,123.69,139.81,3.46,159.95,97.38,13.90,155.34, ,4.34,278.19,220.36,276.81,261.91
253.69, ,102.60,82.50,205.88,180.06,166.72,291.29,151.61,232.05,219.00,11.29,0.96,271.20,204.40, ,117.29,221.06, ,187.28,99.53,71.55,2.50,19.58,202.37,298.97,178.14,157.19,268.81, ,240.00,21.42,198.64,127.55,205.44,6.98, ,100.14,79.89,64.50,96.42,270.67,101.29,13.36,38.24,116.62, ,14.06,279.11,15.37,32.40,107.44,275.50,139.51,287.65,166.22,38.57,57.79, ,206.60,192.85,129.50,100.09,23.54,30.78,292.13,268.63,244.89,188.44,147.52,140.29,156.39,128.24,285.21,223.85,109.53,136.65, ,236.74,149.71,21.49,205.63
54.58,103.83,7.03,210.10,96.76,153.58,128.00,9.38,66.90,199.73,37.84, ,274.58,159.50,150.96, ,9.90,212.30,62.61,70.20,216.52,272.47,191.14,213.15,190.67,101.71,163.66, ,173.44,58.63, ,209.59, ,219.50,8.23,41.01, ,13.72,270.40,214.17,86.66,62.06,107.36,67.72,3.32,144.46, ,177.40,265.10,215.59,134.19,217.82,151.37,188.92,291.65,209.60,261.76,215.25,144.28,6.80,82.35,259.77,59.19,19.46,292.96,208.87,158.87,2.35,147.94,5.67,66.38,292.79,252.20,267.23,287.07,211.78,277.72,269.21, ,288.67,1.68,270.06
82.58,131.18,244.69, ,84.29,13.77,116.99,285.12,62.45,58.26,41.60,145.78,72.88,299.47,156.19,104.12,5.77,116.20, ,138.66,229.85,210.84,44.49,292.04,239.25,186.97,5.82, ,16.63,213.77,129.90,239.28,54.98, ,171.18,280.45,240.70,237.35,217.23,28.35,110.56,173.50,181.09,220.48,195.95,154.13, ,224.09,280.23,96.37,150.25,95.56,80.70,97.45,223.09,260.60,189.86,5.86,109.30,107.88, ,24.19,293.17,127.87,50.62,240.87,257.20,261.30,161.58,214.75,190.26,54.42,183.91,28.47,91.93,179.18, ,203.37,287.94,173.24,24.40,73.31
237.38,151.44,15.76,269.43,8.86,164.01,147.39, ,218.69,273.59,80.16,1.25,256.31,298.77,299.42,162.06,216.34,40.99,32.00,240.45,168.46,5.60,51.32,259.88,90.82,67.89,201.84,296.51,44.16,246.89,274.25,233.13,125.19,161.62,133.72,298.79,6.00,202.12,156.64, ,247.46,95.22,297.31,114.95,208.52,102.34, ,211.29, ,36.48,136.69,293.09,192.46,244.76,197.39,53.49,29.41,154.86,119.39,289.00,7.61,44.59,149.63,21.25,104.15,194.23,251.40,179.61,182.60,40.71,126.45, ,155.87,294.23, ,146.40,148.87,167.03,263.97,22.53,51.52,42.95
67.53,133.08,138.21,71.52,95.68,273.10,53.84, ,34.34,75.69, ,229.70,25.10,187.52,178.89,174.32,184.80,216.19,188.99, ,260.51,129.24,206.40,212.31,293.59, ,69.28, , ,121.35,192.65,161.78,247.91,293.38,277.94,150.59,263.96, ,197.26,285.91,77.69,78.30,144.87,140.56,124.76,216.70, ,225.57, ,173.48,97.12, ,6.68,281.66,40.93,167.89,95.01,132.01,49.85,138.10,43.86,210.33,150.15, ,75.73,19.34,86.72,255.40,123.13,183.11,153.10, ,207.42,233.21,80.45,242.73,68.63,152.00,170.00,128.20, ,78.14
27.08,221.39,66.31,94.65,138.30,241.62,155.16,33.17,109.29, ,27.84,123.92,63.83,181.98,79.53,270.17,286.94,105.86,201.33,64.08,288.68,92.37,166.99,121.81,230.51, ,258.35,22.84,286.75,20.17,96.29,148.97,266.98,86.62,185.33,0.48,225.70,128.45,179.29,136.15,180.18, ,138.53,162.62, ,179.39,62.67,276.92,256.44,195.63,180.30, ,180.77,205.77,245.49,72.36,56.26,75.35,153.01,227.57,190.60,195.02,174.12,164.42,127.14,281.38,288.61,150.27,179.37,62.45,276.14,20.03,148.04,62.85,9.26,16.69,101.88, ,276.00, ,61.74,60.09
79.75,105.46,218.08, ,280.53,262.20,129.72,263.37,57.45,234.35,281.11,149.76,221.57,275.22,187.50,233.43,264.52,36.08,200.20,180.58,130.60, , ,137.38,185.42,223.85,242.71,253.99,97.78,218.23,48.91,257.77,36.35,264.47,116.82, ,297.40,223.95,41.46,277.56,69.69,224.75,115.11,143.45,227.49,125.82,67.92,258.26,267.90,14.73,297.36,133.68,224.80,134.95,241.90,267.16,284.91,201.04,21.62,7.60,63.49,249.60,64.97, ,32.87,196.41,85.75, ,80.51, ,215.46,206.41,234.04,12.88,119.03,147.57,120.50, ,253.91,58.43,254.13, 
42.52,124.95, ,31.84,212.93,124.24,202.77,113.84,165.08, ,277.98,103.32,184.04, ,230.32,71.27,28.87,226.96,247.97,77.70, ,290.63,88.25,178.93,284.28,105.54,239.50,11.43,181.98,73.15,125.79,5.64,190.78,237.19,76.62,133.85, ,124.48,44.68,211.52, ,211.22,203.26,174.18,193.53,110.16,290.54,128.59,246.18,124.83,75.52, ,209.38,132.22,290.46,28.78,162.04,113.19,211.24,126.88,157.43,236.09,173.58,252.70, ,272.06, ,47.59,177.38,153.90,290.83,186.51,46.33, , , ,238.83,128.13,280.86,0.85,184.76,57.66
291.10,49.11,77.32, ,34.28,179.66,243.39,44.73,114.71,149.25,11.16,244.08,253.54,76.77,140.02,116.16,240.77,243.65,223.21,103.52,287.82,282.61, ,27.34,164.06,70.18,110.82, , ,296.39,263.52,19.38,171.05, , ,157.57,240.15,190.92,34.17,180.25,223.45,186.31,7.26,67.52, ,291.61, ,170.97, , ,181.53,104.28,238.61,122.88,8.20,76.40,187.90,7.75,164.24,198.85,150.54,289.58,257.98,145.60,262.75,19.31,117.87,179.75,85.43,235.23,16.44,136.01,268.28,15.68, ,214.52,188.37,293.59,138.87,183.84,250.75,287.13
197.92,274.78,196.15,189.62, ,201.24,198.18,269.56,2.04,128.38,195.75, ,234.00,287.65,115.97,197.89,33.42,213.81,50.19, ,239.81,279.45,225.53,10.58,91.49,202.47, ,98.22, ,32.21,5.97,193.24,47.94,277.78,210.15, ,20.11,133.75,251.03,45.37,285.38,220.15,142.92,16.66,69.15,273.35,40.95,39.68,171.35,263.09,246.17,209.03,220.65,86.13,17.57,0.34,71.96,0.94, ,17.60,129.66,129.38,93.53, ,78.85, ,41.94,297.96,48.25,211.65,50.36,108.59,83.67,253.83,112.48,64.67,24.73,182.66,170.43,106.89,55.04,237.99
70.23,87.99,200.18,209.50,82.96,132.41,129.63,170.79,254.95, ,279.68,254.87,0.22, ,186.42,171.69,83.08,60.35,60.40,170.71,211.08,287.99,120.30, , ,59.74,226.54,64.36,86.81,56.55,138.82,3.98,67.37,252.44, ,12.84, ,282.74,82.50,42.84,88.36, ,148.10,120.42,21.61,66.85,233.30,58.58, ,69.09,175.76,71.37,34.38,262.73,158.97,287.85, ,76.20,141.91,31.63,204.34,139.09,272.99,55.92,248.66,100.66,20.38,263.68,156.57,117.00,282.28,161.53,110.26,258.47,162.04,214.51,43.33, , ,125.99,47.88,238.11
266.95,270.73,112.76,53.94,0.99,91.99,220.32,100.26,154.42,168.89,28.68,122.52,228.54,159.75,23.16,124.96,56.36,220.75,223.00,98.88,10.91,86.51,93.12,110.03,149.08,16.47, ,139.00,119.69, ,96.11,201.65,100.78,16.77,127.13,296.21, ,7.12,250.27,210.01,48.39,286.12,174.02,218.46,107.91,100.53,134.26,113.33,11.97,72.10,198.46,29.70,175.62,241.36,275.19,262.93,8.92,50.89,112.94,195.96,7.50,132.53,207.68,197.08, ,269.18, ,281.04,40.15,19.68,282.55,132.87,18.44,194.53,24.73,38.68, ,46.17,60.85,124.87,85.01,23.92
297.66, ,280.51,191.89,261.24,295.05,119.91,235.90,82.82,21.91,181.33,167.67,11.07,223.39,140.60,41.71,265.57,230.02,261.05,246.26,296.34,16.40, , ,130.70,212.94,159.10,102.83,192.79,82.36, ,222.97,173.41,49.65,47.77,115.76,241.99,166.02,54.45,138.09,112.98,219.70,34.80,68.42,206.76,143.94, ,66.91,187.43,156.67, ,152.40,102.12,195.95,277.69,250.42,257.16,291.48,28.99,190.82,87.86,279.74,120.51,298.70,181.18,84.21,115.80,81.23,31.00,186.06,227.59,124.46,199.88, ,228.87,252.43,230.08,6.02,170.52,160.59,180.96,182.26
159.75,185.52,149.86, ,158.55,100.21, ,0.10,36.64,241.17,255.26,39.08,33.14,261.05,7.66,237.67,246.30,8.79,175.10,294.52,17.20,239.05,59.84,99.15,168.12,85.55,211.57,84.65,34.23,138.43,187.71,231.80,173.53,265.83,99.24,187.46,45.15,116.64,65.65,201.46,256.11,57.15, ,141.79,145.86,250.81,75.21,119.54,200.45,175.05,159.37,136.54,180.54,92.45,28.70,186.99,264.35,19.62,285.64,244.42,48.91, ,124.11,138.79,122.59,208.39,58.29,208.20,224.33,126.56,199.95,96.85,99.15,182.04,256.49,175.59,92.35,107.23,292.97,249.80, ,158.19
203.23,95.43,126.30,63.89,166.63,133.00,297.84,211.09,60.34,104.61,46.89,255.55,168.41,213.16,46.50,171.19,273.32,187.06,233.30, ,99.93, ,128.98,72.63,76.50,294.60,281.29,56.54,4.85,138.40,208.91,289.36,134.63,46.73,62.30,272.65,79.96,166.85,269.77,249.01,72.44,227.38,285.10, ,289.96,128.97,117.77,197.34,148.51,244.61,222.32,142.86,4.60,287.24,234.93,162.55,299.16,208.57,91.26,43.47,101.35, ,219.13,186.53,34.83, ,205.04,286.26,89.26,13.06, ,247.99,66.95,2.39,137.76,264.37,98.75,131.61,34.79,157.51, ,192.34
229.36,236.74,145.28,206.47, ,110.87,105.74,35.51,50.93,163.42, , ,60.90,233.37,85.86,17.01,283.23,182.96,221.63, ,247.63,84.24,115.92, ,293.74,264.03,99.35, ,2.88, ,38.01, ,123.88,233.58,97.11,260.44,140.09,103.61,64.07,137.87,78.42,173.73,257.79,103.85,278.38,174.86,144.75,15.83,11.73,46.10, ,6.55,7.97,90.17,129.64, ,9.63,227.34,60.93,101.77,270.37,271.52,179.41,43.08, ,54.82,130.99,12.53,150.21,203.11,116.19,218.39,42.37,277.10,35.76,27.50,132.59,172.07,287.07,20.91, ,75.72
204.21,39.50,89.58,244.86,176.19,248.35,19.98,203.05,258.94,273.22,197.88,31.56,67.94,196.60,93.12,277.21,211.70,39.09, ,283.95,252.89,279.59,281.53,81.90,161.71, ,21.20,281.32,220.76,72.67,299.51,89.69,163.12,293.43,2.67,186.16,23.03,13.50,129.24, ,56.48,130.97,99.19,238.25, ,287.51,214.15,90.40, ,253.53,257.18,7.89,41.90,50.35,55.30,18.85,236.01,49.55,32.26,243.01,0.69, ,225.30,245.04,257.78,269.24,165.97, ,193.28,12.71,56.50,195.85,39.58,150.68,198.84,237.86,153.44,181.64,163.86, ,179.56,265.30
56.38,273.79,24.55,39.99,197.17,164.03,147.57,123.20,194.73,174.56,159.58,218.22,276.96,27.55,147.18,5.33,124.11,230.84,119.79, , ,78.82,289.49,276.76, ,171.50,37.64,278.41,126.30,127.71,277.00,27.28,289.57,93.96,161.68,88.47,59.46,211.32,94.92,17.09,0.79,26.44,96.67,189.18, ,16.89,231.30,130.35,290.70,295.12,222.87,47.86,297.21,266.70,248.21,54.63,105.20,182.26,39.89,32.82,141.40,65.92,50.84,273.85,257.47,0.94,206.71,235.72,202.09,241.45,6.82,6.13,239.30,255.66,75.49, ,216.89,7.97,89.03,263.43,161.71,131.51
139.11,277.77,82.40,284.47,187.00, ,299.02,127.22,199.04,243.15, ,281.33,109.18, ,72.61,215.00,32.44,144.12,234.82,295.15,171.60,2.00,166.69,72.00,255.70,196.61,112.12,180.18,125.38,14.46,151.47,202.99,186.51,96.65,234.24,236.33,19.65,258.00,239.35,180.24,1.04,93.89,93.05,74.33,224.60,116.41,18.24,259.97,66.52,26.08,148.43,106.61,200.74,54.41,94.62,35.14,11.50,208.82,103.10,22.98, ,139.40,90.17,63.74,225.32, ,226.09,283.41,136.87,97.31,24.23,125.94,287.58,188.40,241.99,179.55,19.21,104.37,41.65,186.72, ,7.09
 ,275.89,147.28,225.12,4.04,136.51,8.73,267.42,20.50,188.64,174.38,151.53,30.82,241.92,229.76, ,287.33,200.52,92.27,253.44,17.32,173.36,211.52,114.71,17.95,297.29,198.50,69.53,235.95,119.17,192.47, ,179.80,278.63,286.84,161.55,9.22,197.05,275.87, ,84.52,295.35,130.46,286.95,71.09,162.70,76.39,139.84,234.98, ,143.09,125.04,44.93,68.98,290.78,136.49,129.38,257.35,179.41,198.14,222.28,242.10,197.43,252.38,232.25, , ,8.02,79.98,144.37,294.92,193.82,97.15,180.36,234.39,205.69,139.18, ,81.28,151.00,192.89,10.81
88.00,187.69,166.14, ,15.11,77.62,66.97,232.12,229.26,7.11,299.05,262.92,227.57,103.63,96.32,16.94,94.56,163.67,269.24,135.15,39.86,193.27,87.53,54.17,291.91, ,290.96,114.65,135.13,47.21,114.40,158.20,148.34,254.05,230.53,176.16,98.23,108.14,176.46,259.23,225.45,44.99,228.08,159.99,177.73,204.46,260.97,82.51,23.95,150.31,94.93,169.35,115.40,98.21,211.03,185.11,77.96,52.88,89.75,69.24,120.06,259.61, ,42.12,60.32,40.64, ,67.11,66.76,161.64,174.36,222.42,209.14,289.58,6.42,174.89,46.81,49.37,75.97,48.53,146.06,6.94
0.83,45.01,256.55,232.57,279.32,190.39,155.37, ,161.79,25.38,6.10,286.83, , ,61.04,218.62,69.53,189.08,124.50,100.14,189.23,10.47,121.44,199.60,49.43,260.70,298.84,95.13,279.31,58.24,254.01, ,23.55,117.68,180.84,267.27,263.58,222.47,19.76,207.40,170.83,281.87,267.63,40.76,227.97,11.54,186.20,196.92,44.74,76.87,88.94,137.58,242.46,60.32,181.45,283.39, ,265.26,204.14, ,157.44,270.87,110.21,157.38,66.81,21.72,127.71,187.82,163.18,25.34,92.50,191.23,259.07,41.14,31.88,295.69, ,266.56,207.16,215.68,190.44,236.01
245.51,221.95,209.85,236.14,144.73,24.58,102.00,261.77,184.20,54.68,13.79,131.82,144.87,135.24,165.30, ,110.81,291.38,27.76,257.75,188.35,185.70,202.67,70.73,222.23,16.34,1.35,127.56, ,175.06,217.76,128.80,151.16,278.57,274.48,130.53,210.53, ,19.50,59.33,95.53,77.80,277.30,149.45,1.46,279.92,249.66,187.81,171.44,215.42,109.00,174.74,148.14,265.90,239.81,257.88, ,35.68,284.08,296.67,116.30,68.86,278.23,63.12, , , ,4.78, ,179.52,216.23,217.14, , ,41.76, ,77.43,233.23,104.49,8.56,91.03,111.29
246.99,140.74,156.85,151.28,25.04,141.18,19.67,235.78,266.81,211.19,4.21,236.51,166.60, , ,128.94,137.80,79.42,220.57,124.05,161.21,174.37,159.60,227.45,156.08,291.76,238.51,211.70,104.68,120.10,35.94,99.50,24.98,152.28,115.18,17.40,125.43,278.78,85.81,80.41, ,72.17,39.01,220.87,172.81,34.14,35.11,18.75,8.16,61.13,12.84,271.11,162.89,268.01,248.69,228.33,274.74,199.74,68.63,227.79, ,261.92,154.89,179.45,253.27,124.88,89.95,178.08,25.23,47.19,289.64,101.48, ,101.97,209.93,200.57,112.05,99.64,175.25,152.21,298.01,63.87
 , ,83.07,251.44,145.64,113.67,226.07,263.26,73.85,198.65, ,10.71, , ,170.03,135.67,153.29, ,58.28,99.10,182.72,265.38,175.13,95.44,72.93,129.26,231.88,121.21,38.62,53.32,286.02,157.75, ,222.74,120.18,67.04,189.73,226.91,292.71,13.53,78.88,223.18, ,251.09,246.90,162.88,11.79,208.83,243.94,92.28,90.91, ,52.44,96.50,207.11,285.30,183.14,292.87,289.86,57.40,243.89,199.62,58.89, ,228.43,123.67,204.34,120.01,267.02,279.76,16.14, ,236.78,295.87,58.42,226.65,22.46,162.93,114.64,270.59,150.26,91.25
167.38,290.99,272.85,30.40, ,99.37,52.94,146.77,109.90,209.24,154.96,88.66,194.41,47.63,160.75,253.24,178.06,22.72,231.92,259.10, , ,2.06,109.94,274.42, ,183.66,136.28,234.22,157.85,260.95,105.45,273.09,149.69,159.89, , ,37.48,221.52,17.29,205.89,187.77,147.44,271.29,34.88,197.04,150.21,212.57,129.62,92.84, ,252.73,281.90,95.18,156.88,14.42,97.02,258.00,27.98,194.03,64.32,208.75,249.75,169.62,196.36,298.26,173.10,233.36,186.35,152.14,219.67,113.46,47.10,239.43,100.91,86.79,233.01,122.27,62.27,88.18,47.17,134.30
37.42,75.28,96.21,267.01,93.98,32.58,151.94,216.17,105.47,118.08,298.49,221.24,232.24,19.40,95.85,199.69,221.37,57.05,202.38,33.47,104.52,137.45,38.06, ,143.53,27.39,55.06,103.25,199.98, ,179.39, ,79.08,210.29,98.83,256.43,261.35,227.40,90.24,65.45,93.18,200.43,91.00,88.30, ,288.28,206.54,215.42,246.75, ,0.79,33.64,178.91,210.00,22.38,290.18, ,83.36,44.53,87.81,292.23,71.33,288.97,148.18,173.34,161.60,95.72,12.73,96.54,262.94,30.09, ,117.93,276.39,151.81,202.55, ,184.61,153.05,201.03,77.98,96.15
