Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104
283.03,277.65,277.29,26.64,258.81,291.54, ,294.00, ,46.29,231.56,51.86,261.28, , ,34.16,229.75, ,11.47, ,291.10,66.76, ,21.46,206.37, , ,80.44,3.46,233.20,17.88,133.73,89.82, ,203.33,227.43, ,25.06,199.46,158.72,89.51,260.80,126.67,230.42,91.25,213.65,263.40, ,101.29,143.02,77.76,253.76,238.92,116.45,78.75,266.02,195.25,118.09,120.66,2.26,184.73,10.63, ,248.42,263.77,159.13,296.93,81.33,79.09,174.90,118.68,118.29,122.20,157.34,239.61,131.84,171.04,281.40,127.29,62.89,253.74,37.90,258.12,251.96,167.51,64.71,232.82,190.43,118.00,198.16,26.14,9.64,267.62,196.12,261.79,276.13,276.43,240.26,9.44,141.64,40.66,278.46,24.93,65.54
41.97,48.51,255.21,162.61,258.17,237.81,86.99,295.29,246.56,98.42, ,114.25,126.38,254.85,71.76,242.06,287.66,102.73, ,128.59,256.95,11.65,293.45,44.50,182.37,193.76,228.00, , ,245.23,2.69,6.75,248.82,156.31,9.97,26.24, ,38.78,256.05,96.50,8.29,18.71,44.23,239.11,70.78,148.10,168.69,148.19,275.28,156.76,166.33,57.09,210.05, ,156.22,51.20,122.98,174.30,287.73,250.88,49.15,169.36,60.59, ,153.94, ,146.06,234.73,140.74, ,181.94,81.37,139.60,125.63,16.75,271.72,289.30,269.48,195.06,166.22,286.93,48.47,100.52,8.72,242.23,262.76,142.09, ,155.66,252.64, ,86.52,206.18,125.34,83.23,6.17,134.59,183.94,114.45,81.20,175.30,269.48,203.17,77.72
92.25,2.82,99.99,81.65,93.07,76.75, ,179.07, ,172.07,25.93,61.49,152.29,194.10,76.51,163.76,243.07,295.98,267.71,1.69,295.15, ,83.66,292.19, ,46.23,104.10,233.11,214.15,57.58,238.71,234.69, ,238.72,236.41,246.36,271.23,131.95,89.32,52.09, ,62.80,250.02,197.61,257.21,197.59,299.91,10.21,261.87,178.67, ,215.72, ,24.32,82.43,93.50,34.90,244.46,29.42,121.60,132.79,56.89,33.33,109.94,32.56,55.19,105.16,240.32,285.39,224.06,49.46, ,173.65,175.53,177.88,98.00, ,205.43,237.64,11.87, ,4.92,289.44,133.09,93.63,72.90,227.21,139.70,176.15,217.62,215.88, ,19.33,287.28,211.68,56.24,105.00,232.13,80.67,247.05,224.51,230.69,8.30,95.34
169.53,20.62,50.98,275.50,189.89,40.59,152.43,147.23,172.31,75.91,296.61, ,220.58,85.72,41.28,223.87,286.16,153.86,7.91,239.76,108.57,289.17, ,269.72,95.02,240.80,258.11,29.46,94.02,189.86, ,148.41,274.48,213.53,278.73,174.88,109.51,116.58, ,176.16,110.45,249.29,293.88,103.93,151.26,72.30,132.23,107.60,79.08,264.72,149.74,112.08,2.01, ,111.29,58.27, ,105.80,62.33,186.80,65.73,241.28,160.82,33.58,287.69, ,44.82,133.73,14.36,256.51,206.99, ,220.71,75.83, ,32.98,166.78,274.65,131.89, ,58.53,161.55,194.39,135.15,30.72,219.99, ,253.56,83.40, ,289.97,1.63,295.06,188.57,62.28, ,274.43,80.44,278.49,271.06,168.27,13.77,54.71,140.21
132.26,76.32,217.73,271.54,238.43,25.30,80.01,240.07,184.31,116.90, ,109.82,221.08,80.07,105.37,155.48,33.74,259.39, ,234.92,230.42,59.17,236.72, ,143.56,110.74,31.24,4.76,96.17,82.09,271.58, ,108.72,273.35,193.00, ,70.46,75.20,37.15,8.72,143.35,26.41,299.76, , ,58.66,242.63,200.41,275.61,132.90,196.47, ,285.64,12.05,11.81,25.40,84.06,26.69,227.11,202.72,35.62,232.09, ,42.21,54.25,66.06, ,253.83,178.77,189.89,174.17,254.88,169.15,225.72,267.92,22.18,88.24,179.69,55.21,257.42,86.73,118.76,186.41,186.15,221.00,109.27,170.25, ,277.98,7.55,103.58,73.77,298.85,161.32,125.35,286.28,286.79,60.84,162.26,169.81,273.39,47.16,46.01,139.08
252.10,52.99,163.92,73.14,260.33,180.71,91.68,79.99,264.39,231.30,166.86,292.07, ,105.73,178.87, ,105.27,136.35,140.83,192.46, , ,226.82,28.47,35.27,280.24,224.24,29.51, ,289.99,250.10,182.31,65.06,38.12,66.59, ,110.34,82.10,194.35,146.99,35.84,276.75,167.56,208.39,193.83,299.97,296.78,101.72,103.15,44.52,251.36,271.59,185.96, ,80.31,190.98,95.87,132.65,236.12,205.97,15.98,53.75,10.29,71.84,221.93,167.64,226.63,63.26,87.25,32.33,176.97, ,272.84,156.12,227.98, ,281.75,189.90,264.36, ,36.20,76.21,190.94,238.09,231.13,179.48,258.75,225.05,70.51,173.91,168.31,204.90,83.65,234.60,163.50,273.43,158.10,211.17,217.50,141.28,75.68,196.70,67.80,216.48
19.64,64.94,192.29,232.66,168.98, ,32.48,68.51,160.15, ,209.20,292.60, ,68.29,80.97,139.04,277.35,109.60,110.32,12.12,277.82,210.23,213.58,141.41, ,259.55,281.64,281.71,179.47,103.35, , ,163.16,219.74,281.51,195.85,274.15,261.22,149.05,68.84,175.54,133.78,203.70,130.28, ,9.75,250.88,88.10,133.35,113.01,241.52,114.72,49.19,186.13,202.60,273.28, ,187.88, ,91.58,61.16,60.67,212.38,41.10,204.83,260.50,93.33,92.88,126.93,261.60,46.52,233.32,128.13,207.68,259.99,138.98,276.23,92.07,211.21,189.09,7.62,133.87,51.60,9.01,68.81,191.59, , ,135.13,154.02,188.78,42.05,135.17,227.42,206.89,60.40,254.66,245.57,168.97,15.28,175.71,148.59,199.42,192.21
246.32,77.35,160.24,162.86,137.69,222.64,228.91,140.57,51.06,272.10, ,287.38,259.02,246.60,270.89,218.53,176.31,82.79,125.00,174.28,39.88,43.04,193.47,225.04,77.14,49.15,94.49,95.19,107.99,79.84, ,298.36,148.09,167.12,88.12,33.79,109.20,251.56,191.82,118.70,54.77,18.01,224.37,147.13,162.53,57.73,160.70,25.74,19.21,168.31,262.17,15.85,200.45,265.03,245.04,61.14,213.61,51.76,133.68,115.87,87.82,237.63,229.69,257.32,156.22,56.24,27.72,189.76,39.49,20.43,238.52,284.34,160.72,290.11,235.00,290.61,279.58,271.34,191.61,158.18, ,214.42,82.00,55.99,25.99,30.60,149.30,294.85,272.88,291.54, ,97.52,288.77,186.14,286.38,188.77,125.59,58.98,25.05,47.80,71.47,65.81,107.88,76.84
150.86,100.84,73.75,76.04,275.46,22.63,39.93,106.41,154.46,157.34,210.88,214.72,163.72, ,271.60,141.17,9.37,181.73,22.70,203.56,55.55,107.86, ,19.26,71.20,289.19,53.22, , ,182.41,248.48,268.99,87.91,116.36,231.63,59.57,147.44,67.26,252.65,218.86,208.45,145.63,218.59, ,52.27,280.12,115.28,18.66,14.76,38.63,0.18,111.19,129.95,79.16,208.64,61.99,72.27,26.17,270.64,67.62,91.82,72.57,274.59,129.37,159.78,40.98,150.51, ,280.46,251.01,16.79,185.59,187.10,223.51,208.28,224.62,240.36,3.76, ,94.99,236.30,144.82,114.73,129.45,275.79,237.60,254.40,284.98,239.53,75.25,130.89,21.16,164.15,65.83,240.46,288.43,115.59,154.04,128.59,216.90,221.09,203.77,206.94,27.22
111.36,242.99,26.26, ,190.40,70.16,198.12,190.44,46.56,228.92,152.29,193.78,133.50,160.45,255.22,36.21,160.56,44.68,164.94,107.14,266.49,257.35,108.28, ,154.84,168.42,23.79,25.51,214.33,140.91,29.02,259.54,50.67,175.39, ,184.22,18.51,137.92,15.33,123.66,101.04,123.25,18.94,258.26,118.42,140.32,61.08,1.29,81.09,67.17,62.68,195.19,102.10,57.04,279.30, ,80.34,195.51,194.80,271.36,218.02,34.52, ,64.95,256.28,60.57,80.60,274.83,204.43,8.89, ,288.19,266.61, ,162.12,212.83,52.99,179.74,141.55,120.91,100.56,52.53,100.64, ,75.47,188.79,117.81,46.75,292.43,174.54, ,256.17,137.20, ,16.93,171.87,186.48,257.00,130.91, ,264.04,139.78,291.28,190.78
 ,296.78,52.28,144.43,127.48,64.96,98.03,202.21,238.33,48.27,52.36,13.45,143.22,256.45,107.22,106.96,287.55,82.74, ,227.17,102.55,32.55,92.92,141.40,52.76,111.09,282.45,261.54,133.49,55.57,184.69,156.63,291.74,216.19,235.44,299.16,138.24,277.17,146.14,293.98,48.65,146.99,95.34,130.21,186.01,278.51,189.97,204.15,95.51,213.28, ,212.43,101.94,46.10,90.27,27.09,213.31,136.17,227.50,74.62, , , ,201.41,269.98, , , ,245.36,189.60,165.37,101.92,24.65,76.13,181.38,183.90, ,111.40,8.47,92.96,102.58,119.24,99.93,138.06,96.67,215.43,99.87,56.39, ,248.59,283.37,76.92,147.52,278.66,19.24,202.74,48.98,107.35,297.04,259.60,55.35,238.31,293.97,66.20
76.91,92.79,144.75,227.54,180.48,102.04,152.61,187.83,201.88,23.14,253.86,221.79,176.85,19.02,5.38,176.13, ,268.91,244.75,70.12,19.10,39.05,128.94,106.65, ,101.84,144.61,36.42,64.91,226.50,84.08,169.14, ,269.14,156.75,67.74,150.89,203.19,5.66,233.76,62.67,214.15, ,269.85,90.47,66.03,118.68,248.85,110.33,256.95,119.78,107.19,21.73,249.84,199.69, ,12.00,24.88,160.98,196.01,139.43,79.78,49.45,105.26,40.22,294.22,188.07,186.86,186.78,184.55,280.58,243.88,211.16,218.73, , ,85.88,45.51,13.56,95.55,132.22,187.10, ,75.17, ,9.88,183.18, ,163.76,220.60,272.13, ,44.27,189.82,64.24,295.81,30.28,196.61, ,83.71, ,158.88,244.86, 
128.04,135.40,124.16,148.14,245.36,140.56,113.04,216.69,266.52,78.64,191.08,285.01,230.06,133.67,72.43,69.15,65.64,192.27,260.55,286.09,263.63,58.36,97.36,125.02, ,203.66,160.60,106.76,74.85,269.07,6.77,54.46,37.15,99.51,219.56,213.04,103.55,183.83,137.04,5.24,128.39,22.67,53.69, ,128.54,93.47,70.54,168.32,102.12,77.29,46.89,242.10,20.77,56.19,118.83,206.24,43.45,42.41,168.83,156.85,235.61, , ,15.29,283.93,106.87,146.48,278.44,26.11,70.37,200.20,297.36,208.95,221.58,73.27,123.21,87.78,180.43,64.97,178.54,13.14,110.13,139.16,248.21,87.78,247.57,207.79,94.42,285.74,68.10,106.40,289.12,250.13,93.18,65.28,64.00,257.12,238.05,262.70,261.55,204.84,38.46,154.05,229.36
148.87,198.79, ,187.91, ,57.47,153.99, ,217.99,171.46,139.23,54.83, ,105.31,138.41,42.94,276.64,132.24,269.75,80.77, ,230.21,276.42,151.39,87.17,0.35,161.51,226.36,165.05,21.65, ,165.41,286.52,110.60,267.56,149.80,238.86,278.54,45.17,87.65,238.54,144.69,18.55,123.53,149.31,256.54,273.25,82.98,264.01,78.53,273.92,279.91,297.09,149.04, ,236.70,48.37,31.28,112.29, ,47.18,48.25,109.53,125.68,281.27,86.09, ,60.01,1.17, ,259.62,27.48,58.53,117.82,245.36,264.55,132.42, ,180.68,235.29,141.14,183.44,213.90, ,273.92,253.28,216.61,68.55,282.35,158.17,279.35, ,243.91,295.95, ,176.62,125.48,112.24,262.24,167.19,295.18,136.86, ,53.46
156.37,143.70,155.72,262.81,107.39,23.68,162.36,279.96,39.35,245.70,20.99,159.83,283.95, ,232.41,116.79,245.13,237.47,270.06,191.39,288.73,252.98,260.47,72.02,206.20,39.63,151.76,58.68,12.36,141.55,148.38,38.53, ,276.00,42.74,213.48,146.06,225.03,272.06,10.14,298.08,105.61,292.66,255.60,146.37, , ,163.60,129.67,243.45,279.20,263.00,258.23,204.27,47.17,275.14,242.31,198.21,170.14,181.93,261.76,140.96,119.44,44.97,261.67,54.77,274.61,133.56,126.82,116.11,214.16,231.30,64.46, ,234.60,86.32,282.16,201.31,234.07,201.32, ,189.75,108.42,255.71,97.21,279.81,256.52,4.56,50.44,17.34,3.63,41.16,19.89,265.28,89.85,77.57,38.70,210.96,131.68,89.09,249.19,142.20,262.86,93.54
215.80,268.13,148.62,283.40,165.07,44.76,119.84, ,158.54,138.91, ,5.58,150.22,163.64,160.49,139.19,139.81,64.91,274.42,117.24,82.04,206.51,237.24,249.14,184.89,4.09,260.12,285.29,264.44,102.76,275.45,78.96,296.94,223.21,57.39,229.18,22.76,266.24,162.03,125.18,254.16,237.47,138.95,24.62,71.70,228.32,69.34,162.40,151.15, ,208.54,266.82,148.82,14.21,264.53,234.00,183.74,248.93,202.22,122.64,243.39,233.94,19.36,152.94,92.37,123.28,64.61, ,213.42, ,22.24,292.68,168.58, ,117.51,221.73,97.09,232.58,161.28,66.47,76.05,194.88,275.39,79.20,244.68, ,7.77,115.20, ,283.79,290.60,151.34,90.49,139.68,295.55, ,62.02,22.23,298.34,189.52,116.03, ,108.65,146.58
28.28,94.61,23.93,113.37,297.55,123.70,226.93,138.19,181.27,195.35, ,232.17,134.13,239.93,156.85,119.52,181.30,74.98,290.48,6.74,157.75,289.44,137.52,133.16,289.95,205.98, ,138.16,148.94, , ,43.21,241.39, ,207.95,237.89,258.75, ,116.50,53.62,292.75,244.63,152.25,209.37,34.26,7.88,233.88,5.07,181.32,0.67,154.41,163.73,57.97, ,174.47,170.64, ,32.94,259.72,250.01,122.80,216.61, ,150.49,172.54,30.10,128.25,273.41,119.67,285.44,143.28,191.61,145.85,46.86,107.66,26.43,54.87,193.36,178.16,34.33,171.44, ,299.69,143.10,140.03,212.60,12.64,259.68,218.36,73.42,215.28,21.20,60.35,85.39,210.04,280.24,0.68,130.43, , ,227.52,142.89,273.13,212.63
182.09, ,255.51,255.71,146.96,21.34,233.13,88.89,247.48,63.06,180.06,57.18,290.95,296.48,235.38,43.71, ,174.70,289.61,164.33,147.42,271.95,245.21,115.16,186.68,70.64,44.85,236.00,125.02,194.91,133.62,299.80,81.01,210.42,174.95,21.23,86.82,48.63,232.37,39.61, ,110.25, ,244.32,271.86,132.12,25.43,213.68,267.56,199.71,65.31, ,86.54, ,79.72,71.58, ,111.19,38.03,129.01, ,62.89,235.10,250.09,160.76,285.75,158.46,6.30,260.12,10.32, ,90.03,70.16, ,181.35,250.27,62.27,268.56, ,203.66, ,164.19, ,149.93, ,35.39,41.14,274.56,52.64,141.49,43.30,167.68,176.87,27.45,179.69,64.29,199.67,119.88,265.38,213.79,196.15,290.16,244.68,288.74
237.86,252.77, ,120.45,250.71,233.28,118.10,254.14,128.96,262.73,3.98, , ,237.67,268.76,0.48,163.71,171.34, ,152.51,71.02,18.48,291.61,127.53,162.46, ,201.06,242.69,274.62,183.64,105.10,87.25,85.88,103.38,244.90,109.74,124.98,31.15,159.69,261.93,101.93,130.46, , ,208.03,122.46,52.31,244.08,33.14,90.53,287.19,190.48,48.10,265.01,149.87,18.72,205.29,44.10,123.64,108.90,49.53,123.35, ,67.43, ,97.39,28.60,67.37,181.51,234.55,194.71,271.21,196.22,34.07, ,157.71,21.15,199.36,12.73,111.45, ,3.52,274.56,262.13,251.21,157.39,290.15,270.18,265.52,137.86,106.72,157.31,71.27,155.91, ,157.11,139.59,138.76,74.30,279.26,122.10,273.61,113.05,278.04
291.23,212.27, ,262.38,207.69,194.82,57.43,220.72,93.83,31.43,94.74,90.23,24.41, ,32.27,210.30,100.58,154.73,192.36,275.23,13.58,235.31, ,189.56, ,283.39,290.40, ,192.71,24.05,97.72,249.38,118.93,224.47,114.42,212.82,212.54,233.88,188.61,287.73, ,246.70,27.29,155.92,129.81,164.42,138.23,296.31,191.99,186.58,70.42,125.26,36.43,224.60,267.18,245.58, ,192.28,271.89,262.83,259.19,276.68,141.56, ,103.68,258.43,154.18,114.14,19.57,58.01,108.43,179.82,70.54,246.29,96.31,140.27,34.85,185.25,285.17,43.39,176.73,79.10,30.66,10.35,43.82,294.40,93.55,206.26,298.64,41.53,228.21,3.52, ,188.77,10.58,47.42,0.49,178.53,79.91,41.75,115.60,124.53,203.65,174.11
297.39,109.27,254.86,95.85,16.48,221.95,108.39,126.49,18.61,140.27,76.80, ,192.39,53.18,195.78,34.35,49.32, ,141.65,63.85,233.79,222.13,107.39,125.11, ,143.73,279.67,15.70,170.90, ,224.08,49.59,102.69,25.33,85.89,179.56,104.49,230.07,269.09, , ,271.34,237.93,176.18, , ,51.07,191.68,202.37,251.17,254.37,168.75,143.49,190.00,161.65,274.59,157.53,224.94,228.23,39.11,43.04,142.28,99.08,69.26,275.22,6.50,296.94,269.84,223.55,88.41,279.91,215.95,94.71, ,22.94,5.41,46.79,269.63,69.54,210.16,278.80, ,208.39,252.74,67.97,38.07,261.50,219.37,155.42,18.34,37.01, ,164.36,97.60,209.77,137.57,238.13,50.51,24.75,268.36,46.01,241.05,106.16,121.75
 ,135.83,236.19, ,63.33,92.90,171.20,28.08,122.59,125.13,281.83,151.15,52.86,94.85,99.55,252.95,184.62,57.14,3.61,210.60,267.19,227.88,6.17,147.15,222.18,1.86,122.17,154.21,50.18, ,149.73,121.90, ,189.32,221.25, ,131.85,25.34,187.75, ,143.71,270.28,283.17, ,105.34,124.11,175.34,149.31,223.23,96.10,160.53,179.18,282.43,13.33,146.38,171.50,44.79,258.17,165.56,80.58,55.47,251.26,277.85,255.88,71.79,159.01,276.25,285.77,49.21,266.45,200.17,183.48,20.35,55.64,71.97,156.80,40.91, ,18.76,14.13,280.42, ,212.74,117.03,1.05,197.61,61.83, ,245.31,125.80,98.39,158.93,168.51,275.52,44.63,185.21, ,165.63,292.96,167.25,276.88,276.23,135.80,272.27
283.37,67.07,113.41, ,48.02,215.64,223.86,17.81,19.04,274.69,224.89,11.17,29.93, ,204.41,49.18,256.54,191.71,102.89, ,32.15, ,247.80,273.52,94.50,227.11,57.27,251.32,82.19,140.25,297.33,276.93,221.35,79.06,257.07,118.18,214.10,109.12,248.01,69.97,165.22,68.94,68.10,32.82,6.47, ,3.79,88.89,139.09,129.36,279.44,70.34,225.41,148.01,189.67,157.28,95.87,1.12,222.46,51.19, ,224.26, ,142.00,81.94,295.97,233.25,222.62,14.30,245.24,235.34,92.95,67.10,246.98,207.19, ,258.38,117.45,126.92,24.63,231.04,96.50,238.97,64.96,86.20,187.80,148.33,41.47, ,230.29, ,137.48,247.65, ,65.10,126.51,3.13,145.23,23.53,247.83,52.53,181.64,78.17,113.85
