Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53
 ,205.13,97.75,85.36,169.80,147.19, ,119.09,206.75,42.42,135.71,96.01,222.02,249.60,237.86, ,146.31, , ,150.94,91.70,49.29,292.02,277.31,15.58,69.50,92.46, ,114.54,52.19,291.19,194.93,169.54,75.36, ,126.81,91.06, ,140.35,203.25,157.32,52.42,135.51,299.81,4.03,81.62,150.90,58.00,1.86, ,77.23, ,204.03
287.34,237.68,2.54,164.53,206.95,67.20,177.31,253.01,181.36, ,32.27,295.56,109.31,26.46,274.62,90.57,210.08,238.76,215.64,202.30,286.64, ,29.09,209.71,177.89,16.74,123.33,110.99,233.49,227.89,8.72,210.59,60.71,248.55,39.33,0.78,14.88,257.51,116.56,26.07,258.28,109.89,166.99, ,100.48,210.94,263.69,131.09,122.28,222.03,294.10,221.54,265.15
66.43,158.12,35.19,191.93,262.46,244.99,256.59,138.31, ,102.01,97.05,51.38,297.52,45.94,193.69,212.94,221.28,93.36,257.25,46.85,208.38,280.25,276.99,230.04,291.68,73.62,107.54, ,105.06,186.50, ,41.36,226.08,187.85,117.57,265.37,180.36,184.81,265.48,186.33,6.32,227.56, ,35.09, ,140.15,293.82,292.93,158.79,297.82,238.45,191.75,279.81
77.58,232.73,26.42,238.56, ,166.12, ,201.21, ,41.36,64.95,12.63,93.15, ,139.80,213.33,73.91,103.66,57.76,194.54,155.44,116.92,299.22,116.31,247.20,241.80,252.38,279.53,269.32,150.45,81.26,140.66,256.93, ,14.69,201.20,136.15,215.80,33.52,104.96,92.59, ,59.50, , , ,21.24,147.75,31.46,271.02,168.47,193.29,196.05
282.04,128.79,20.84,43.23,96.27,118.21,195.31,23.96,60.30,184.54, ,216.00,146.57,288.07,295.92,257.96,153.28,219.20,10.99, ,136.80,230.16, ,125.47,173.78,78.32,244.35,94.54,105.97,262.98,3.02,265.27,49.31,251.13,169.66,50.02,98.93,194.16,77.62,71.96,79.44,170.38,136.66,184.14,206.03,36.67,106.02, ,155.34,121.15,290.14,173.88,182.20
 ,236.14, ,8.11,247.36,1.09,295.05,155.29,172.03,274.35,108.43,251.11,96.77,87.62,155.54,41.06,63.18,273.88,57.28,73.19,140.38,275.79,40.29, ,212.32,47.47,241.93, ,205.70,16.78, ,172.32,248.49,18.01,183.94,195.13,33.69,6.31,175.57,148.26,214.86,140.14,53.99,286.08,287.77,15.28,14.05,235.92,97.66,100.39,214.42,147.52,195.29
56.07,295.57,77.51,264.91, ,18.89,158.84,287.49,32.68,279.50,204.51,17.94,42.44,72.85,147.05,233.25,77.03,296.45, ,206.88,299.27,265.15,238.49,286.48,15.22,183.44,159.58,253.44,167.93, ,205.89,111.82,100.91,143.25,170.20,4.24,224.14,81.61,22.36,209.61,79.38,109.75,24.26,268.32,103.17,133.14,21.33,148.20,133.81,219.59,216.33,120.46,7.71
63.60,266.22,256.37,137.88,60.48, ,28.80,104.53,37.54,271.43,261.79,116.31,13.25, ,237.08,10.04,142.85,274.85,46.84,154.66, , ,46.86,243.94,103.24,288.81,165.47,178.61,87.62,272.38,1.43,148.71, ,291.55,129.09,131.94, ,16.66, ,63.52,114.36,159.61,3.59,173.87,255.04,62.51, ,270.44,14.82,99.79,110.70,298.15,16.83
166.60,116.14,97.01,151.39,32.12,115.38,33.67,63.60,152.79,272.03,238.82,242.38,155.92,223.49,264.40,212.54,273.81,168.03,201.19,182.61,179.22,41.87,88.27, ,241.06,51.57,194.78,6.67,194.35,156.88,24.14,260.95,71.01,23.17,190.81,24.44,221.81, ,134.69,271.46, ,227.43,116.04,4.23,55.59,182.46,246.99,9.67, ,80.67,84.91,88.39,246.94
49.31,78.50,80.06,98.23,277.39,247.86,68.26, , ,253.03,213.83,77.32,221.37,19.34,80.50,133.78,20.24,296.81,67.10, ,165.33,126.10,156.55,297.63,80.89,180.14,178.29,225.87,261.13,19.41,164.37,101.20,147.39,188.61, ,265.48,216.72,220.95,30.72,143.71,227.55,137.97,286.47,1.97,138.87,5.94,250.20,207.48, ,191.77,226.60,296.11,159.88
242.40,200.99,149.68,16.60,296.80,244.32,94.67,13.41,236.79,130.71,27.17,50.33,3.34,162.10,298.38,169.72,27.95, ,177.63,46.44,226.33,79.80,233.81,114.27,247.44,245.02, ,217.73,180.06,44.57,220.52,64.13,283.73,160.95,269.70,60.01,16.81, ,117.67,195.63,247.26,165.90,160.37,110.01,7.08,272.58,251.60, ,41.85,205.44,12.83,293.28,280.33
271.98,127.77,60.94,52.19,225.61, ,52.63, ,59.71,264.98,37.16,222.31,279.78,281.81,2.91,65.44, ,37.42,112.95, ,172.66,113.50,139.02,150.91,170.28,279.05,19.56,115.78,95.23,69.63,88.16, , ,55.78,191.02,150.26,113.82,227.92,121.20,105.21,260.43,182.72,110.76, ,226.53,50.92,213.80,110.24,180.08,42.11, ,246.43,188.23
90.57,287.57,183.08,183.87,68.27,82.98,268.88,105.56,89.60, ,217.55,13.17,201.72, ,56.58,82.67,61.97,60.96,85.01,142.31,87.54,35.48,89.60,209.20,117.40,22.80,216.34,157.41,162.41,29.00,214.41,163.80,284.91,25.91,168.79,38.81,78.81,126.85,78.65,63.57,34.84,40.29,47.06,265.16, ,294.16,24.80,292.27,90.74, ,160.67,195.32,42.15
 ,169.00,52.43,206.11, ,292.48,191.09,186.48,249.02,150.41,21.68,69.75,46.98,49.94,72.59,107.13,219.38,283.75,133.33,268.02,128.70,70.58,0.05,176.03,253.92,26.56,282.68,298.45,83.09,237.31,293.65,270.42,125.34,274.95, ,242.97,271.66,111.04,203.53,167.48, ,193.93,297.62,275.47,206.27,44.46,214.24,188.02,251.15,138.84,272.02,169.07,253.47
123.52,276.08,112.39,213.64,7.85,182.93,207.33,41.89,232.79,289.91,140.80,134.17,167.15,261.44,118.67,108.77,159.82,133.81,213.54,278.54,258.71,204.73,250.67,117.82,202.75,4.28,48.78,23.18,244.63, ,63.30,60.93,59.35,139.31,59.32,10.11,145.47,185.45, ,132.07,5.71,237.05,78.37, ,101.55,93.06,153.92,285.71,161.85,60.63,76.63,187.92, 
33.38,286.13,80.55,174.20,153.02,96.24,97.08,32.94,37.72,152.77, , ,55.93,128.24,226.51,245.01,48.87,271.55, ,52.10,197.47,6.21,234.60,105.81,270.53,216.99,257.43,194.47,167.00,153.29,270.86, ,284.11,147.48,185.35,7.76,68.23,44.75,80.72,182.76,252.87,176.98,244.85,236.98,155.05,123.20,252.19,248.23,75.04,191.96,266.47,298.93,45.84
111.65,26.01,86.55,281.83,21.39,251.57,196.59,239.69, ,191.88,133.99, ,229.71,279.90,219.85,230.88,22.50,92.25,36.93,27.39,142.32,245.44,7.15,200.51,161.81,138.72,220.26,125.79,287.02,46.15,84.51,172.56,19.55,155.53, ,182.93,285.92,20.68, ,162.71,185.69,66.58,130.80,291.30,136.80,62.27, ,146.79,57.76,179.51,109.34,166.18,11.22
223.97,231.90,194.61,48.52,278.79,49.94, ,6.53,42.57, ,227.77, ,285.54,24.84,278.73,174.29, ,26.38,3.95,57.79, ,106.32,149.29,167.64,243.49,217.34,242.96,213.83,48.04, ,72.88,6.66,81.76,5.76,172.62,66.43,208.28, , ,86.22,193.61,159.47,118.48, , ,59.36,69.23,197.23,166.20,175.82, ,181.58,54.17
122.53,99.56,21.31,145.67,19.15,96.75,165.29,97.68,1.63,255.71,164.20,126.55,273.65,249.65,130.61,46.52,288.40,12.59,271.62,246.98,205.08,77.70, ,175.38,287.63, ,247.98, ,74.53,284.04,24.29,279.65,185.79,16.50,245.39,3.48,273.19,8.73,71.95,2.92,35.94,89.68,238.54,258.90,170.87,162.12,82.21,223.27,74.56,299.87,265.97, ,239.16
132.34,69.55,259.00,247.38,106.56,188.09,154.79,73.66,63.28,179.94,192.08, ,131.85,299.56, ,123.17,148.76,293.05,166.94,235.20,201.60,10.21,244.55,290.85,262.72,287.02,259.18,290.60,10.96,238.35,289.57,145.76, ,138.81,183.97, ,298.29,33.59,82.15,173.49,296.34,127.13,278.87,162.47,25.10,107.89, ,97.46,127.96,42.01,292.42,57.63,224.28
17.84,132.23,106.27,292.32,32.36, ,118.67,190.83,11.58,107.22,96.18,121.75,174.20,24.38,146.14,24.47,26.47,28.45,63.51,14.76,266.04,227.35,128.60,228.47,116.90,133.97,167.89,245.05,44.23,142.28,278.05,86.59,123.99,26.96, ,41.72,14.77,120.85,160.76,27.95,55.93,134.91,231.52,214.05,134.85,115.89,161.54,111.81,106.62, ,294.12,234.73,290.35
8.46,127.66,117.78,3.42,263.51,112.94, ,86.56,69.96,214.19,185.08,97.55,252.85,285.82,225.30,218.78,181.90,19.85,126.39,132.80,111.95,120.75,291.70,55.05,109.75,293.16,295.23,286.53, ,272.34,6.59,95.29,27.67,218.63,230.29,289.85,179.04,58.84,86.78,100.17,75.89,141.61,64.65,57.24,13.61,189.24,175.37,218.98,88.43,60.10,204.70,256.81,145.03
128.85,281.79,80.26,298.44,128.40,154.20,75.81,215.23,188.00,249.57,293.64,244.59,56.72,103.69,233.02,29.18, ,10.97,260.80,289.34,197.05,36.86,128.24,297.92,92.67,42.86, ,80.86,135.90,293.52,151.11,188.31,288.42, ,279.32,259.91,212.31,21.09,239.65,153.84,242.61,26.09,146.15,66.33, ,203.91,183.73, ,72.03,198.86,126.58,170.51,146.84
 , ,31.99,17.26,120.68, ,146.77,278.47,11.67,199.16,252.76,270.60,154.92,62.05,32.49,166.31,87.07,62.43,281.12,272.25,66.22,299.27,177.46,168.00, ,67.16,199.36,75.30,4.97,124.61,13.69,167.09,151.91,195.10,97.34,79.16,206.86,263.55,188.74,287.84,187.90,182.57,205.05,149.81,239.07,210.80,39.25,85.43,194.10,298.06,121.17,255.72,88.50
147.87, ,135.71,48.47,237.67,95.77,285.53,134.60,216.59, ,294.47,190.34,153.33,180.01,265.62,2.53,55.01, ,215.58,86.46,176.84,99.77,219.67,278.40,45.24,141.63,189.47,234.77,167.75,258.06,88.79,144.78,148.80,174.27,281.30,28.43,284.86,130.74,213.51,258.79,4.13, ,193.60,237.95,282.59,229.69,149.92,269.61,172.29,167.09,246.09,265.10,112.68
234.96,6.82,276.00, ,76.42,241.82,206.69,173.85, ,298.69,166.63,110.57,233.09,275.59,105.48,283.39, ,218.35,40.83,211.37,10.67,275.14,179.05,165.95,149.65,51.59,175.73,77.96,252.98,190.24,161.10,115.55, ,33.90,205.77,226.01,7.01,187.30,92.86,125.45,218.79,197.36,10.28,264.14,170.23,115.17,180.86, ,260.13,151.83,16.83,200.78,155.19
 , ,207.44,240.13,104.22,250.56,84.96,254.53,38.04,125.06,155.15,158.35,182.23,90.05,158.36,128.05,105.41,128.23,129.77,66.05,143.05,224.39,184.42,237.89,153.21,262.88,134.12,123.63,131.42,215.40,204.51,3.31,287.79,22.77,199.91,51.56,105.43,270.96,154.87,212.32,271.80, ,105.92, ,122.27,53.76,117.62,81.12,268.19,252.47,186.48,79.78,195.34
213.99,175.07,75.14,76.95,262.58,152.86,233.47,86.85, ,204.46,93.93,213.69,277.87,49.31,284.42,25.59,201.34,44.70,267.02,47.15,94.65,166.82,74.02,140.51,154.76, ,248.69,220.43,48.23,160.84,109.49,204.07,49.53, ,19.73,155.89,76.94,207.44,4.21,85.71, ,240.47, ,189.16,269.87,8.29,161.52, ,9.70,183.55,186.80,78.97,63.26
