Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74
92, , ,30,49,87,10,5, ,36,60,88,21, , , ,12,50,54,42,64,6, ,94,88,58,4,3, ,92,78,10,58,65,91,52,15,6,30,17,72,42,23, ,88,9, ,39,24,58,7,9,84,77,47,75,91,83,60,71,95,87,38,57,24,52,66,92,86, ,34,17,70,82
25,76,85,90,80,64,42, ,74,57,98,38,78,57,87,59, , ,68,34,41,90,6,1,29,34, ,33,82,9,32,87,46,2,47,30,95, ,54,82,64,33,98,33,60,39,40,46,73,97,73,0,45,79,50,56,72,14,67,1,56,86, , ,91,58,12,38,62,85,83,3,50,28
47,13,23,91,66,42,3,45,33,29,66,38,50, ,0,17,66, ,16,50,46,68,73,91,87,2,21,31, ,81, ,82,25,86,29,76,9,95, ,69,3,36,90,49,84,76,11,48, ,97,48,19,5,47,6,71,63,92,49,41,31,84,61,45,78,9, , ,51,57,77,59,20,8
14,60,65,6,88,18,60,78,24,99,24,75,21,50,57,56,15, ,80,32, ,0,32,46,31,58, ,82,22,9,35,14,9,10,12,34,21,46,64,17,38,32,36, ,59,66,35,31,27,39,30,88,52,22,84, , ,67,92, ,7,26,59,43,74,5,12,22,48, ,69,18,49,13
 ,5, ,13,83,7,64,0,91, ,51,92,12,69, , ,82,37,56,54, ,2,77,22,95,79,15,38,22,42,8, ,32,81,58,11,51,16,45,70,22,68,9,49,20,82, ,57,28, ,97,64, , ,77, ,23,34,54,79,38, ,77,1,27,17,25, ,23,63,96,10,42,33
45,4,51,2,20,65,28,98,88,1,40,45,44,39,88,63, ,68,10,62,31,40,91,10,92,94,82,49,4, ,92,31,27,24,1, ,76,13,80,19,98,33, ,16,65,58,95,63,6,17,79,66,95,42,14,31,45,38,59,93,90,95,2,13,50,40,50,59,41,57, ,88,94,98
90,27, ,79,30,69,91, ,32, ,39,71,10,36,17,54,95,39,15,93,65,77,68,55, ,5,40, ,21,72,84,54, ,49,78, ,33, ,99, ,34,83,30,95,25,45,35,4,7,59,8, ,7,59,66,16,94,65,32,80, ,90,23,97,46,86,52,92,2,36,88,18, ,20
74,85,86,45,84, ,12, ,98,21,17,96, ,98,31,96, ,31, ,16,75, ,41,67,75,74,11, ,29,64,29,95,79,81,23,6,27,18, ,81,29,77, ,89, ,18,63,23,82,6,65,99,29,70, ,94,39,64,62,27,68,69,89,85,39,23,35,14,76,49,12,22,28,48
55,42,2, ,91,70, , , , ,75,37,53,2,4, ,56,50,64,81,29,19,75, ,83,26,21,92, ,46,57,55,51,77,17,7,49,82, ,53,57,57,39,41,54,65,56,75,66,48,34,21,95,85,78,82,40,81,33,52,58,35,69,1,43,68,50,81,51,19,34,9,76,73
50,30,39,7,6,5,55,41,27,50,27,5,33,68,86,66,20,45,2,90,46,45,59,97,26,10,16,60,19,92,34,70,23,73,77,30,79,33,72,6,84,99,11,17,67,98,84,88,44,86,79,91,31,39,88,58,49,4,19,69,97,53,39,21,27,16,52,6,49,24,12,33,24,24
51,92,22,35,80,67,21,60,58,53,99,47,12,49,52,31,18,49,85,57,71,12,74,23,19,24,48,31,58,72,56,9,64,79,44,45,46,66,5,4,20,5,52,32,54,4,64,73,53,49,30,25,62,5,49,81,29,97,13,87,69,69,96,33,48,41,78,94,8,84,99,28,90,51
