Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111
197.84,24.32,212.45,248.64,131.40,94.08,293.08,23.58,77.96,186.81,250.31,95.59,129.21,171.03,245.73,274.44,178.87,282.17,35.13,85.36,111.43,238.24,137.70,215.64,94.48,121.04,271.24,266.63,27.47,211.52,262.10, ,140.97,98.93,219.85,17.65,141.17,24.62,34.78,161.31,80.92,71.48,234.99,92.35,15.59,246.97,192.11,105.55,17.64,265.37,234.22, ,75.39,48.49,214.88,182.37,115.86,236.81,81.12,33.91,240.51,63.53,156.03,34.85,214.10,154.47,173.55,175.46,17.59,270.00,258.89,97.80,298.50,16.32,259.54,196.17,14.15,129.35, ,164.19,70.26,213.75, ,51.24,226.01,21.26,1.32, , ,54.90, ,71.21,93.27,22.67,135.60,122.67,138.54,65.06,90.38,130.64,30.05,293.46,249.20,100.21,237.86,284.24,33.06,111.24,176.90,119.65,116.28
18.27,229.17,163.61,62.14,87.00,222.19,191.08,269.93,100.73,190.62,192.54,140.42,50.01,137.68,29.82,111.96,208.78, ,72.39,193.56,147.69,288.82,176.84,198.08, ,105.88,45.90, ,186.32,32.43,139.87,233.45,14.04,2.61,112.97,115.86,141.64,292.28, ,169.12,89.77,251.59,95.99,194.06,183.80,110.84,36.12,20.89, ,2.43,82.13,207.57,121.93,161.53,179.67,283.33,143.00,121.92, ,119.40,194.97,128.96,90.64,18.73,295.04,113.96,127.82,35.17, ,84.38, ,264.05,148.83,83.57,256.30,285.95,54.93,78.91,186.74,48.97,281.09,251.15,171.61, ,206.79, , ,292.12,255.22,90.02,16.26,45.89,245.37,193.40,200.50, ,70.06,218.50, ,169.65,41.87,170.60,53.40,239.83, ,195.05,277.53,294.47,30.54,182.32,26.34
52.64,21.66,229.88,173.83,109.80,142.02,190.62,111.82,30.51,24.43,135.56,210.20,238.90,262.98,92.87,129.84,92.94,268.20, ,142.04,201.45,264.98,52.68,71.70,86.17,214.04,64.61, ,194.65,162.66,276.12,146.94,101.05, ,69.25, ,211.28,250.56,50.65,126.02,282.14,192.47,229.67, ,145.67,170.45,288.78,276.68,175.02,45.36,40.09, ,89.20,163.26,99.23,250.19,20.21,240.89,143.53, ,119.34,243.00,16.79,17.87,176.09, ,221.45,116.19,85.38,61.95, ,161.18,195.34,182.76,27.33,271.21,212.33,214.13,80.34,87.10,224.39,291.09,184.64,116.68,84.26,282.64,267.22,195.45,230.27,290.23, ,261.44,86.00,69.62,132.32,28.43,224.93,221.62,176.26,42.10,4.75,79.60,31.39,233.11,153.69,184.18,184.99,266.79,197.60,212.31,36.95
260.44,232.36,187.31,102.56,205.57,293.59,144.97,208.60,218.93,89.40,173.58,248.73,245.37,176.78,176.24,98.43,175.62,18.75,139.41, ,44.98,285.93, ,10.91,151.66,1.03,32.95,215.45,14.99,128.00,18.51,105.51,140.93,147.72,44.06,280.99,32.11,22.33,283.20,1.00,263.08,75.93,176.65,277.69,152.19,83.41,109.93,287.64,170.06, ,214.12,91.53, ,1.14,216.85,6.10,119.20,219.89,265.19,186.50,288.18,48.58,209.40,260.52,109.37,32.39,44.70,11.43,9.48,268.09,296.91,144.19,243.36,11.24,160.61,151.44,236.44,220.39,58.52,42.86,11.48,87.79,230.14,51.42,111.80,165.94,293.69,224.81,74.20,145.59,133.79,83.61,197.04, ,255.56,258.93,196.39,211.25,264.32,3.99,122.27,69.88,17.18, ,254.22,91.83,89.03,96.84,295.86,176.64,249.45
 ,72.90,205.03,210.52,294.62,73.28,238.01,47.86,223.16,209.42,295.47,166.40, ,39.04, ,215.69, ,277.24,122.32,204.75,145.71,101.08,147.38, ,290.54,253.44,169.46,291.08,172.10,86.03,196.52,78.15,131.86,89.45, ,24.64,56.35,110.44,230.58, ,228.82,41.23,162.06,45.12,75.63,10.61,195.41,164.65,19.34,101.12,128.10,133.43,107.36,274.87, ,232.68,163.17,81.43,43.10,90.55,67.75,206.84,203.18,94.07,133.31, ,242.10,28.87,83.11, ,57.98,13.65,141.23,171.71,222.25,214.78,111.03, ,17.87,223.76,6.02, , ,78.36,15.29,282.78,243.47,156.38,75.74, ,252.56,108.39,233.56,187.62,5.72,62.45,131.97,223.70,159.44,10.83, ,118.07,133.99,111.56,106.05,137.42,139.86,100.18,89.73,202.30,129.07
196.77,242.48,270.44,250.50,185.78,26.33,66.66,65.40,150.69,65.52,163.23,144.28,220.06,86.76,68.32,232.87,262.57,56.14,50.30,223.76,23.83,239.93,110.41,268.72,176.77, ,40.00,93.49,159.67,90.16,95.81,214.89,268.56,117.05,140.54,125.33,147.52,16.55, ,21.88,146.93,240.97,238.65,189.63,40.24,32.21,12.94,237.16,6.75,190.89,167.94,33.65, ,109.07,100.12,282.98,141.83,247.82,120.27,127.61,168.64,94.53,57.67,128.07,139.47, ,47.80,36.98,267.97,190.53, ,185.43,6.05,93.67,265.24,82.28, ,250.92,70.80, ,203.52,26.77,125.37,90.79,86.15, ,285.23, ,284.42, ,290.48,51.54,240.70,26.63,241.76,171.13,119.37,216.08,93.15,214.64,49.87,228.46,180.18,284.89,198.11,183.87,208.55,132.94,200.90,182.81,137.12
155.21,120.31,45.76,30.37,55.77,23.83,2.36,197.92,130.01, ,13.88,128.89,117.56,150.18, ,292.84,214.89,70.74,219.34,248.66,76.90,29.96,288.66,4.73,19.57,282.62,148.62,68.80,84.80,248.10, ,240.93,122.79,246.93,8.33,106.65, , ,288.00,99.73,245.79,39.89,268.93,229.16,48.59, ,95.53,82.91,216.10,126.22, ,284.21, , , ,109.78, ,50.84,279.76, ,19.65,256.91,6.31,48.02,214.05,8.54,146.99,256.05,229.72,257.43,131.53,214.57,250.22,292.15,153.78,239.87,65.93,172.87,89.85,105.63, ,114.17,211.44, ,184.65,118.97,211.65,190.36,191.81,0.24,92.47,172.73,27.44,229.11,10.90,121.20,22.85,230.70,97.08,280.60, ,99.57,149.69,14.17,241.89,276.15, ,130.17,279.55,237.24,57.92
227.62,64.67,64.77,274.17,264.87, ,202.91, , ,104.41, ,46.30,4.66,83.54,170.72,292.43,271.76,56.10,229.48,149.84,116.13,156.11,78.78, ,133.12,36.51,248.66,283.83,69.68,168.52,26.69,196.94, ,247.29,102.74,11.50, ,127.63,27.12,155.37,192.54,293.91,226.02,294.07, ,63.75,196.06,92.51,165.19,31.04,117.89,289.25,86.37,257.03,187.39, ,214.21,6.83,287.26,150.68, ,178.22,208.51,13.33,201.95,228.16,291.01,66.77,175.45,140.53,16.10, ,34.44,56.34,150.25,274.12, , ,179.16,25.31,83.34,155.40,254.49,252.87,155.16,176.00,73.66,24.41,6.62, ,62.96,193.97,74.23,131.49,74.07,216.36,284.83,182.91,197.17,199.56,126.46,73.72, ,82.20,7.93,218.02,151.78,245.61,92.38,89.83,214.59
199.78,276.15,125.01,39.63,122.41,222.77,11.07,161.44,216.71,182.08,221.02,152.88,292.20,7.15,228.68,73.35,163.83, ,288.84, ,85.14,247.90,49.86,65.45,52.24,80.68,116.90,268.19,168.33,215.04,42.42,97.21,272.17,165.28,249.87,253.63,232.40,42.93,160.51,193.57,90.54,147.08,275.94,177.22,75.65,19.74,235.97,233.84,77.99,151.22,236.76, ,169.16,105.81,166.90,44.99,4.72,226.74,295.18,89.38, ,181.64,235.73,276.14,25.75,268.69,81.99,281.83,74.61,250.67,155.12,271.02,169.58,161.51,285.44,171.12,21.17,284.07,170.37,126.47,14.33,73.09,0.61,241.18,43.14,1.26,56.71,133.03,262.54,8.02,198.06,72.85,231.90,176.13,17.12,298.39,97.75,127.76, ,68.94,169.53,174.84,17.50,200.83,109.66,251.80, ,130.94,12.67,187.40,165.11
191.39,235.98, ,63.74,61.37,261.10, ,135.94,110.96,199.52,92.72,6.54,188.33,280.83,200.32,89.79,72.76,228.92, ,163.89, ,225.26,18.93,298.62,154.85,137.94,164.32,149.26,81.00,8.35,238.58,230.07,274.10,9.56,11.57, ,84.04, ,289.20,148.33,211.52,97.40,57.55,280.11, ,61.12,140.94,182.98,53.02,23.71,220.91,67.42,293.66,238.51,140.66, ,128.47,137.34,256.14,187.59,101.70,297.37,161.12,229.08,173.34,234.44, ,161.18,262.14,148.07,140.66,195.80,117.21,112.16,58.62,230.67,108.75,292.25, ,112.58,22.69,224.36,215.12, ,211.73,273.13,148.49,48.53,88.62,146.77, ,205.39,139.49,16.58,192.53,202.31,255.36,291.02,182.12,165.43,117.87,273.56,261.76,226.21,175.97,152.82,0.77, ,140.25,1.16,151.01
132.90,127.96,147.14,240.02,173.12,171.15,214.01,248.15,275.03,177.33,107.01,67.74, ,207.99, ,138.59,112.42,130.85,29.39,248.07,31.27,209.86,107.58,251.24, ,226.27,2.57,116.94,60.99,195.31,105.88,107.57,247.56,211.45,108.45,136.01,220.71,287.73, ,111.61,120.50,0.64,239.41, ,196.06,229.52,23.85,226.51,116.01,210.49,62.02,216.90,96.81,155.23,260.74,196.15,40.51,35.75,72.41,118.29,84.51,59.85,83.21,239.79,160.43,226.68,169.22,120.48,281.18,50.57,195.72,277.03,79.71,107.16,42.42,120.59,273.26,235.30, ,175.09,27.23,182.36,194.59, ,160.61,45.87,249.04,157.90,177.82,238.84,89.73, ,210.32,183.68,43.48, , ,195.84,243.94,234.46,104.14,299.14,50.48,60.30,68.22,169.89,225.21,95.57,65.29,14.65,96.65
189.12,276.70,38.99,163.16,59.16,278.06, ,28.55,138.86,36.84,190.50,50.43,138.24,110.65,271.54,240.77,248.74,6.37,33.96,196.86,286.17,285.47,242.73,13.07,34.63,206.82,92.58,270.50,214.14, ,185.68,15.71,89.51,221.73,44.64,20.08,134.91,37.52,126.97,192.45,86.17,115.38,34.93,281.80,286.76,40.69, , ,87.81,67.08,116.44,158.28,163.78, ,201.30,147.72,65.01,39.01,171.66,42.30,32.12,231.05,48.74,298.78,191.30,172.22,108.45,59.12,147.72,265.72,224.87,1.85,169.73,297.25,91.17,285.67,47.60,218.35,20.20,201.47,209.15, ,17.60, ,262.56,223.76,254.37,41.72,138.52,297.08,252.83,175.32,211.54, ,129.89,175.42,220.73,256.17,199.26,52.05,236.33,294.47,211.77,206.33,281.63,165.07,70.61, ,9.11,215.65,294.75
39.74,155.63,297.95, , ,202.10,208.05,91.11,71.27,278.99,215.85,104.33, ,57.64,176.49,241.63,217.24,80.56,32.16,256.96,233.15,84.32,136.72,120.89,15.10,188.37,270.95,58.69,152.52,30.19,38.83,69.83,148.36,215.08,57.62,62.73,100.72, ,237.44,141.43, ,196.53,60.33,20.33,171.70,235.35,201.85,173.72,230.25,122.07,202.59,17.37,170.45, ,190.99,203.25,202.36, ,237.56,96.44,188.57,130.73,170.03,98.10,4.27,65.82,173.67,6.03,233.74,9.13,67.47,249.36,267.03, ,204.59,125.29, ,93.44,40.62,25.80,7.22,167.06,156.41,41.46,231.78,38.92,21.30,5.58,206.28,229.24,177.21,60.42,174.08,32.90,117.33,53.42,88.78,197.60,261.22,107.63,214.24,133.91,252.94,206.21,112.11,94.34,92.82,29.00, ,61.91,125.96
235.02,209.39,148.10,116.73,262.22,1.40,143.63,61.71,143.15,95.23,15.27,71.41, ,38.31,175.46,4.62,154.93,205.47,103.23,127.17,22.27,191.78, ,128.73,263.65,113.67,250.47,143.42,298.97,60.19,132.43,182.24,135.04,33.96,240.60,272.65,116.29,22.77,90.06,140.09,123.37,112.59,82.69, ,81.66,155.92,45.40,141.53,271.06,207.87,219.50,89.18,118.18,73.26, ,224.76,42.50,159.36,121.98,111.09,23.72,73.63,69.47,124.54,180.71,151.24,22.94,86.42,271.30,146.69,273.93,242.42,119.58,171.50,43.84,159.26,6.66,50.56, ,175.09,23.25,170.73, ,23.86,74.90, ,221.59,65.98, ,82.40,76.18,54.18, ,213.45,243.15,238.12, ,113.22, ,91.75, ,93.22,139.53,228.53,89.72,297.57,234.90,195.38,33.87,131.10,163.01
213.53,256.79,298.22,271.59, ,181.10,254.98,182.49,43.00,212.82,111.64,238.41,190.95,225.48,80.60,3.52,109.38,56.06,11.08, ,21.42,194.87,242.81,246.86,52.35,278.74,172.57,294.28, ,243.77,5.78,185.51,123.64,22.15,37.08,5.78,54.65,245.72, ,255.07,2.34,126.82,63.29,255.39,63.58,1.34,126.43,238.75,149.35,157.88,270.72,34.82,245.76,267.29, ,222.37,267.20,257.50,293.08,203.67,20.47,51.98,150.75, ,286.47,246.10,256.08,35.46,238.39,19.34,46.01,128.05, ,57.84,199.67,91.08,101.57,127.66,185.25, ,197.71,158.27, ,114.35,144.69,299.03, ,204.71,108.80,48.59,90.61,259.87,273.85,243.10, ,96.65,169.29,168.37,186.16,243.40,72.81,105.77,213.99,276.55,39.17,134.50,99.92, ,241.45,122.46,76.53
281.20,182.62,215.55,195.24,260.19,0.54, ,72.38,231.90,48.18,58.24,70.44,199.94,99.61,252.14,267.60, ,14.78,274.45,164.88,158.05,65.45,173.35,230.97,298.87,183.80,38.13,40.39,266.42,295.90,122.22,125.08,245.42,235.79,70.18,89.57,225.74,86.82,222.00,234.72,297.68,190.82,184.99,232.10,101.28,8.89,208.06,11.19,273.83,73.36,47.65,272.24,17.96, ,239.95,7.21,74.51,51.64,10.71,42.43,84.13,171.01,178.49,18.83,278.80,105.34,13.46,295.05,286.23,59.34,130.94,87.01,192.27,15.78,121.51,65.10,28.64,213.28,241.08,239.11,197.91,242.70,12.72,198.22,291.86,225.14,24.11,28.26,150.81,119.37,102.25,177.96,120.58,38.02,23.34,281.55,21.57,132.62,162.00,33.25,288.39,276.66,270.55,228.88,48.96,93.68,232.71,282.10,62.89,114.95,297.24
7.48,20.74,53.10,170.94,36.61,44.74,171.83,18.19,136.65,148.95,218.37,201.98,134.94,220.59,51.10,46.38, ,67.13,289.74,69.62, ,228.95,299.75,136.12,201.48,85.09,203.10,132.09,203.93, ,124.52, ,42.35,179.62, ,78.31,280.30,44.83,76.88,266.52,1.78,79.15,69.55, ,73.01, ,276.94,52.67,145.61,143.81,53.33, ,131.64,119.63,136.35,56.46,52.92,3.80, ,278.34,142.85,179.95,138.72,33.21,258.35,65.09,287.72,224.95,250.07, ,229.64,33.08,154.85,220.22,123.38,136.99,76.34,110.27,131.70,214.07,225.50, ,27.65,206.59,207.66,269.08,86.30, ,72.39,273.43, ,96.81,272.39,2.45,137.40,97.06,97.37,30.05,208.31, ,114.90,178.53,279.39,57.86,220.30,78.06,122.87,290.54,185.84,51.42,155.07
248.28, ,68.42,222.36, ,193.22,57.69,63.19,104.63,138.37, ,216.43,74.17,209.20,15.73,174.57,81.94,115.21,141.39, ,63.75,78.62,251.99,28.72,173.38,136.24,158.27,228.18,161.71,286.13,73.79,159.42,294.94,55.94,110.11,67.74,99.92,130.83,282.66,67.10,292.90,167.79,290.88,228.10,154.02,137.45,127.23,168.53,265.59,158.66,164.03,249.56,72.75,15.87, ,82.97,232.84,79.23,277.18,12.12,29.21,267.22,53.58, ,175.74,50.02,5.38,260.80,178.01,35.34,88.95,276.86,208.13,79.62,240.34,4.27,284.03,37.33, ,1.42, ,231.10,194.34,30.68,191.43,188.68,102.59, ,79.44,110.18,57.64,282.95,106.60,296.48,90.39,21.43,4.13,22.92,75.71,151.44,150.84,119.53,162.72,279.67,75.18,284.77,192.18,145.28,20.78,36.00, 
57.43,83.41,225.90,14.51,55.60,36.14, ,113.75,162.05,220.63,183.27,70.06,173.12,74.23,57.08,5.07,167.66,219.77,133.95,120.97,179.54, ,295.28,169.15,293.26,194.38,145.83,0.55,272.91,295.50,272.97,171.88,273.39,29.10,213.88,200.82,32.58,288.54,98.37,1.62,120.26,22.13,295.78, ,268.69,182.87,211.52,7.38,262.00,49.96,1.19, ,234.33,209.84,263.45,80.56,99.83,161.06,166.91,144.63,125.53,237.15,294.72,268.41,187.76,65.53,56.91,172.31,204.11,214.11,90.34,132.62,195.49,12.13,150.53,116.68,239.96,237.09, ,205.50, ,261.22,96.98,284.30,9.37,51.43,55.98,218.16,31.94, ,44.08,32.82, , ,140.80,245.97,26.15,25.71,112.69, , ,25.79,140.19,11.20,270.18,281.83,184.92,41.07,271.53,129.84,82.77
10.82,46.10,180.21, ,292.91, ,123.73,180.76,53.30,27.59,44.93,182.27,104.90,158.84,297.23,40.69,259.31,108.74,88.49,77.24,281.86,239.96,29.63,69.50,12.68,106.42,106.51,287.46,212.03,287.84,134.98,289.26,80.05,99.71,86.96,187.52,67.49,174.40,248.21,180.05,40.99,18.49,275.16,58.90,152.25,96.45,75.27,81.51,183.71,23.85,58.17,39.49,38.87,222.77,157.79,247.95,89.29,46.28,272.39,251.63,151.92,111.86,133.79,82.50,74.60,288.17,17.74,258.42,241.54,43.68,284.02, ,73.31, ,137.76,149.59,55.10,137.47,228.71,60.33,288.76,117.57, ,135.30,226.11,246.12,235.58,91.32,43.58,185.29,2.39,237.58,170.85,229.25,167.81,98.15,189.27,296.58,200.78,170.77,23.79,234.19,162.35,186.59,190.15,293.92,187.63,284.32,170.61,96.30, 
194.45,3.35,214.01,28.31,40.32,69.69,89.39,19.56,215.66,5.05, ,197.59, ,181.90,21.52,29.95,209.55,277.36,51.93,82.45, ,122.77,6.96,24.82,299.53,251.69,144.78,144.42,114.40,224.27,16.85,78.01,229.29,54.15,54.34, ,134.59, ,70.02,27.39,225.78,234.57,251.93,116.71,121.71, , ,279.16,65.72,185.32,59.57,137.21,184.99,248.50,109.27,257.53,113.37,163.57,60.79,127.29,211.84,108.60,294.98,112.05,144.92, ,204.50,192.91,121.83,266.92,64.04,147.14, ,30.46,146.75,179.75, ,91.59,77.35,218.02,207.15,10.03,34.42,141.37, ,263.20,199.86,246.14,299.96, ,30.41,130.87,90.84,90.40,27.95,277.52,32.85,224.68,89.20,257.41,186.43,193.78,90.22,14.66,46.54,259.64,72.58,198.62,195.42,45.84,156.76
