Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95
97.92,101.81,125.28,250.93,238.11, ,43.23,239.92,76.77,297.57,66.75,206.29, ,254.18,199.73,123.40,203.15,162.71,31.12,85.33,129.32,67.66,66.67,42.16,160.58,223.21,84.19,273.30,196.40,67.74,182.04,256.77,112.47,90.15,107.46,125.63,198.92,39.02,277.10,191.22,98.62,204.70,222.97,25.84,105.48,215.50,284.73,72.70,291.74,240.79,38.33,36.00,259.71,202.84,156.20,74.50,208.48,137.64,157.19,250.82,257.06,250.18,38.59,38.99,185.74,129.54, , ,161.31,240.55,242.73,158.20,51.58,296.42,198.14,52.70,116.28,15.28,251.55,89.34,84.20,270.33,199.14,79.27,22.46,124.60,116.58,282.41,49.49,57.39,132.44,96.59,119.85,15.18,165.73
61.95,79.60,163.67,48.83, ,71.28,163.80,79.35,18.88,196.09,4.91,130.15,240.30,234.85,94.04,217.90,68.20,278.17,31.50,149.31,296.12,237.21,257.07,6.52,264.08,273.66,46.33,83.98,182.68, ,276.73,256.70,93.28,153.46,156.03, ,130.47,263.68,266.41,84.24, , ,175.54,17.30,274.18,208.50,120.12,133.59, ,8.88, ,162.34, ,272.72, ,79.21,82.70,59.75,18.55, ,194.09, ,115.96,33.84,257.85,271.76,299.15, ,237.63,262.66,88.83,245.19,14.59, ,60.20, ,78.75,268.72,227.19,88.81,235.11,286.02,85.04,88.21,177.77,165.07,95.70,75.81,57.75,125.09,150.60,297.77,69.41,202.20,167.76
24.77,104.29,191.93,88.25,150.12,5.97,106.46,269.09,142.57,272.66,271.12,236.69,52.61,235.38,2.70,245.83,206.00,38.27,239.45,78.06,92.55,104.76,185.70,81.27,100.68,295.93,177.19,40.70,238.71,184.62,79.21,268.88,180.56, ,120.01,161.19,226.22,14.35,130.92,206.50,188.88,155.12,137.63,1.39,26.46,252.05,56.67,236.75,263.06,125.01, ,286.20,3.79,7.01,62.35,35.51,284.09,76.67,133.58,246.17,190.87,153.06,280.29,95.48,198.62,147.18,116.95,274.35,64.80,249.75, ,285.26,60.65,125.36,114.79, ,15.80,175.22,39.38, ,134.86,3.03,24.86,291.19,259.07,223.04, ,50.20,46.93,77.65,224.26,142.92,34.68,94.67,27.58
65.42,268.91,135.02,267.96,134.34,78.82,49.25,7.94,36.25,198.34,83.00,196.98,36.63,84.64,141.57,265.35,244.21,150.09,77.42,198.97,244.25,158.03,297.04,92.94,220.83,147.19,113.87,229.76,275.83,281.80,126.63,24.39,181.41,150.07,292.53,170.59,26.83,230.29,194.58,57.15,14.51,119.25,248.51,278.87,63.42,41.74,207.82,260.89,240.60,48.05,159.99,169.92,247.25,210.69,123.43,257.24,172.18,266.32,125.51,45.03,205.86,78.98,152.89,202.90,150.82,26.63,169.59,197.64, ,108.32, , ,215.90,248.35,224.44,117.90,114.06,75.50,85.81, ,125.67,147.20,43.03,287.31,70.38,29.46,293.27,187.31,204.02,17.78,69.88, ,239.52,21.15,101.70
204.20, , ,2.61,39.31,196.44,246.82,281.38,74.67,201.26,173.53, ,69.95,248.71,56.10,105.42,251.28,275.32, ,271.60,54.14,285.74, ,232.55, ,246.49, ,147.75,87.25, , ,11.03,241.47,210.94,138.26,259.28,268.90,85.17,158.43,63.93,58.91,141.00,242.98,216.85,198.41,285.18,161.31,72.41,63.34, ,201.60,108.95,114.46,100.35,71.67, ,180.70,253.08, ,196.05,175.33, ,179.44,178.82,268.17,143.52,234.58,233.11,102.14,194.61,48.65,87.06,43.86,200.43,289.46,193.00,34.24,126.57,151.74,254.42,256.63,151.42,91.13,271.36,32.82,208.66,253.24,26.55,263.47,294.04,85.89,211.74,66.82,33.81,43.71
38.46,86.17,191.55,274.41,70.58,28.88,88.70,274.95,279.22,42.22,191.35,160.30, ,227.12,282.04, ,270.27, , ,74.03,233.73,239.89,55.66,283.54, ,258.50,230.10,1.83,88.26,63.67,78.17,32.74,136.47,30.48,103.27,94.64,20.65,120.15,198.74,8.50,39.80,2.70,163.91, ,252.18,236.94,212.63,176.26,64.19,3.33,197.37,179.45,110.89, ,135.84,286.70,264.36,111.34,296.42,271.58, ,106.04,70.95,34.34,291.52, ,294.85,238.69,62.80,195.98,214.10,6.58,176.16,227.31,238.00,262.76,93.41, ,200.03,34.30,208.36,32.91,20.67,188.36,279.06,1.73,118.77,70.96, ,41.90,197.22,170.61,189.49,50.17, 
11.32,98.43,265.24,169.35, ,57.71,26.66,93.41, ,126.97,100.73,203.90,233.91,218.23,73.29,144.06,46.31,217.83,75.05,276.08, ,23.69,260.67,264.49,141.39, ,3.39,217.73,194.00,91.10, ,164.39,89.58,40.80,60.63,20.00,161.62,112.70,266.51,235.65,127.45,276.65, ,123.03,287.72,77.86,129.25,243.21,112.97,164.54,146.65,77.92,211.70,203.06,8.82,32.66,103.88,216.47,190.13,38.61,56.51,256.66,139.86,9.51,285.90,10.75,224.12,222.91,130.99,232.83, ,265.49,206.28,296.10, ,35.59,143.16,173.74,277.87,299.70,266.42, ,277.17, ,65.84,221.37,167.03,36.64,119.69,175.72,112.36,160.19, ,3.35,125.38
217.93,102.88,105.40,66.73,206.63,148.41,73.66,114.73,81.87,47.55,259.87,10.51,102.63,105.89,98.52, ,16.44, ,221.75,100.52,258.22, ,106.64,214.42,69.58, ,153.74,131.89,132.27,267.86,0.86,40.88,5.03,115.82,262.09,250.93,26.04, ,166.81,24.62,167.66,223.52,247.93,233.30,245.63, ,180.53,103.16,175.93, ,291.75, ,29.31,196.16,43.54,222.16,290.55,227.00,226.90,32.68,261.71,285.89,123.62,113.97,87.84,34.96,281.65, ,10.96,289.01,96.36,288.47,245.49,82.69,218.77,62.91,72.80,244.92,280.75, ,207.53,214.09, ,195.74,251.33,213.72,273.01,195.29,165.77,253.35,171.02,59.55,131.15,91.07,242.57
187.41,279.34,80.83,245.07,82.73,183.27,136.75,6.54,117.77,172.82,120.77,243.25,277.77,12.67, ,255.23,37.87,119.99,202.82,69.53,124.55,62.65,102.68,127.54,36.71,7.53,120.62,51.08,29.14,13.60,275.94,238.62, ,58.62,293.63,207.80,224.99,235.67, ,154.61,111.13,173.39,299.15,170.04,294.94,175.71,297.15,277.38,165.46,294.39,61.84, ,234.86,85.25,65.81,25.14,172.80,112.74,215.62,161.50,101.70,141.56, ,293.20, ,158.66,287.99,217.67,73.91,102.62,23.06,220.83,107.78,264.67,85.09,27.27,146.14, ,287.70, ,280.90,58.67,182.68,1.94,129.47,252.88,235.02,100.52,24.15,249.47,128.82,169.10,281.15,285.07,2.94
53.48,251.13,123.39,158.80,234.16,201.19, ,136.21,20.88, ,229.18,175.94,276.09,214.10,60.28,245.64,123.45,47.05,111.26,208.39,295.78,258.33, ,178.68,192.56,25.24,128.73,255.62,242.87,100.83, ,299.99,124.16, ,171.21,256.12,106.41,37.44,184.52,278.54,267.60,262.76,250.77,259.62, ,202.49,79.06,268.00,248.34, ,93.20,100.52,5.03,275.51,155.88,276.89,223.23,5.51,237.34,277.48,162.68,99.44,34.77,37.73,150.37,16.31,93.26,292.91,23.75,140.76,128.45, ,51.68,19.57,299.48,215.15,138.53,295.87,205.63,246.01,48.28,35.74,169.16,284.77,176.31,108.21,81.64,70.00,288.00,70.99,65.41,183.91,157.00,112.22,77.69
82.06,134.12,117.84,270.37,270.74,55.80,202.63,4.81, ,292.81, ,280.29,27.87,31.55,43.99,247.50,201.99,247.66, ,65.50,117.74,10.14, ,89.09, ,93.90,32.09,201.88,67.01,101.69,61.02,275.20,234.06,106.78,44.54, ,110.04,228.74,192.42,202.05,60.23,75.41,295.47,101.80,229.14,170.99,192.29,135.55,91.62,203.86,276.97,166.23,229.03,65.16, ,267.21,48.36,178.37,226.07,50.08,269.63,166.35,73.64,265.53,115.52, ,170.76,121.32, ,50.34,27.09,120.08,274.74,224.89,116.72,193.61,146.31,48.15,293.22,36.56,292.50,156.70,22.84,188.39,293.55,191.78,110.53,14.92,180.30,238.38,90.76, ,237.08,211.97,288.44
 ,247.18,138.38,93.34, ,281.73,129.04,112.82,31.00,164.60,4.98,54.65,195.18,165.83,181.86,81.99,111.56,117.49,206.67,231.16,56.87,288.94,133.37,35.59,226.44,280.63,4.60,233.43,221.93,32.03,177.07, ,288.64, ,126.46,12.96,156.87,270.52,255.73,247.57,268.25,191.52,105.44,284.17,95.90,138.14,9.89,241.95,3.85,75.58,213.24,187.93,158.36,215.92,262.34,105.41,37.51,179.49,193.05, ,288.95, ,116.88,35.19,63.65,183.09, ,96.32,57.29, ,215.74,200.20,245.83,108.68,2.54, ,195.59,8.11,221.59,1.42,63.27,64.89,243.34,271.66,131.87,206.09,244.69, ,122.77,123.80,217.60,219.62,21.94, ,206.47
80.09,294.29,268.14,245.67,263.30,251.14,246.28,13.16,145.65,13.74,255.14,297.52,164.82,103.42,93.41,229.32,217.79,16.85,282.79,97.41,179.84, ,126.12,54.42,51.43,30.82,140.91,128.86,140.84,25.82,263.67,6.43,253.50,154.01, ,116.52,158.92,285.40,122.48, ,139.57, ,170.39,281.27,202.80,287.25,229.49,36.74, ,173.90,0.82,58.14,144.43, ,140.79,272.75,171.56,102.84, , ,188.10,119.65,252.66,163.97,171.26, ,242.05, ,242.87,124.19,246.94,229.09,99.56,51.00,129.19,85.28,127.08,245.89,64.28,53.63,80.70,128.95,166.93,294.09,6.07,266.32, ,195.41,37.02, ,8.14,245.59,123.34, ,69.23
131.07,73.03,48.48,188.27,164.85, ,274.65,88.88,50.91, ,91.64,233.63,71.49, ,164.91,201.64,52.63,62.77,294.07,68.89,10.37,156.83,16.02,200.10,72.46,131.23,42.66,142.47,266.07,55.01,285.94,62.68,177.69,58.99, ,127.88,257.92,20.58,189.31, ,294.21, ,125.44,253.89,275.84,286.10,234.94,264.32,179.76, ,5.21,241.03,189.77,210.68,125.36,252.37,231.02,201.94,72.03, ,92.05,276.07,289.53,195.23,102.59, ,171.87,18.63,32.97, ,243.64,43.03,223.83,145.46,222.39,242.45,83.85,268.85,112.66,270.93,212.23,82.87,245.40,187.60,196.04,275.97, ,19.00,291.29, ,161.71,187.30,219.55,138.66,31.07
146.77,259.20,75.54,227.97, ,115.57,101.19,55.19,279.02,295.00,113.64,132.02,81.89,295.04, , ,84.11,30.21,285.36,161.66,17.17, ,132.74,33.78,17.01,23.32,269.66,204.85,125.64,246.14,275.37,136.66,83.29,189.01,148.17, ,175.61,213.67,128.13, ,172.43,116.63,283.70,189.38,250.55,168.88,76.84,195.87,3.07,76.31,148.58,170.30,100.10,93.33,293.81,50.27,161.30,61.99,253.20,33.55,266.39,100.44,46.69,256.73,275.49,241.83,257.53, ,57.63,97.06, ,65.86,137.87,183.10,72.17,151.23,40.05,8.15,160.85, ,117.58,112.30, ,236.36,158.55, ,136.37,131.71,103.01,245.87,31.00,102.35,296.95,207.35,216.21
275.42, ,93.00,296.94,122.06,51.79,173.40,116.98,49.29,13.56,170.85, ,16.58, ,13.53,2.84,270.37,103.52,235.33,17.05,140.15,165.58,119.72,109.52,249.53,161.69, ,32.54,284.19,152.93,62.65,82.52,177.45, ,118.87,190.80,0.79,275.03,222.90,205.35,31.46,191.22,117.96,225.69,231.41,277.73,37.46,93.61, ,226.81,181.13,113.29,296.14,292.08,67.14,67.85,118.29,290.77,40.69,237.14,169.39,143.21,249.41,274.09,90.29,100.11,196.24,288.47,57.64,54.88,67.38,224.33,45.46,197.11,153.07,251.64,46.19, ,295.60,177.02,213.17,273.33,274.17,173.07, ,153.62,69.13,44.17,106.66,208.55,175.78,138.02,84.08,222.27,179.81
164.03,258.31,26.35,216.13,15.97,157.43,4.11,90.58,220.02,137.91,201.02,190.20, ,274.27,63.38,103.05, ,156.07,67.28,209.74,95.50,66.08,95.29,179.49,118.48,83.12,228.09,270.09,23.17,92.56,174.58,49.45,179.16, ,246.44,259.67,183.46,295.93,280.67,15.88, ,115.40, ,43.48,111.09,256.96,254.33,96.87,252.82,187.33, ,133.77,89.59,129.76,59.54, , ,282.03,10.27,71.84,140.91,262.35,262.60,257.00,281.51,118.80,152.51, , ,223.46,49.90,255.95,19.37,235.11,33.77,98.83,96.64,111.25,242.41,243.64, ,225.15,58.62,17.09, ,3.37,159.01,12.45,162.71,26.55,33.22,43.19,165.93,71.78,198.83
51.04,213.61,67.62,49.49,95.29,232.28,44.49,151.93,206.26,88.76,112.46,293.12,254.03,295.49,136.24,40.01,36.79,178.14,31.82,158.65,12.88,225.78,182.22,114.30,92.35,21.29,25.05,60.47, ,55.96,9.70,44.91,287.06,75.11,30.36,250.12,15.61,83.25,223.28,187.28,253.31,33.05,115.39,218.59,220.92,99.37,224.82,127.59,142.82,3.35,205.42,30.65,294.53,294.00, ,181.28,228.16,262.62,87.01,4.87,231.00,280.84,204.23,289.20,267.94,119.47,97.31,171.77,67.48,12.34, ,193.62,188.68,177.49,252.25,279.83,118.57,114.57,163.47, ,269.37,279.59,207.64,161.26,99.06,48.76,258.57,172.01,220.53,276.91,239.49,206.19,289.26,224.78,166.71
