Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139,Col140,Col141,Col142,Col143,Col144,Col145,Col146,Col147,Col148,Col149
298.26,201.28, ,228.06,51.98,133.31,127.76,126.99,87.45, , , ,258.40,243.50,202.63,140.07,28.60,0.09,161.59, ,44.38,209.31,8.20,73.20, ,200.19,250.40,182.83,108.84,127.96,134.68,26.79,230.91,223.84,82.24,132.37,129.81,42.74,270.00,299.37,248.31,177.71, ,60.54,14.59,73.20, ,103.79,11.19,149.11,265.70,20.46,64.77, ,107.50,29.87,75.81,141.17,13.56,181.12, ,195.71,58.32,12.31,56.37,196.80,258.53,136.82,260.57,129.26,9.09, ,201.96,186.15,256.87,83.01,273.81,33.70,126.44,261.98,52.72, ,258.20,47.85,223.01,296.62,28.85,257.95,207.67, ,250.81,165.02,34.30,101.94,88.50,64.35, ,117.07, ,75.27,150.13,203.00,166.91,187.39,213.22,80.30,231.85, ,96.88,83.28,166.86,24.21,215.63,12.18,110.66, ,90.65,278.26,123.12,248.91, ,162.13,98.10,208.91,63.77,194.13,241.49,298.34,156.24,40.39,246.66,282.88,241.71,32.90,70.59,184.27,195.88,58.15,61.19,123.19,272.85,272.02, ,270.35,234.54,220.42,130.98,85.84,13.18
218.51,103.90,132.81,292.47,243.15,240.39,109.64, ,126.95,97.39,7.73,139.80,197.84,23.03,28.61,282.49,127.16,165.81,63.84, ,243.04,202.66,204.17, , ,139.25,184.62, ,162.04,185.94,127.08,29.19,117.61,217.60, ,83.41,6.56,84.72,128.17,133.03,299.68,119.57,67.98,183.44,166.22,247.81,194.83,255.30,274.39,268.12,209.71,87.68,185.76,165.87,159.78,46.27,80.72,298.39,170.02,210.57,249.57,262.35,15.16, ,289.55,163.05,94.34,296.39,100.34,176.48,28.57,160.54,256.10, ,104.80,68.24, ,17.81,194.99,188.92,57.15,297.27,87.18,134.79,102.23,252.36,49.41,154.08, ,110.18,55.38,132.73,230.37, ,104.13,3.66,73.01, ,70.29,258.70,115.80,264.13,294.63,100.34,96.92,144.53,246.62, ,79.35,52.46,164.98,105.10,149.63,229.44, ,210.45,110.30,22.13,77.18,17.26,292.32, ,136.86,134.43,143.36,60.31,58.51, ,163.60,202.04,23.36,290.10,203.05,260.06,174.82,241.93,214.76,6.25, ,27.52,107.88,150.79,66.70,93.47,72.89, ,114.60,244.34,144.55
205.10,72.55, ,14.48, ,248.74, ,19.85,96.18, ,246.97,243.35,89.38,229.15,83.59,187.51,148.46,175.31,136.67,133.48,262.34,35.13,83.72,230.93,290.49,266.14,54.57,93.72,271.93,120.72,66.63,83.46,40.30, ,176.97,102.13,168.97,190.62,291.33,10.98,75.42,46.95, ,256.43,268.17,129.49,283.89,97.13,111.22,26.12,14.40, ,169.89,89.60,181.77, ,192.75,220.86, ,233.74,165.13,54.78,169.84,77.39, , ,177.18,170.86,92.64, ,262.52,228.65, ,9.58,279.83,89.32,80.03,28.84, ,83.62,233.25,116.06,168.12,176.40,131.66, ,235.26,1.52,201.15,227.65,193.00,82.07, ,162.10,178.56,68.79, ,2.04,261.98,57.60,177.66, ,11.11,289.69,44.47,184.77,57.91,262.02,177.57,115.11,249.72,146.92,255.85,20.55,254.82,202.94,199.47,232.03,249.86,194.20,51.97, ,109.88,25.38,52.04,190.40,219.44,238.64,139.92,258.50,186.30,188.19,179.79,295.93,44.96,284.58,269.62,102.65,238.03,154.79,97.74,81.78,229.25,255.14,251.90, ,138.20,242.61,73.75
198.04,82.67,148.71,85.30,224.60, ,52.63,140.37,64.78,167.55,242.57,63.19,36.34,32.67,60.22,4.05,132.82,180.59,16.89, ,229.16,198.61,279.78,219.81,282.98,297.70,84.53,40.19,156.73, ,87.03,246.45,15.94,259.26, ,276.15,61.56, ,260.17,106.00,204.57,161.35,233.85,131.06,178.54,210.97,121.73,254.35,89.09,147.44,166.81,24.51,236.77,192.11, ,298.11,119.14,236.66,168.11, ,222.35,106.79, ,228.52,244.23,220.42,144.13,81.32,293.28,256.10,39.31,137.67,228.35,271.67,122.48,240.02,62.13,226.00,183.46,26.78, ,247.20,295.34,123.53,209.25, , ,10.04,270.01, ,226.82,217.17,158.91,168.51,50.77,116.49,249.01,61.92,90.48,95.55,227.67,215.71,81.00,208.44,18.07,256.97,275.02,294.19,31.33,54.97,257.19,16.32,14.74,6.42,182.38, ,110.05,27.37, ,75.42,198.01, ,154.98,147.79,32.56,60.45,36.70,152.45,158.87,222.89,65.07,119.51,139.77, ,167.14,72.45, ,270.46, ,125.44,175.45,106.99,215.02,193.88,154.69,216.45,24.93,278.42, 
 , ,202.63,59.94,297.16,295.52,38.55,93.06, , ,219.96,162.65,249.69,76.90,136.67,76.66,268.67,263.32,22.50,38.85,6.58,84.94,3.63,25.29,236.45,44.33,279.74,78.63,127.20,281.16,145.78,254.12, ,217.43,210.01,267.43,89.96,77.38,7.07,117.35,137.32, ,293.74,55.07,250.44,227.90,146.14,289.41,188.13,17.69,86.94,84.15,191.03,156.77,94.66,100.46,194.96,46.50, ,101.57,113.18,188.97,129.98, ,230.24,211.11, ,298.05,51.65,240.04,234.21,233.90,23.60,186.80, ,75.50,280.38,141.24,225.53,94.20,220.20,38.97,272.38,129.36,58.12,261.42,141.00,131.26,208.16,19.65,142.39,101.56,131.72,86.99,128.81, ,49.01,284.40,178.02,9.67,49.00,160.83,57.46,77.62,253.55,209.96, ,5.11,6.36, ,93.35,200.21, , ,180.19,129.53,114.79,257.61,55.67,110.15,163.83,3.45,228.97, ,112.55,273.01,55.34,212.26, ,186.80, ,66.99,23.37,27.63,82.82,218.25,1.57,65.08,34.83, ,248.23,230.86, ,49.77,44.30,171.50,148.83,182.75, 
 ,41.03,68.70,92.32,25.10,18.33,283.22, ,101.53,299.52,168.14,82.15,43.72,261.72,193.01,215.39,95.42,149.86,190.21,88.64,298.80,195.48,165.74,61.62, ,61.14,118.18,81.80, ,125.98,136.92,92.28,127.83,173.82,184.02,251.40, ,250.20,136.66, ,85.31,288.18,161.95,153.53,69.64,26.78,232.06,214.62,216.01,212.04,20.15,153.86,68.72,221.75,231.70,244.81,61.73,52.36,220.83,146.18, ,172.96,199.88,100.72,252.67,136.26, ,232.32,134.87,291.39,224.94,17.54,240.11,102.75,2.95,198.36,14.06,22.09, ,58.75,290.29,144.04,53.91,58.88,142.23,241.66,284.85, ,154.60,295.65,97.33,280.93,147.72,161.87,195.14,228.56,218.22,40.06,293.89,103.65,189.65,185.82,148.42,4.87,155.43,260.37,299.12, ,146.84,110.32,131.43, , ,256.47,67.51,179.09,104.90,4.58,9.06, ,59.63,119.90, ,80.27,97.59,116.26,257.86,261.09,264.83,116.74, ,184.25,270.59,27.45, ,295.91,96.84,162.52,232.70,293.26,245.39,34.53,35.27,288.23,81.68,202.66,174.36,82.66,264.75
124.35,85.62,161.47,233.06,77.25,101.57,178.73,161.35,108.61,205.65,192.98,49.91,185.74,89.80,21.17,50.25, ,135.87,274.61,198.85,95.58,100.17,243.33,27.43,255.74,62.24,117.03,102.49,235.30,2.47,47.92,253.95,170.16,159.23,108.14,143.37,122.69,69.80,90.66,222.62,21.28,98.98,34.42,50.97, ,53.44,276.14, , ,280.63,28.82,25.31,268.78,209.59,298.84,2.98, ,49.38,183.09,255.65,49.83,187.22,60.06,254.19,187.98,151.15, ,276.56,239.50,59.50,157.65,124.71,154.40,210.01,206.04,227.39,108.20,10.77,294.06,40.44,259.38,15.74,16.82,195.00, ,254.50,95.29,230.13,167.24,165.93,159.12, ,282.67,0.39,118.76,64.85,159.04,23.43,88.77,167.08,296.57,238.28,200.00,32.12,118.36,21.85,144.32,23.73,278.67,120.44,18.57,256.63,209.52, ,298.28,219.46,16.89,220.33,224.18,151.00,289.81,101.95,280.52,270.88,26.77,227.95,13.56,80.83,22.75,243.55,81.21,3.09,187.19,216.98, ,67.98,84.68,293.41,184.69,2.72,68.28,220.15,11.27,273.31,56.14,145.99,115.42,80.28,196.19
130.50,98.58,199.02,102.65,215.10,233.94,279.54,215.54,194.69,233.08,129.25,202.20,66.41,284.25,231.14,150.39,188.00,260.11, ,62.76,47.34,213.39,29.63,180.70,110.29,162.40,236.77,180.50,218.03,196.25,129.26,215.10,264.69,151.00, ,213.75,43.63, , ,293.48,189.49,270.46,85.20,233.77,129.25, ,27.36,219.57,118.72,47.51,298.73,135.13,112.26,38.66,110.86,69.58,236.93, ,233.93,190.22,14.41,13.47,46.83,88.84,174.22,250.97,222.24,92.77, ,259.07,37.84,3.37,40.95,99.80,174.23,172.64,191.79,55.40,238.95,149.89,285.11,93.37,295.64,35.51,204.57,168.83,64.50,49.82,112.49, ,286.72,260.51,218.78,84.04,91.57,129.73,180.05,27.34,198.77,158.31,174.76,280.50,217.39,166.99,265.18,110.71,43.60,280.55,223.85,242.22,259.53,249.40,275.07,262.38,246.93,285.51,273.57,238.84, ,105.83,83.89, ,35.79,95.73,128.42,80.94,35.00,142.58,180.06,261.14,291.49,263.13,29.74,243.01, ,61.71,41.47,196.85,181.39,161.72,191.30,278.67,216.30,104.51,199.20,161.83,213.66,4.76,99.64
133.67,69.13,142.64,40.97,176.58,102.37,120.09,219.59,255.60,117.90,36.59,282.28,58.74,268.31,86.59,4.97, ,74.10,278.81, ,18.30,78.97,99.57,114.34,297.82,155.06,130.05,132.83,90.06,8.25,255.07,126.33,15.09,34.13,241.31,287.33,280.10,80.28, ,194.62,263.18,253.90, ,145.54,206.92,103.30,293.98, ,120.31,25.11,52.54,24.12,143.16,251.47,64.01,174.82,129.98,223.19, ,17.79,128.64,165.03,139.89,290.32,279.32,175.02,61.27,86.25,174.01,284.11,133.99, ,92.63, ,15.82, , ,158.53,258.33,73.77,182.57,248.14, ,123.15,134.09,10.26, ,80.24,111.49,166.10,6.87,166.05,240.45,56.31,21.06,122.54,112.87,158.91,167.00, ,91.02,38.16,232.55,181.53,177.66,249.50,102.63,113.49,201.29,181.63,13.79,122.82,9.13, ,70.13,199.27,85.96,292.45, ,58.62, ,236.28,230.54,267.17,297.21,92.67,274.12,3.73,215.77,179.51,79.89,38.65,203.94,244.24,11.85,255.01,122.92,245.15,75.01,244.84,4.81,62.16, , ,149.31,178.25,89.95,278.47,237.29
253.20,78.79,23.42,45.67,225.09,199.79,203.14, ,207.95,134.48,12.61,36.19,78.63,148.80, ,277.39,225.89,155.60,195.65,38.48,25.35,232.14, , ,69.77,43.24,170.47,264.53,266.31,149.47,172.18,74.80,160.29,80.16,5.38,194.90,217.13,7.43,145.38,284.55,7.08,167.08, ,131.61,224.21,97.86,27.16,30.34,144.38,256.89,36.41,55.17,149.83,87.71,120.80,283.65, ,11.43,243.45,34.64,193.55,289.70,216.79,179.42, ,210.45,278.45,283.12,27.14,9.04,132.05,173.66,165.80,127.13, ,96.47,74.84,293.10,139.11,38.33,3.41,228.99, ,175.86,168.57,169.90,17.85, ,191.52,173.24,244.78,14.08,45.55,31.27,153.47,248.54,188.92,48.30,5.77, ,42.72, ,212.62,214.62,236.88,32.21,237.21,52.19,18.23,40.22,136.38,219.89,85.48,36.86,226.72,17.04,85.36,117.25,298.30,212.53,138.00,45.29,221.73, ,239.96, ,289.46,260.41,116.52,18.17,179.68,196.02,165.37,265.59,279.34,14.49,199.07,136.62,227.70,41.85,298.30,20.93,268.66,197.12,27.23,238.56,160.17,103.64,115.95
 ,95.29,22.66,232.19,123.79,102.85,218.39,180.44,77.98, , ,65.32,86.55,147.85,140.78, ,166.33, ,174.50,199.44,180.83,72.30,8.18,186.75,232.20,82.03,235.39,69.49,115.45,281.31,149.50, ,246.60,44.10,162.91,12.37,118.59,132.37,152.18,9.96,239.72,160.78,12.54,19.37,182.38,294.55,24.91, ,271.51,135.52,267.97,96.81,191.87,160.41,92.99,25.05,107.65,32.53,114.73,76.91,281.85,122.53,277.23,218.95,44.24, ,12.21,129.99,19.62,200.67,163.79,59.76,176.25,68.06,276.69,10.70,149.38,227.20,240.25, ,188.99,250.34,222.82,52.16,97.71,163.74,286.75,192.18,108.59,90.35,30.83,53.07,107.25,62.70,256.33,280.04,139.68,67.50,8.46,25.57,242.61,238.59,121.64,251.65, ,41.99,215.74,25.67, ,41.76,191.29,43.00,143.42,101.70,245.18,30.57,216.32,160.05,202.54,285.68,211.93,196.18,86.32,210.20,3.17,251.49,250.05,65.79,177.17,4.38, ,34.94,193.97,253.15,210.67, ,64.85,205.14,31.31,157.08,129.02,193.47,54.71,74.99,236.98,287.98, ,265.62,167.61
284.43,208.47,55.61,259.95,148.17,233.70,78.06,268.65,68.67,293.02,124.14,149.17,101.50, ,67.12,18.43,51.26,135.18,194.80,206.31,226.38,30.88,205.36,34.65,274.76,136.69,207.94,36.12,51.69,135.07,193.49,45.53,292.68,191.11,258.92,284.66,224.71,251.30,221.63, ,196.39,110.42,277.69,119.46,112.31,97.01,139.60,276.66,243.19,275.46,116.28,115.34,297.59,252.87,52.50,101.39,8.57,32.23,272.42, ,84.74,45.22, ,295.73,21.76,149.88,69.60,70.10,267.74, , ,195.35,159.44,17.21,208.54,154.28,201.13,265.70,147.72,236.34, ,258.09,123.97,151.98, ,36.92,93.11,278.50,121.07,285.20,5.96, ,160.24,88.85,40.42,110.45,24.12,296.07,36.28,237.52,210.19,225.18,56.05,246.58,98.99,29.72,90.49,124.99,298.18,213.47,1.62,60.58, ,56.65,14.10,245.47,86.89, ,54.96, ,1.54,204.45,38.70,176.55,266.71,260.33, ,298.93,64.67, ,42.48,215.85,292.86,258.94,69.73,134.71, ,136.25,96.39,81.87,98.86,204.83,4.37,266.88,267.56,62.80,74.03,91.31,171.82
