Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107
259.73,76.97,269.82,212.83,124.14,283.50,265.17,291.12,142.10,171.57,2.70,266.26,220.97,162.86, ,101.40,284.98, , ,150.25,241.62,156.37, , ,190.32,270.15,138.29,191.78,167.37,272.38,21.54,286.31,54.25,237.00,268.13,68.02,210.54,160.14,234.79,45.94,181.59,145.31, , ,26.00,137.66,171.57,27.38,231.87,245.58,120.86,47.17,32.08,198.53,24.62, ,70.55,259.21,103.74,267.38,5.08,278.50,187.07,30.83, ,112.46,238.45, ,285.62,236.31,20.73,267.94,206.16,112.48,125.13,144.46, ,149.54,35.56,295.07,183.84,242.85,30.54,229.62, ,51.82,110.25,299.61,226.60,116.69, ,241.81,215.59,12.37, ,47.93,137.40,101.97,164.05,207.95,27.88,212.28, ,22.53,13.40,78.85,217.41
290.30,73.24,193.54,271.02,133.53,173.27,291.12,218.78,258.64,117.26,176.42,115.16, , ,299.69,47.73,246.00,76.32,243.91,104.84,5.73,104.08,293.10,229.69,184.57,176.02,289.70, ,104.86,248.01,251.09,281.15,22.08,244.50,263.09, ,178.02,84.52,99.11, , ,289.49,217.14,263.70,217.96,11.69,110.50,120.44,226.26,208.66,233.13,208.52,96.12,67.60,68.64,258.25,195.51, ,112.65,71.50,31.21,31.18,44.50,21.01,202.56, ,147.99,89.70,90.27,143.05,66.45,24.59,57.63,272.44, ,85.69,52.25,170.92,17.47, ,38.49,262.28, ,110.27,75.93,81.17,9.84,28.20, ,52.90,183.75,144.59,111.02, ,227.93,52.18,167.86,283.89,74.19,0.59,22.91,51.24,38.28,43.14, ,6.78, 
190.53,106.38,255.73,75.78,140.34,129.05,239.86,22.57,144.95,198.51,99.69,271.95,10.83,204.45,21.88,255.24,168.53,19.44,249.51,7.91,223.18,98.06,249.90,177.09,143.80,262.72,25.35,81.46,249.77,29.63,9.72,184.05,46.48, ,295.99,10.41,221.89,183.91,97.28,262.02,148.34,154.86,62.96,173.29,39.30,128.77,168.92,195.00,160.12,49.67,97.20,241.96,207.46,104.01,130.41, , ,103.65,70.59,141.29, ,180.59,94.52,271.99, ,19.15,185.03,224.39,128.91,1.30,292.21, ,122.62,238.01,275.00, ,141.60,115.83,11.65,201.86,190.89,289.73,178.29, ,102.68,107.78,158.28,261.23,185.27,134.95,185.22,113.05,251.56, ,58.90,91.91,158.95,70.79,192.85, ,171.72,180.41,20.79,123.64,2.30,65.86,132.19
247.20,8.26,189.34,257.66,273.18,4.04,289.22,148.83,176.15,290.07,0.04, ,123.68,97.55,58.73, ,9.82,210.01,80.76,199.35,244.44, , ,128.52,101.19,184.37,297.90,33.91,185.29,121.62,226.71,236.88,218.99,43.52,264.78,228.35,162.69,36.66,121.28, ,222.47,249.98,140.42,233.72, , ,259.98,289.59,124.74,133.17,194.63, ,18.90,200.34,63.33,1.14,102.17,107.07, ,6.88,141.15,223.46,3.48,38.71,97.63,144.19,234.89,192.98,57.72,171.44,146.84,240.46,210.60,138.51,23.95, ,165.10,163.86,89.48,54.67,144.93,226.74,153.01,268.71,23.28,295.56,199.06,203.06,14.60,69.01, ,214.40,99.32,274.15,89.88,169.95,166.38,99.18,241.09,210.82,88.02,60.77,162.10,253.68,179.37,161.60,98.16
159.55, ,133.70,166.29,182.72, ,270.79,263.63,202.66,277.09,137.48,41.29,202.63,92.17,158.92,131.27,29.78,154.57,124.52,272.48,50.04,1.19,149.12,232.72,139.26,42.46,247.67, ,150.30,68.49,237.64,63.57,52.04, , ,178.91,130.71,266.66,159.76,291.05,220.21,263.84,85.28,77.69,216.91,247.75,160.30,7.67,80.10,278.26,217.94,46.00,15.74,190.58,0.15,0.08,224.44,50.38,204.51,178.75,56.06,106.82,11.89,140.23,174.20,221.38, ,267.38,291.40,31.37, ,212.99, ,137.43,250.91,35.41,25.91,135.04,263.65,164.30,191.63,252.33,177.67,285.77,185.26,125.08,144.07,129.61,5.78,141.95,114.20,35.67,34.19,292.52,222.12,75.97,113.12,123.86,72.77,135.84,86.81,174.64,66.17, ,71.95,83.87,85.50
64.31, ,235.02, ,157.14,69.25,188.06,94.75,170.31,14.69,291.19,2.98,41.77,163.99,278.53, ,64.03,206.67,204.53,207.76,298.83,267.05,170.76,64.46,234.91,64.30,260.04, ,182.10,73.45,195.38,293.95, ,203.05,105.65,86.09,5.39,296.10, ,166.86,119.09,271.94,280.76,47.97,101.40,102.33,276.16,226.84,35.45,173.16,148.50,65.94,286.14, ,258.57,24.86, ,241.33,112.51,2.73,242.76,90.55,278.98,42.79, ,78.24,209.99,97.18,124.04,176.87,117.08,180.39,131.05,83.28,17.47,101.32,248.13,268.50,184.44,36.01,72.03,38.94,172.34,172.75,95.20,271.27,185.06,54.22,56.62,114.70,142.87,252.04, ,220.54,5.91,120.22,27.77, ,9.78,271.22,103.19,232.14,278.70,226.12,133.30,170.42,56.84
164.03,104.30,229.42, ,185.16,87.59,243.20,222.70,193.92, , ,37.37,239.04,153.77, ,136.51,235.87,155.68,202.23,85.41,148.49,16.80,164.41,100.42,152.43,281.03,3.63, , ,180.41,85.05,137.46,294.76,114.92,173.24,110.43,148.79,35.47,116.15,95.33,287.00,67.00,205.42,209.41,1.91,50.05,242.20,8.53,260.84,87.41,140.59,92.72,156.77,154.98,28.08,189.49,198.07,283.11,27.12,3.95,282.34, ,224.54,124.52,202.34,248.91,88.56,129.15,3.52,232.93,285.43,165.92,81.30,283.61,149.53,188.74,158.47,294.54,184.23,244.51,67.03,123.00,40.17,233.54, ,166.47,194.92,186.05,131.01,179.04,157.98,204.55,213.64,31.08,31.52,241.15, ,134.56,72.77,193.25, ,102.75,238.55,222.50,193.09,133.05,69.32
127.30,27.56,121.15,37.58,208.77,270.76, ,211.85,288.02,205.03,207.85,145.00,0.32,98.61,102.65,123.14,298.04,121.24,218.15,76.55,88.65,41.57, ,253.43,156.58,18.35,266.38,208.03, ,177.63,150.31,141.24,73.95, ,195.19,288.62,254.81,163.71,101.00,178.64,191.62,112.96,98.25,6.13,251.23,183.91,252.93,62.98,238.14,296.85,80.52,208.39,44.89, , ,150.41,200.32,259.28, ,57.53,258.12,43.85,247.72,13.67,28.56,50.04,236.90,11.34,91.76,267.25,92.07,14.27,13.47, ,26.75,32.94,266.40,163.22,44.47, ,156.37,280.86,88.18,89.77,140.12,146.17,45.40,220.53,254.38,115.96,260.75,262.73,90.64, ,117.78,72.14,260.31,139.45,17.67,256.49,197.33,263.36,183.42,225.24,155.99,59.05,119.99
48.50,273.94,143.45,211.92,250.31,145.09,38.95, ,295.44,44.31, ,49.02,144.91,259.96,133.49,86.66,202.31,153.60, ,297.05,155.07,218.27,57.73,66.25,155.00,200.43,195.14,248.32,288.64,171.98,56.07,76.19,93.30, ,269.54,160.21,9.58, ,36.88,163.81,51.07,164.83,218.12,95.24,271.99,89.02, ,145.10, ,154.65,60.96,97.81,178.02,225.04,191.09,81.45,65.07,73.71,84.02,289.86, ,261.85,247.29,36.55,140.79,247.04, ,264.85,162.57,102.18,93.73,49.54,48.17,7.70,44.50,113.70, ,271.96,234.12,102.04,11.63,156.81,211.89,223.52,266.48,80.95,160.12,103.64,122.39, ,244.27,134.71,297.11,29.93,39.82,95.36,260.81,167.31,250.09,143.01,237.71,9.80,69.51,95.44,206.41,147.80, 
282.51, ,88.21,266.86,187.76,138.52,100.41,68.06, ,211.06,214.76,289.15,189.97,2.00,279.59,142.57,292.12,38.91,213.28,232.52,165.25,179.83,95.15,81.87,162.70,125.00,113.39,284.02,187.32,298.13,1.71,297.18,265.77,259.50,13.58,220.36,186.76,192.64, ,274.52,148.55,252.57,80.84,210.03,254.05, ,120.96,223.03,191.60,154.23,67.85,43.13,46.64,88.40,211.81,213.80,222.79,291.95,262.09, ,46.29,254.87,133.69,51.65,44.24,106.06,8.30,238.47,20.51,84.91,80.16,173.60,81.93,111.49,16.94,289.55,182.90,191.85,97.06,268.43,183.95,36.64,48.36,188.76,143.46,28.67,132.82, ,214.75,154.66,274.05,135.03,207.73,229.13,176.50,192.76,56.58,54.44,15.61,137.60,173.00,113.16,244.08,139.79,272.54,4.31,19.28
283.86,218.78,151.34,85.62,113.08,11.35,91.04,197.06,111.44,39.90,166.68,240.02,142.81,0.91, ,20.19,143.01,205.24,98.54,141.62,113.60,153.99,74.87, , ,292.38,43.40,114.91,157.00,170.20,122.29,228.70,3.78, , ,127.70,209.53, ,23.13, ,4.25,65.80,31.52,130.65,275.16,102.31, ,272.51,189.23,130.41, ,202.11, ,29.82, ,299.14,135.29,225.35,280.32,21.97,49.33,86.77,98.18,156.64,161.59,54.35,188.76,145.03,207.45,120.68,159.81,257.56,72.12, ,52.44,156.60,223.39, ,247.87,40.13,272.53,162.87,53.15,112.93,142.49,245.84,237.45,83.00,100.75,77.92,207.57,91.99,175.36,122.90,208.62,227.75,64.76,208.02,142.24,16.10,41.33,247.91,67.59,173.79,186.04, ,93.60
195.70,79.03,188.36,205.54,130.01,116.16,294.70,62.86,250.17,56.99, ,35.77,26.41,148.03,161.27,6.05,147.45, ,144.37,46.24,11.25,136.58,96.87,61.48,146.94,207.32,223.77,239.70,229.23,51.50,10.54,147.74,150.70,219.46,179.10,44.96,141.94,17.76,12.83,98.53,90.90,63.71,208.67,218.14,152.68,279.59,272.89,238.69,46.57,118.65,123.85,116.02,45.16,204.60,213.03,217.77,8.99,18.60,284.88,55.56,206.38, ,179.26,239.47, ,97.62,134.71,285.10,187.26,84.51,88.26,95.00,1.47,287.50, ,272.38,77.20,163.19,110.71,274.83,45.30,147.79,18.57,151.89,256.53,53.81,270.41,143.39,52.81,263.93,269.02, ,46.22,192.87,156.96,133.40,280.62,54.92,35.84,299.30,80.71,58.94,151.87, ,128.30,219.87,235.97
28.54,235.10,158.53,231.75,227.08,74.47,193.80, ,17.98, ,98.69,44.26,254.50,200.29,17.64, , ,9.03,219.27,278.37,37.81,171.65,49.00,209.23,167.99,260.78,174.72,191.79,287.27, ,187.55,91.16,104.14,16.74,264.04,286.10,298.68,213.48,245.21,172.79,27.58,148.79,236.92,8.54,195.52,229.43,83.94,90.78,65.36,195.80, ,181.90,67.07,284.72, ,144.32,211.34,265.63,288.65,268.39,58.46,152.02, ,235.96,37.77,73.85,19.84,213.68,174.49,279.86,11.39,3.53,214.53, ,274.66,83.01,161.27,106.96,129.36,249.25,91.71,211.69,93.12,150.68,189.44,274.72,142.82,52.19,192.44,238.09,91.71,110.15,162.57,266.28,271.05,129.78,288.81, ,81.94,150.45,245.86, ,294.51,29.42,182.34,274.31,88.96
141.53,19.00,116.22,296.03,200.81,150.05,167.28,271.56,0.27, ,282.15,164.06,129.29,289.18,185.07,140.11,251.15,270.10,155.45,251.28,156.19,92.78,244.38,17.38,242.86,37.64, ,201.71,294.89,21.04,297.53,186.16,81.80,218.72,80.84,288.34,30.29,116.34,9.82,93.48,1.80,215.54,24.82,258.67,229.71,65.75, ,251.91,192.17,94.60,258.13,217.57,298.99,98.04,292.82,168.58,158.78,86.26, ,203.50,72.32,23.98,60.46,89.98, ,267.27, ,225.40,173.31,298.62,5.14,149.13,242.29,20.91,106.10,22.69,150.77,142.82,233.08,9.09,139.61,290.33,291.35,170.16,122.83,20.97, ,170.10,184.78,11.00,296.04,177.55,268.28,148.47,205.63, ,228.69,187.72,61.88,134.75,43.73,100.81,85.56, ,75.66,124.73,82.93
204.17,126.42,233.03, , ,26.63,67.34,55.30,279.86, ,211.90,78.71,42.79,56.00,239.93,102.32,67.00,230.77,49.51,260.50, ,99.16,286.25,269.01,152.86,275.92,160.76,52.69,296.80, ,274.39, ,76.70,280.54,114.26,49.31,268.51,36.15,124.74,234.17,63.95,42.62,61.02,293.88,76.84,30.68,265.07, ,41.77,200.39, ,208.41,102.80,164.59,244.59,161.35,83.08,265.80,265.17,29.07,140.53,249.74,112.23, ,32.08,129.85,298.16,140.88,117.98, ,256.93,242.96, ,26.04,106.95,8.76,180.81,274.29,217.56,98.96,204.27,88.95, ,87.11,204.39,167.27,129.77,184.57,242.48,98.77,132.67, ,266.43,262.64,118.06,86.21,12.56,48.05,24.59,188.62,15.94,241.15,194.54,122.70,7.84,66.05,281.09
288.73,147.89,188.24,131.56,182.96,264.92, , ,42.57,63.38, , ,296.64,69.89, ,77.73,126.89,248.86,60.37, ,11.73,257.30,59.07, ,23.98,233.05, ,67.31,172.37,81.39,59.91,288.36,229.01,247.65,204.99,61.01,82.46, ,39.76,245.07,203.46,251.29,282.54,203.82,237.51,140.79,230.08,94.88,221.08,298.49,256.00,282.73, ,55.47,211.82,188.45,174.96,43.13,140.04, , ,45.78, ,152.30, ,247.17,253.38,64.86,254.17,157.83,26.52,254.92, ,143.37,59.76,73.29,140.91,286.52,227.34, ,79.64,112.87,153.87,24.99,241.35,73.19,290.71,12.47,38.04,89.00,257.02,141.50,230.78, ,271.12,86.73,30.05,164.56,28.11,81.84,172.15,20.04,51.71,283.79,157.79,86.34,138.08
67.50,106.99,181.08,40.98,129.80,142.05,127.88,225.17,117.01,270.73,68.65,256.79,19.78,233.50,40.58,282.33,237.90,198.65,167.44,86.80,10.66,291.60,99.02,48.27,14.10, ,82.75,9.86,61.23, ,167.35,140.26,273.09,239.00,197.14,111.37,103.68,212.79,260.57,12.06,227.83,27.85,108.90,290.76, ,115.19,297.87,153.03,253.29,86.55,128.32,236.40,296.67, , ,19.00,104.02,264.69,55.69,239.07,236.35,255.50,195.92,31.74,100.92,280.14,110.05,80.46,220.72, ,245.77,123.88,273.11,247.31, ,192.90,32.40,225.49, ,121.42,212.52,42.19,150.51,7.60,10.11, , , ,125.46,282.81,229.44,55.40,41.95,75.06,77.55,62.26,121.97,170.86,45.73,142.85,76.01,285.50,281.50,289.00,29.08,215.04, 
270.44, ,218.74,222.66,66.84,254.63,288.46,181.15, ,24.00,269.92,295.08,107.31,88.99,96.90,129.31,167.16,46.65,18.48, ,14.77,223.05,68.60,94.89,245.71,273.74,258.72,250.37,206.87,147.69,115.09,250.44,75.65,217.16,68.66,29.25,209.88,52.83,163.81,228.22,136.51,64.81,1.52,153.93,33.38,29.52, ,279.96,285.78,236.13,98.81,106.14,176.11,235.07, ,82.79,31.78,284.77,14.53,111.78,194.68,170.09, ,80.21,12.60,234.32,142.88,214.96,215.37,7.46,245.65,233.23,261.50,13.22,167.07,169.86,194.20,205.61,8.64,22.57,51.81,269.96,290.02,143.71,275.99,55.84,80.90,250.08,141.61,100.48, ,270.34,157.02,249.82,293.99,298.00, ,254.89,182.14,170.11,150.30,177.03,67.72,195.21,0.32,281.11,45.50
71.14,100.95,39.52,50.49,74.38,262.60,50.89,274.18,170.59,67.09,30.62,5.54,152.62,262.66, ,8.16,177.80,178.61,137.38,284.78,29.36, ,58.63,219.88,22.38,157.29,138.08,224.29, ,76.91, ,210.64,84.58, ,182.44,68.24,121.89, ,151.25, ,209.88,127.37,227.28,99.98,55.92,241.05,101.65,49.04,228.59,262.64,139.14,83.79, , ,260.41,56.93,204.76,268.82,209.51,249.96,212.86,297.39,205.42,171.87,277.11,259.64,17.35,84.83, ,249.74,266.57,63.75, ,30.57,183.88,195.41, ,108.27,246.96,45.14,134.05,23.11,259.24,251.86, ,53.00,297.43,30.74,123.57,96.18,60.53,94.22,113.90, ,253.62,26.38,36.76,298.35,94.94, ,46.80,70.43, ,67.86,110.53,283.20,108.47
232.29,231.56, ,275.35,156.05,278.82,2.85,153.15,234.20,85.45,126.34,80.80,223.74,16.65,223.62,44.50,120.70,292.52,35.47,261.36,233.96,46.32,79.43,299.54,10.21,294.63,240.86,42.68,15.86,100.62,247.75,0.44,278.16,77.38,260.82,205.14,278.92, ,58.36,131.13,161.15,66.62,156.98, ,21.58,99.73,97.39,267.33,115.93,90.79, ,51.61,164.25,210.97,78.00,266.65,41.32,125.25,125.52,249.99,3.81,265.64,205.29,93.34,129.05,93.91,297.93,254.40,91.92,277.89, ,244.54,176.03,204.29,197.86,233.96, , ,29.41,247.15,109.70,171.57,44.17,146.45,148.33,281.61,286.51,148.41,230.56,3.40,8.42,21.38,265.04,284.24,228.08,36.97,181.65,186.29,102.47,115.51,41.36,264.51,248.64,258.93,137.37,14.06,163.60
88.17,247.17,123.08,3.79,213.02,68.60,111.25,132.05,121.88,23.88,201.29,199.32,151.72,122.56,182.47,201.23, ,148.40,237.87,46.83,236.66,166.53,43.51,168.03,159.49,294.15,242.73,145.20,118.39,225.51,64.35,185.41,26.46,78.03,57.46,62.26,57.12,30.10,266.40,70.90,239.57,71.77, ,216.97,150.11,210.77,163.21,19.70,148.89,276.23,110.98,175.48,158.22,135.20,70.67, ,196.56,94.80,155.21, ,140.46,284.15,110.91, ,130.61, ,184.13,135.78,122.89,100.20,115.52,239.95,268.74,82.75,64.50,96.84,236.38,167.64,288.54,67.89,109.16,184.77,135.24,288.39,31.80,239.23,24.00,33.52,148.88,234.37,167.34, ,103.72,272.04,257.06,92.14,59.76,4.05,40.83, ,298.95,130.03,203.73, ,237.24,266.24,81.13
220.85,284.01,80.86,48.82,206.65,157.20,46.55,19.45,185.84,86.34,190.91,145.97,141.88,191.69, ,272.81,57.57,271.74,166.01,130.96,134.45,61.14,18.47,120.30,108.23,192.19,72.10,196.44,58.58,8.72,116.38,154.42,66.69, ,232.70,87.04,188.41,197.78,77.43,109.57,228.40, ,278.87,292.18,179.89,154.97,217.45,170.15,145.29,198.04,169.54,188.42,140.41,203.96,24.81,239.24,252.52,283.58,292.85,106.70,26.52,61.35,233.00,15.85,168.34,179.66,165.89,44.05,15.46,135.98,272.14, ,224.66,231.95,298.08,262.74,234.22,232.17, ,163.68,235.70,107.93,69.89,183.44,280.13,61.96,239.17,191.33,258.75,119.49,194.63,77.54,261.41,297.63,159.36,33.65,193.32, ,263.20, ,77.15,292.77,211.64,173.20, ,131.95,238.96
