Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121
108.25,106.69,62.50,194.79,118.60,253.50,187.79,234.04, ,247.33,251.04,191.78,206.69,287.20,88.86,52.76,3.02,284.55,244.41,263.21,42.60,155.13,134.71,23.03,249.41,263.98,130.95,274.56,99.54,225.91,156.53,66.26,160.59,227.97,274.81, ,17.41,161.77,272.80,129.42,222.34, ,122.79,81.76,268.38,59.11,69.70,172.97,75.19,186.78,138.57,194.33,179.00,6.98, , , ,267.24, ,193.24,145.34,122.40,156.30,8.02,97.15,61.97,214.56,175.49,110.34,198.35,102.24,274.75, ,89.57,87.51,267.93, ,242.93,263.25, ,271.27, ,152.27,85.97, ,261.46,146.28,18.31,133.52, ,240.98,199.94,196.41,283.61, ,226.55,16.90,60.42,51.00,140.44,60.01,174.14, ,20.42,45.55,186.26,266.42,78.10, ,274.51,126.53,124.14,227.43,78.85,129.22,261.89,268.06,176.94,43.37,162.62,249.73
282.38,285.08,297.03,252.54,221.93,255.03,132.15,187.11,170.30, ,132.19,8.92,162.93,197.46,13.73,16.83,275.95, ,85.57, ,38.11, ,117.18, ,249.33,24.03,212.12,201.19,26.36, , ,61.22,256.40,89.44,107.34, ,124.81,141.78, ,46.10,6.24,221.48, ,245.51,159.41,17.09,12.22,102.13,288.42,157.91,287.43,170.70,40.12,203.77, ,92.83,73.79,133.47,54.64,240.78,240.15,187.63,238.86,246.00,103.24,298.28,131.41,37.30,169.54,88.00,22.04,279.44,279.90,91.10,193.65,205.07,258.52,277.68,207.52,37.76,67.66,177.37,165.45,83.30,247.48,86.43,52.13,65.34,178.78, ,72.43,271.63,146.84,183.92,271.85,81.98,175.25,159.98,283.48,157.63,22.12,104.90,81.06,56.98,49.56,179.65,101.75, , ,215.60,292.82,19.73,170.07,192.83,269.32,104.69,194.78,155.89,118.45,170.46,50.04
88.86, ,190.61,70.23,296.57,132.03,2.11,54.09, ,84.13, ,188.82,170.76,149.26,134.08,40.90,136.25,98.37,2.93,146.90,128.19,55.54,27.49,167.06,254.76, ,121.18,54.53,113.46,263.81,204.24, ,213.75,285.72,252.20,1.11,61.82,242.56,89.52,175.02, ,129.77,217.33,166.01, ,279.46,29.31,246.26,288.16,265.59,172.13,262.54,16.88,2.54,141.72,229.49, ,281.12,271.94,97.47,170.31,117.41,192.27,158.59,68.93,237.19,190.73,5.36,171.85,66.50,171.44,60.78,207.19,34.70,240.35,17.07,295.13,23.00, ,181.59,284.18,96.18,90.91,32.35,123.01,221.38,233.50,15.09,287.12,156.38, ,288.54,108.00,17.80,171.07,12.58,217.23,126.25,3.67,276.58,200.41,79.93,272.15,169.80,146.98,250.21,224.12,196.55,222.42,163.11,147.41,123.55, ,249.80,92.13,285.45,227.61,30.61,296.24,252.13,37.45
40.28, ,279.02,135.15,161.58,294.92,173.96,73.64,68.27,54.55,67.95,23.08,35.84, , ,57.53,263.75, ,14.43,197.65,174.63,123.23,94.01,46.85,205.86,280.75, ,76.22,69.05,148.37, ,236.65,262.25,294.96,33.61,238.17,271.04,30.34,285.69,226.50,36.84,41.81,120.73,93.81,174.68, ,279.57,262.06,60.07,5.73,110.66,196.94,286.15,72.27,295.42,6.92,233.46,69.78, ,175.41,137.06,237.99,29.66,124.53,95.89,46.17,12.25,251.59,47.44,126.43,256.75,134.78,256.52, ,207.57,229.89,71.12, , ,9.65,58.12,22.14,96.26,271.95,28.39,204.98,152.55, ,175.61,231.18,141.67,39.70,215.56,146.85,182.58, ,108.83, ,130.97,51.54,70.21,236.16,114.07,248.89, ,124.49,103.53,156.19,296.32,4.76,78.77,171.04,105.49,297.76,110.83, ,18.60,21.41, ,135.48,211.46
53.00,296.92,292.57,245.73,85.03, ,163.80,148.38,256.28,20.76, ,116.79,257.68, , ,245.60,93.09,268.67,193.01,2.63,118.70,174.46,198.85,67.52, ,90.52,128.43, ,67.51,152.36,211.10,237.63, ,30.72,258.10,206.76,179.45,42.39,266.80, ,118.61,76.29,104.17,247.23, , ,143.52,39.92,260.69,211.32,8.26,208.22,131.83, ,224.17,192.34,120.43, ,134.07,128.37,77.49,153.69,90.32,140.21,51.84,107.78,51.01,188.22,1.12,91.14,244.22,257.99,85.87,144.76,172.27,158.19, ,11.88,139.05,272.64, ,73.53,24.08,193.11,83.77,232.36,259.88,140.36,11.78,94.85,146.18,129.67,216.87,16.25,17.44,21.94,86.27,63.79,220.02,22.65,151.13,178.71,131.60,28.88,245.31,299.92,90.83, ,7.71,112.11,25.42, ,12.15,174.42,34.06,32.84,98.23,11.73,294.99,296.01,286.70
 ,286.62,238.42,128.67,124.19,3.13, ,82.08,1.93,237.69,50.95,92.70,154.51,126.13,247.76,173.36,63.46, ,96.28,37.29,205.48,165.73,11.09,290.70,245.89,110.54,298.16,74.58, ,179.01,85.08,95.61,61.23,279.38,255.35,19.61,144.21,46.03,192.19,43.52,235.87,175.58,288.88,292.33,192.25,109.69,298.11,235.77,64.37,41.66,153.88,200.02,242.37,50.91,236.04,199.60,85.16,89.65,31.85,210.27, ,19.96,251.43,137.20,289.64,52.44,206.22,209.38, ,155.43,190.64,49.65,263.37,165.43,208.85, ,119.12,88.33,22.81,64.35, ,53.99,102.97,118.58, ,22.89,128.16,163.41,27.76,183.00, ,236.03,16.36,190.54, ,29.63,199.13,20.57,147.96,52.63,51.51,184.04,242.08,52.51,231.83,59.14,242.85,50.85,194.59,204.82,281.25,192.88,28.42,130.04, ,182.68,197.88,271.73,94.07,24.79,215.76
258.70,47.91,81.44,31.50,267.00, ,201.44,64.96,170.16,106.24,77.68,214.41,165.66,23.74,211.48,65.35,182.00,64.46,177.37,50.42,93.64,265.27,70.97,224.94,225.22,257.66,225.11, ,90.78,256.32,270.25,5.72,61.62,51.25,279.02,130.96,271.53,24.97,16.18,191.55,280.42,214.98,147.84,215.89,145.82,178.99, ,184.70,113.45,154.10,265.37,24.95, ,270.16,270.12,105.24,243.65,84.40,68.98,245.68,170.86,157.08,207.56, ,10.41,220.89,216.34,196.49,211.33, ,261.38, ,66.62,141.44, , ,221.26,245.75,219.27,63.20,244.80,203.66,294.47,119.71,10.81,152.10,216.20, ,86.31,250.14,102.78,234.26,23.67,48.61,201.94,293.00,30.66,74.71, ,199.26,170.39,121.78,132.22,86.04,124.28,265.88,150.16,176.63,91.96,1.63,61.23,14.75,118.14,6.99,239.44,209.58,116.33,132.32,69.33,264.29,265.74
135.99,298.45,68.92, ,70.54,233.14,126.92,276.16,172.41,46.22,289.74,194.99,288.37,90.43,107.82,172.46,120.04,36.44,57.28,4.56,239.02,285.84,103.11,172.73, ,218.96,31.90,249.17,63.38,143.44,200.52,142.56,247.53, ,80.18,101.79,16.02,22.43,106.76,263.87,101.06,198.45,37.93,104.41,36.84,234.37,97.63,149.50,9.39,11.07,168.62,174.31,153.67,186.51,22.27,239.92,156.41,278.57,111.83,285.28, ,219.65,77.72,5.10, ,285.52,80.48,237.77,38.79,151.52,51.87,75.68,297.12,130.16,126.43,58.67,90.64,31.37,116.48,251.34,3.79,55.24,91.02,39.06,84.45,55.11,64.37,128.11,62.88,37.19,200.25,1.03, ,32.39,251.11,188.48,49.07,236.68,216.36,172.41, ,62.99,150.47,232.07,188.86,236.84,184.27, ,185.29,156.55,65.12, ,253.59,12.03,225.77,295.29,17.78,169.61,142.74,208.14,298.65
69.76,23.06,72.59,139.32,201.54,265.69,19.97,298.29,298.22,177.37,79.53,34.97,275.93,269.21,252.51,281.08,203.36,276.30,49.12,176.52, ,142.21, , ,258.15,59.71,101.96,261.75,88.19, ,265.89,157.12,147.96,240.68,142.34,27.27,32.61,142.12,46.00,97.83, ,22.42,242.35,220.43,121.49,114.98,274.51,251.66,143.04,133.60,232.20,221.64,83.19,265.78,171.44,86.25,127.89,146.14,233.04,274.33, ,89.31,49.69,100.73,227.43,76.21,122.79,43.44,209.98,212.22,40.31,284.64,107.87,165.38,26.34,152.44, ,241.75,56.82,30.68,253.56,75.64,44.06, ,290.51,287.67, ,27.98, ,47.22,88.75,168.69,144.56, ,151.69,125.92,289.02,207.94, ,283.58,121.94,136.74,298.42,15.18,152.39,4.67,188.48,112.22,208.51,78.30,108.46,230.41,30.20,224.92,164.90,290.72,94.51,99.29,251.87, ,104.26
106.82,200.84,116.09,108.75,36.31, ,77.49,198.29,230.66,80.47,31.71,82.40,198.65,219.16, ,21.31,8.52,258.65,28.37,167.36,147.60,50.36,281.15,227.21,124.66,169.30,82.12,2.62,139.14,127.50,180.46,244.45,276.94,98.33,277.84,142.43, ,192.79,150.50,81.57,211.45,108.64,214.10,134.28, , ,249.94,199.05,122.38,75.69,186.35,3.33,223.42,21.39,283.13,203.00,111.22,196.67,246.12,268.98,233.21,98.99,35.18,281.89,86.06,183.05,138.57,124.45,15.14,178.21,17.72,62.96,195.66,48.79,70.40,222.17,175.02,186.75,19.19,67.76,226.23,77.66,137.18,126.80,47.95,150.58,86.22,194.62,173.17,123.65,261.18,247.17,66.98,46.40,2.57, ,228.80,269.09,202.14,120.40,219.15,205.04,211.62,179.45,291.74,17.14,84.03, ,220.23,16.40,216.12,80.78,247.76,76.62, , ,61.76,166.98,7.37,98.78,31.25
117.68,9.42,238.14,235.46,202.33,125.00,270.82,225.98, ,2.61,99.41,221.71,117.41, ,269.22,35.06,199.94,154.58,205.73,281.74,251.10,93.04,2.51,281.88,282.45, ,142.40,181.52,34.55, ,243.66,80.63,268.62, ,123.20,37.19,171.66, ,55.73, ,58.24,225.00,17.73, ,160.12,99.34,125.76,97.21,66.43,48.14,158.41,158.25,216.79,220.00,241.20, ,184.32,101.87,20.69,67.73,279.72,37.86,284.70,1.16, ,179.00, ,37.40, ,85.74,170.03,293.84,281.46,295.55,162.30,36.11,172.60,261.62,12.48,16.24,166.74, ,45.73,288.78,154.52,168.88, ,174.61,65.89, ,61.44,269.76, ,251.66,182.23,70.45,78.87,43.33,157.06,291.34,83.28,184.22,243.35,122.57,284.43,274.03,249.90,61.66,53.12,155.13,226.61,130.06,12.27,251.07,267.89,199.03,16.89,219.08,20.66,78.20,230.11
96.99,197.74,296.22, ,151.35, ,76.93,104.04,189.65,258.53,297.52,208.70,240.81,274.65,169.43,266.56,105.07,279.55, ,275.78, ,127.13,192.71,156.14,293.25,51.86,203.33,109.33,63.79,239.81,11.61,91.28,208.79, ,188.34, ,164.12,58.05,292.70,195.30,247.51,194.63,140.33,48.75,209.99,299.80,150.97,259.05,289.57,138.59, ,37.75,220.30,53.23,183.27,106.85,251.50,226.74,135.72,299.62, ,112.16,84.48,96.59,205.37,211.37,117.45,81.71,187.84,165.86,155.55,206.24, ,201.64,72.22,139.11,122.74,184.01,158.27,4.52,52.51,113.17,208.14,178.18,268.56,186.64,6.01,274.19,177.84,8.09,213.19,21.91,220.99,243.86,53.06,281.06,39.06,202.03, , ,267.97,230.67,211.46,211.09,130.36,61.48,39.00,285.64,10.60, ,254.46,19.89,266.95,241.90,27.48,236.14,157.07,38.36, ,275.04, 
105.40, ,243.85,212.91,111.62,136.13,177.97,98.34,88.97,22.70,251.27,86.30,68.86,97.33,157.07,3.29,177.77,272.09,65.70,51.12,108.51,255.76,9.26,67.27,277.89,248.39,1.76,288.13,200.64,151.15, ,154.44,35.61,63.65,235.13,208.36,57.16, ,43.63,122.31,203.09,200.87,29.36,186.17,273.25,102.96,144.53,278.85,296.40,299.74,83.42, ,195.87, ,264.07,262.46,160.07,186.58, ,215.94,203.20,236.83,36.39,134.54,40.08,293.59,70.38,271.78,209.22,24.32,131.72, ,218.10,194.81,294.50,20.62,115.04,194.90,290.44,239.60,296.20,281.22,80.62,156.34,37.65,123.70,155.71,133.73,130.75,178.49,240.39,83.33,153.15,160.49,234.36,131.22,110.33, ,190.95,271.48,278.53,114.04,151.18,216.73,141.99,103.48,185.66,50.58,155.73,101.58,263.17,130.56,12.00,8.86,183.88,193.28,275.81,245.41,18.56,51.97,107.40
 ,293.06, ,234.15, ,35.72,170.35,143.65,249.38,72.94,270.52,45.61,29.09,78.34, ,240.48, ,47.88,59.84,221.51,275.09,145.39,248.37,248.19,79.82,178.66,49.91,206.04,282.12,148.46,91.20,0.94,152.01,62.72, ,284.24,64.85,295.46,167.88,23.85,91.02,138.56,271.34,149.82,269.86,215.32,176.14,31.27,287.28,238.10,169.85,49.20,141.85,10.36,55.86,269.62,255.64,90.65,95.92,293.84,25.41, ,201.55,127.37,31.71,15.03,77.31,280.04,79.21,22.37,80.56, ,227.43,166.74,239.19,258.55,28.43, ,124.53,186.60,262.43,159.35,149.15,214.83,248.67, ,271.04,234.45,141.55,39.83,179.97,270.94,212.04,122.47,123.91,240.82,270.42,235.17,8.29,162.70,120.50,291.36,239.73,119.15,87.70,89.56,138.00,106.18,59.89,104.26,236.64,259.61,204.22,154.93,66.60,49.98,174.38, ,114.10,97.79,54.85
284.94,94.77,128.70,105.34,249.07,293.99,248.75,198.38,55.96,210.13,160.86,247.97,75.87,169.37,257.45,130.43,246.74,287.85,70.01,132.78,82.32,13.23,27.80,174.59,22.49,157.36,181.94,85.56,167.40,131.48,179.14,67.24,187.11,201.31,148.27,276.19,160.86,261.66,201.02,272.44,220.96,106.85,235.12,60.71,147.33,227.37,154.10,152.35, ,53.66,197.98,274.50,248.62,90.23,164.94,109.73,147.43, ,250.32,87.70,277.16,203.23,261.50,199.13,98.53, ,96.85,255.27,275.38,35.27,41.18,292.08,288.65,90.43, ,265.07,100.86, ,4.09,168.17, ,282.02,294.71,256.79,104.79,116.90,63.42, ,263.63,200.76,14.08,136.22,256.25,204.77,14.53,45.22,270.28,164.71, ,14.24,227.33,115.17,127.71,226.74,142.22,78.33,115.40, , ,25.77,124.09,53.11,269.47,3.23,100.52,146.38,220.47,233.78,117.95,214.23,239.05
146.00,150.94,86.90,180.72,120.24,36.91,37.75,109.16,66.95,174.43,24.43,287.04,130.54,19.70, ,258.75,295.68,252.16,63.03,137.80,154.06,212.61,180.36,136.57,285.94,95.77,70.67,186.31,21.21,48.57, ,7.33,136.65,119.34,46.49,231.53,7.23,134.79,254.49,171.21,39.72, ,238.99,162.26,16.99,116.61,249.44,72.89,94.23,235.98,102.85,119.49,96.36,159.83,148.12,2.21,253.33,295.54,207.78,17.62,41.27,290.34,91.81,107.35,119.59, , ,132.46,247.46,87.13,59.83,20.90,259.20,281.70,166.55, ,184.17,153.82,104.58,110.20,251.88,287.40,70.24,127.67,157.29, ,264.58,286.11,178.37,259.71,200.05, ,12.59,163.80,28.82,10.94,136.19,135.26,258.03,33.43,169.24,142.20,155.30,206.21,136.90,100.50,51.56, ,64.15,210.31,266.00,241.50,14.89, ,138.48,145.79,248.06,62.63,235.14,48.78,58.72
292.86,182.65,85.97,108.58,139.48,289.16,280.64,33.06,34.47,47.32,43.46, ,106.09,130.43,134.41,82.74,264.64,202.75,27.94,117.65, ,156.79,289.57,134.42,22.38,194.19,49.16,65.07,43.73,74.89,285.11,150.50,11.32,207.95,120.40,138.03,11.27,211.73,132.24,23.48,215.05,224.32,155.31,208.67, ,283.57, ,30.24,130.41, ,38.37,30.16,199.98,89.50,113.37,27.04,113.82,74.57,105.98,186.80,247.45,235.48,52.65,261.26,191.10,79.71, ,109.87,264.73,97.20,124.88, ,284.40, ,58.98,174.21,219.64,45.21,205.06,58.13,237.49,156.84,7.79,5.06,94.00,129.16,129.32, ,15.89,80.09,297.42,258.32,32.57, ,38.06,116.62,98.72,24.28,294.41,41.87,149.72,269.27,27.07,232.93,114.48,185.89,168.80, ,263.98,84.82,69.45, ,165.65,275.10,272.07,221.99,268.98,149.80,50.59,36.83,282.67
154.89,49.90,167.39,287.66,291.62, ,209.41,133.88,288.11,197.98,245.79,226.59,61.72,68.09,201.67,221.27,206.51,102.87,257.22,217.86,1.30,124.23, ,258.11,11.02,34.61,227.71,195.23,8.25,13.30,261.74,168.11,271.42,117.58,215.17,119.47,128.55,195.39,152.27,175.88,135.42,131.93,157.01,8.34,87.23,112.11,86.56,63.68,238.17,259.60, ,79.07,137.06,119.90,60.70,52.20,108.82,55.91,119.70, ,284.96,201.94,219.27,77.29,46.48,164.20,168.80,85.15,9.77,213.21,54.28,238.28,295.43,34.18,20.67,47.68,287.56,102.70,238.12,189.78,195.46, ,64.26, ,157.57,69.42,122.55,257.38,101.97,261.80,120.21,253.41,288.10,117.51,147.80,270.78,40.23,91.56,230.50, ,88.07,176.18,77.27,116.22,101.85,99.91,189.25,191.42, ,132.39, ,280.19,132.05,270.51,109.33,228.79,108.18,82.30,175.70,284.24,297.68
