Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131,Col132,Col133,Col134,Col135,Col136,Col137,Col138,Col139,Col140,Col141,Col142,Col143,Col144,Col145,Col146
293.67, ,44.53,222.44,265.42,235.73,74.54,147.73,79.54,189.79,97.38,210.62,191.08,120.42,293.26,247.85, ,59.94,151.24,104.95,299.75, ,4.56,154.95,195.72,236.51,19.84, ,230.46,87.74,67.63,162.22,171.02,287.37,223.30, ,28.26,265.03,142.42,253.51,121.88,231.86, ,251.70, , ,39.49,51.13,142.31, ,13.33,275.15,177.44,209.58,286.39,159.31,144.20,126.18,262.05,24.46,9.74,28.20,156.22,243.03,89.65,251.12,110.51,47.28,40.01, ,26.40,52.95,275.66,281.40,127.81,266.20,49.18,52.80,239.17,184.11,89.80,153.63, ,79.89,138.95,196.92,146.30,85.55, ,251.32,245.79, ,212.00,71.53,156.54,234.10,196.72,246.48,290.23,88.20,79.33,190.02,259.75,4.64,37.85,296.63,254.48,43.12,179.50,161.41,127.27,192.73,232.12,261.20,278.48, ,57.81,182.50,236.31,38.69,256.68,278.24,1.86,20.56,233.51,29.74, ,125.25,286.48,1.49,279.73,297.08,37.77,154.71,209.94,110.51,30.21,169.80,159.75,28.22,157.30,57.82,125.93, ,112.42,290.61
220.18,57.18,8.34,47.09,240.75,190.68,150.84,2.10,208.31,186.72,83.20,294.20,176.10,199.18,117.72,48.61,160.38,230.28, ,277.37,77.35,139.56,248.84,211.75,96.44,294.06,220.85,27.03,220.32,30.09,22.02,257.45,80.27,290.19, , ,197.87,65.56,186.85,225.56, ,21.99,115.81,157.10,81.84,80.36,18.10,8.16,246.64,18.26,58.26,209.72,165.12,91.38,73.76,128.11, ,150.10,43.35,265.71,286.76,283.74,271.83,281.05,219.57,228.09,107.38,139.18,60.46,224.57,99.85,91.12,257.89, ,1.24,46.54,132.88, ,105.78,161.29,181.92,135.95, ,243.33,149.50, , ,1.11,275.44, ,247.66,61.15,290.59,75.02,40.17,83.57,47.38,232.78,25.73,39.31,12.07,185.55,110.47,89.71,36.59,259.23,110.52,12.73,227.67,296.32,163.04,113.78,24.74,139.72,115.30,86.53,223.69,215.97,33.23,173.45,126.85,54.07,153.06,38.48,154.55,48.56,114.67, ,139.42,67.72,24.21,276.41,170.45,67.55, ,73.23,51.54, ,105.61,63.80,175.92,26.95, ,44.54,55.44,164.80
40.27,288.56,31.10, ,279.60,62.08,280.92,12.86,50.87,18.44,290.87,259.21,105.07,62.36,207.75,295.26,75.17,160.67,81.05,219.66,208.51,21.97,121.87,70.43,153.29,287.42,283.23,161.99,98.94,218.76,259.25,178.79,263.96,96.62,40.27,105.66,298.01,138.22,162.45,292.63,297.53,159.91,226.68,69.07,246.25,32.31,201.84,239.92,250.57, ,290.84,16.47,50.83,77.84,6.55,163.34,284.02,182.21,70.07,33.85,150.35,128.00,223.51,295.77,289.68,0.13,85.13,220.15,160.70,6.67,284.49,189.54, ,71.75,83.47,267.14,126.20,7.17,212.32,177.83,35.95,1.77,295.27,236.61,179.07,137.90,219.09,235.86,21.31,120.89,283.45,283.95,76.84,291.71,37.39,290.80, ,292.57,74.94,26.42,190.01,44.08,180.11,172.18,73.30,188.60,163.24, ,272.89,153.14,42.62,134.14,263.86,26.00,288.76,80.09, ,41.11,163.28,290.99,288.93,215.24, ,78.48, ,51.37,257.55,250.24,150.11,111.94,9.66,52.68,245.69,273.55,186.62,208.03,172.29,241.91,74.49,166.01, ,217.38,246.24,86.49,83.47,206.26
79.81,200.08,17.56,99.97,34.31,212.39,109.09,153.82,183.83,62.62,26.80,248.72,213.36,67.35,105.36,144.22,45.47,11.59,191.99, ,226.30,279.78,157.45,292.04,272.96,116.68,56.95,34.16, ,69.37,6.87,70.94,59.91,195.40,179.44,183.06,13.69,226.61,88.88,143.95,288.70,259.63,231.05,108.29, ,177.66,73.23,129.31,112.31,119.72, ,207.12,71.99,298.30, ,87.18,216.67,3.03,189.75,21.83,185.45,12.41,41.24,115.50,9.96, ,129.69, ,36.80,13.42,176.79,30.33, ,247.01,29.37,83.84,59.61,291.98,42.30,83.72,170.59,137.91,70.53,210.01,4.40,25.37, ,37.39,229.26,239.35,93.11,207.19,36.75,191.62,279.38,162.94,117.29,245.23,187.73,125.70,217.23,225.07,179.50,171.59,26.19,232.11,88.07,18.94,76.37,204.04,157.27,163.08,184.19,190.25,21.14,271.61,230.16,117.61,159.14,218.41,100.13,4.62, ,23.57,66.18,217.05,91.40,285.02,168.23,256.21,114.47, ,52.84,108.45,11.98,159.65,152.91,80.90,147.98, ,160.99,115.23,258.83,62.09,272.58,37.17
170.47,200.96,204.49,190.68,115.26,234.60,11.17,126.55,42.37,49.80,34.16,281.41,71.65,236.83,273.81,273.02,125.65,226.52,277.26,105.09,275.46,138.16,234.08,155.33,161.98,179.81,70.15,189.12, ,125.95,178.53,159.04,225.60, ,255.74,66.52,102.78,100.52,28.61,205.66,11.05,89.06,263.77,52.07, ,256.78,187.03,78.79, ,4.38,107.45,89.35,20.96,215.95,133.08,156.09,128.50,106.38,57.98,76.77,223.05,66.83,264.81, ,10.88,285.06,167.71,179.32,266.14,257.64,204.54,243.71,30.69,49.67,168.82,25.02,42.87,45.71,67.60,225.43,8.12,168.45,155.66,217.51, ,175.15,23.76,153.13,108.04,16.72,132.79,81.31,179.41, ,124.17,105.23, ,113.34,198.63,115.73,206.69,65.62,146.96,159.19,56.44,264.06,23.51,209.70,208.52,288.92,213.27,171.12,270.81,222.94, ,38.67,180.32,181.47,123.16,121.35,27.30,87.31,112.09,10.15,92.67,205.83,12.53,29.68,117.27, ,286.71, ,102.56,213.21,130.27,254.89,159.62,40.19,82.63,131.08,69.19,192.04,82.32, ,112.01,238.75
78.31,113.93,28.02,228.52,112.31,266.94,124.51,104.12, ,256.40,124.54,126.28, ,208.60,122.10,101.13, ,179.44,260.69,14.33,123.28,55.03,293.32,212.68,223.07,274.19,186.64,205.06, ,205.67,36.46,242.11,88.62,17.04,49.56,89.26,35.08,47.32,108.96,35.93,89.35,25.58,206.69,173.88,239.60, ,276.07,83.23,195.94,130.70, ,42.50,213.94,175.77,200.82,127.55,36.12,256.81,185.72,186.00,83.09,139.16,101.67,7.43,142.42,46.03,101.18,173.42, ,49.19, ,33.91,3.69,20.84,131.72,123.98,266.16,143.32,131.28,51.80,160.31,18.24,7.51,294.87,134.55,230.12,227.91,214.89,34.06,192.08,142.29,183.50,223.14,213.76,271.81,193.14,159.78,38.47,30.80,48.22,194.32,276.30,242.37,53.82,126.92,142.21,261.97,77.65,52.53,239.54,256.96,156.46,44.05,284.02,228.27,240.20,10.58, ,252.95,298.63,234.61,71.58,206.49,281.46,149.82,31.14,229.82,30.63,207.87,30.58,153.83,222.92,73.41,221.22,247.11,255.73,164.38,85.54,124.60,162.47,39.87,148.59,57.43,16.25,104.78,248.01
109.66,235.03, ,156.25,257.47,165.16,240.48,224.73,17.07,173.82,31.60,140.09,124.87,17.54,124.10,38.18,174.03,17.74,219.47,266.52,250.10,16.13, ,240.86,41.22, ,32.72,143.20,265.50,192.13,58.24,47.42,98.94,5.54,278.56, ,245.08,240.79,118.07,100.91,33.31,291.54,174.85,252.26,221.25,239.79,278.58,251.71,54.97,80.54,151.73,162.34,107.49,173.57,234.50,284.51,116.62,76.87,231.79, ,153.04,278.93,228.04, ,3.04,182.22,161.57, ,23.91,196.63,4.33,61.53,106.71,95.43,106.20,14.55,126.04,84.79,224.93,39.93,15.88,116.19,191.42,188.60, ,85.23,285.23,103.88,14.14,59.48,239.40, ,74.73,279.04,77.40,172.36,137.94,147.17,287.69,104.27,253.91,261.52,70.40,100.14,183.08,93.93,172.76,91.42,212.75,107.01,274.41,107.48,167.60,66.48,293.24,31.58,255.92, ,26.32,43.56,45.13,154.70,149.66,116.52,7.77,204.16, ,183.53, ,51.13,40.21,53.29,238.00, ,231.10, ,93.15,253.96,264.32,163.38,203.67,211.13,166.87, ,28.25,14.76
49.95,42.20,128.10,194.37,120.04,72.39,218.63,267.20,24.11,220.28,279.53,49.23,67.05,100.33,163.35,97.29,189.89,169.67,92.66,146.52,189.52,225.94,278.71,165.05,268.99,140.91, ,190.14,52.56,239.82,218.01,245.16, ,84.65, , , ,109.30,254.54,15.94,6.91,227.73,178.08,150.64,298.57,266.09,95.45,199.00,260.81,144.78,228.81,168.38,210.79,196.11,5.88,228.02,121.14,22.53,168.81,125.81,213.96,218.52,297.80,22.87,261.68,164.21,13.41, ,224.20,192.71,16.15, ,28.94,173.29,225.11,224.64,209.48,142.82,148.01,245.53,99.23,38.54,97.70,296.03,276.15,287.01,22.44,83.22,17.67,102.85,298.60, ,208.09,136.53,14.11,281.62,76.39,223.54,286.53,35.86,251.63,67.83,64.59, ,115.97,57.03,120.07,246.33,263.72,250.31,126.54, ,11.54,170.25,43.69,210.56,237.61,121.70, ,186.30,280.01,42.33,221.10,92.67,276.17, ,226.49,106.39,37.61,157.82, ,201.51,263.56,2.25,102.77,5.24,172.73,291.33,22.29,77.46,79.85, ,59.70,227.53,134.08,284.01
 ,37.02,237.64,174.46,126.32,247.57,266.29,116.81,35.36,170.05,254.06,166.45,9.60,52.93,280.64,159.70,191.06,165.94,197.29,68.58,17.63,155.17,136.46,241.54,111.09,284.64,61.49,190.55,297.66,246.78,261.55,250.84,3.21,281.32,157.18,224.11,66.05,158.73,51.27, , ,211.86,227.52,210.06, ,207.71,291.22,23.11,136.86, ,253.63,1.42,206.95,285.62,4.82,175.51,244.61,218.46,8.81,129.81,264.04,126.58,165.48,48.71,149.45,64.10,81.49,213.89,291.05,261.44,43.85,51.96,86.80,144.92, ,274.73,80.43,141.06,14.46, ,277.65,79.18,106.19,107.27,149.10, , ,94.19,247.50, ,34.29,96.83,232.95,144.37,220.54,119.41,139.08,212.65,53.33,248.38, , ,63.11,188.07,254.19,121.15,103.42,216.90,285.35,271.80,163.22, ,282.63,254.24,39.99,10.11,44.81,56.07,287.22, ,160.88,52.86,270.59,137.47,56.53, ,28.33,200.55, ,183.18,21.93,88.01,150.07,163.16,138.47,61.40,77.78,224.80, ,195.39,41.78,43.44,120.20,117.13,292.45,203.93
206.75, ,25.10,210.87,268.13,64.70,103.89,251.81,273.11, ,260.03,6.95, ,127.15,179.63,67.69,51.83,271.20,236.63,289.66,184.56,196.85,287.33,91.73,29.42,95.26,24.88,260.45,55.65,103.60,235.51,299.73,279.45,83.06,267.23,63.58,30.51,101.05,261.16,256.98,257.62,244.09,45.40,10.85,292.15,36.33,285.75,215.00, ,298.06,274.21,244.86, , ,227.04,166.45,76.12,77.45,101.13,173.77,70.80,297.81,11.15,171.01,140.47,54.19, ,28.39,262.36,10.62,81.43,34.10,205.88,278.70,292.26,208.01,109.45,295.74,193.99,165.71,61.68,295.38, ,23.77,281.77,120.15,259.60,183.52,155.79,139.55,66.93, ,64.86,280.88,282.35,281.81,116.06,149.97,243.70,135.21,151.16,173.38,272.97,184.11,279.07,273.38,25.70,267.15,139.23,151.15,122.89,269.63,176.44,50.40,288.98,173.37,198.99,140.71,170.04,5.79,283.59,18.21,130.75,99.84,233.38,91.55,83.95,295.23, ,45.63,169.75,253.91,130.22,150.60,170.70,7.97,159.01,38.01,117.89,268.14, ,219.13,13.03,240.61, ,121.38
 ,291.13,297.93,115.35,151.61,169.29,125.51,186.04,227.12,230.54,22.47,207.24,197.84,244.69,228.52,259.82,252.19,267.53,251.96,248.72,200.41,130.61, ,16.65,234.23,69.10,93.45,91.96,285.35,279.74,240.74,83.61,140.10,190.67, ,273.55, ,173.97,220.71,164.09,38.45,8.35,283.04,195.07,136.86,87.22,4.21,4.51,251.10,122.38,234.84,115.33,199.00,130.76,189.18,57.08,93.18, ,76.22,230.26,4.08,238.43, ,266.39, , ,269.79,59.26,133.99,178.42,163.88,152.71,4.04,280.69,275.21,173.43,246.14,146.51,263.09,171.70,92.36,146.96,99.49,266.78,80.81, ,244.69, ,297.75,28.96,255.64,294.31,146.59,153.72,297.26,260.28,46.28,243.37,114.80,99.47,276.34,226.79,124.96,61.98,239.60,101.14,95.11,24.31,35.91,234.80,294.84,202.13,247.72,234.37,188.36,144.10,214.11,107.51,152.07,161.78,260.43,286.91,58.38,297.24,189.25,127.46,127.12, ,74.84,159.59,63.46, ,228.16,52.35,146.60,205.16,296.08,271.30,221.13,294.21,123.96,150.41,67.55,281.01, ,156.10
189.73,45.78, ,153.32,183.38,127.96,8.29,254.12,107.03,9.26,93.63,284.70,84.64,221.58,45.02,221.76,163.68,243.17, ,96.48,172.41,86.38,104.69,215.07,17.45,93.54,183.95,103.38,11.41,49.58,200.65,298.82,187.21,41.20,129.16,180.51,234.09,262.51,177.31,123.06,267.91,13.44,143.36, ,154.77,29.43,173.10,230.65,240.17,12.34,199.94,42.77,84.11,164.02,186.96,245.94,9.51,95.16, , , ,160.68,170.67,57.53,23.16,163.80,41.00,293.88,68.83,275.13,59.41,265.45,43.96,110.53,142.33,212.41,113.13,238.74,165.60,207.43,24.92,282.69,97.29,256.94,171.96,244.61,30.10,32.38,257.23,280.57,114.82,153.88,266.07,211.75,88.88,20.42,190.41,179.73,279.69,153.82, ,98.43,98.84,115.40,265.72,153.47,73.13,219.16,12.52,212.84,100.65, ,214.46, , ,210.13,230.85,299.07, ,82.08,170.86,271.35,155.79,201.86,171.27,230.01,132.80,27.98,174.86,147.91,60.32,7.42,172.95,206.80,233.74,270.99,186.36,241.17,67.17,271.08,264.05,122.23,43.94,30.31,42.79,16.09
120.31,10.84,94.88, ,28.62,136.80,92.89,74.39,146.31,106.13, ,7.22,278.33,57.18,269.96,186.85,203.08,9.57,0.42,131.57,133.08,3.02,130.99,40.68,228.47,72.17, ,79.39,117.91,277.37,100.51,13.39,280.42,96.14,20.96,25.91,33.67,190.20,194.99,40.64, ,298.74,214.04,12.58,256.23,111.59,243.64,96.16, , ,126.34,137.66,89.60, ,153.61,60.56,187.41,209.62,99.95,2.28,155.40,194.50,248.10,242.18,73.42,6.39,98.73,27.78,159.69, ,13.30,246.82,155.09,271.52,147.97,245.60,269.74, , ,30.21, ,167.24,182.83,221.54,243.72,107.22,1.96,116.70,240.29,124.72,150.11,136.28,13.64,234.19,203.24,125.96,112.91, ,295.74,114.20,110.56,84.51, , ,30.67,18.28,159.84,59.38,142.87,241.53,258.02,268.62,163.24,273.38,22.53,23.29,246.41,200.26,47.82,108.91,0.88,287.76,133.77,88.60,70.98,42.02,67.41,189.47,140.51,87.10,131.97,299.76,244.24,109.31,165.78,70.55,45.40,27.37,105.46,155.82,146.10,205.43, ,94.90,48.99,231.27
