Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94
46,84,58,91,57, ,70,36,85,46,71,68,26,36,20,25,41,67,18,35,63,75,11,86,11,69,22,52,74,81,84,78,67,70,51,28,18,47,15, ,26,95,89,62,7,21,34,79,96,31,76,10,55, ,85,73, ,40,66,41,69,79,50,19,75,55,98, ,8,99,62,53,97,76,76,46,76,84,45,85,73,30,0,23,86,32,7,86,95, , ,69,75,52
12,58,73,0,12, ,35,55,42,65,91,23,81, ,38,69,30,89,81,21,68,82,70,92,35,94, , ,86,45,65,51,75,17,70,29,80,26, ,96,27,90,19,11,40,30,19,72,90,72,24,85,51,43,19,70,65, ,85,82,56, ,77,14,9, ,82,27,47,5,88, ,28,96,52, ,67,49,84,1,63, ,68,32,82,76,91, ,11,44,53, ,20,22
68,53,47,80,43,53,78,62,63,62,65,23,74,23,82,64,93,67,12,39,96,32,29, , , ,93,14,95,88,7,40,47,46,59,77,27,3,66,49,9,9, ,24,8,6,15,7,38,15,58,81,30,69,81,99,58,52,54,79, ,86,0, ,69,36,18,87, ,17,29,97,68,36,93,64,78,55,56,40,25,29,73,98,84,89,84,92,28,62,26,92,53, 
 ,4,2, ,32, ,56,12,55,55,90,92, ,55,3,32,35,77,84,47,52,54,36,4, ,7,88,81,16,37,61,89,54,47,54,46,87,23,62, ,40,91,54,54, ,12,62,93,43,21, ,75,94,12,67,83,75,50,97,56,42, ,16,38,76,58,72,73,0,10,85,4,78,21,26,1,69,43,87,96,64,61,60,34, , ,82, ,87,25,31,42,71,27
64,21,10,10,46,25,81,35,69,72,84,73,68,74,35, ,0,95, ,79,91,4,7,4,12,17,31,83, , ,19, ,55, ,55,59,40,59,65,49,50,16,28,48, ,31, ,82,50,38,38,61,95,37,34,19,76,38,33,27,25,13,20,71,69,19,3,5,82,55,45,1, ,40,78,41,32, ,21,70,98, ,17,7,52,81, ,98,37,62,40,62,18, 
24,2,66,49,99,54,65,14,2,44,15,6,85,60,1,13,80,76, ,25,10,8,58,32,17,49,25, ,24,50,12,68, ,49,54,52,50,72,81,73,34,25,52,77,75,70,69,28,99, ,53,89,24, ,82,36,49,47,55,25,18,91,60,11,56,67,65,83,66,5,71,5,13,94,52,3,20,59,54,71,82, ,47,88,48, ,97, ,3,6,10,8,79,51
 ,33, ,4,92,44,25,85,56,72,29,67,32, ,41,90,59,60,92,97,63,75,67,88, ,24,16,89,90,61,62,92,30,43,48,20,77,56,28,68, ,92,45,72,36,91,56,31,91,82, ,97,17,96,54,38, ,66,79,62,41,45,38,94,41,58,1,21,14,32,50,26, ,93,33,51,47,31,89,75,75,18,62, ,98,18,16,89,41,36,77,82,90,94
22,45,4, ,4,14,68,44,59,89,55,40,11,68,73,69,23,89,2,4,66,33, , ,35,92,24,59,34,47,45,4,64,13,33,50, ,17,56,18, ,40,13, ,72,8,77,89,15,62,17,76,67,56,72,37,47,31,39,48,26,55,67,2,49,25,81,1,17, ,89,72,18,11,37,40,34,5,64,40,0,73,87,70,92,71,99,62,41,9,82,27,46,54
 ,94,84,31,87,22,99,96,49,44,80,76, ,26,16,19,84,66,87,73, ,80,78, ,74,63,6,95,7,25, ,42,61,90,79,52,5,99,55,65,53,32,33,63,69,84,59, ,21,99,19,39,38,65,87,89,98,88, ,51,9,48,24,20,29,33,80,55,4,11,74,18,54,19,86,50,92,90,7, ,36,84,51,8,55,9,70,1,19,21,24,90,85,11
95,52,93,86,88,42,91,26,17,64, ,85,90,66,63,22,51,18, ,56,84,65,88,79,18,43,33,69,99,76,11,33,83,96,17,38, ,4,85,8,80,43,38,32,52,25,91,97,41,65,94,48,15,26,13,0,40,57,96,28,69,12,11,30,86,62,14,76, ,2,76,30,78,27,70,86,86,32,51, ,3,75,8,76, ,39,49,26,86,53, ,24, ,43
88,65,18,42,18,54,84,28, ,78,54,26,11,21,70,80,57,52, ,96,20,48,24,15,57,30,98,23,0, ,36,47,20,72,1,70,67,89,9,58,79,92,0,99,81,36,96,35,89,90,55,32,46,66,45,18,26,1,92,84,64,92,5,78,35, ,91,18,76,80,86,50,32,13,54,44,80,20,70,19,84,51,18,89,11,26,76,9,38,67,38,21,77,60
90,12,67,49,33,80,10,42,84,94, , ,16,73,33,78,98,72,43,74, ,8,6,42,96,97,22,23,36,58,71,52,7,36,64,93,3,89,55,23,60,0,40,68,62,51,36, ,44,34,90, ,47,59,25,68,67,69,12,93,87,7,89,43,87,22, ,34,5,67,76,11,51,94,52,12,92,39,57, ,45, ,67,1,31,53,50,82,54,2,53,54,87,33
78,10,37,97,4,7,7,34,90,19,50,94,76,69,95,90,95,27,82, ,87,45,31,57,97, ,42,30,29,84,70,2, ,97,82,44,67,31,54, ,12,17,61,13,96,99,41,61,31,40,97,37,38,37,24,72,53,25,49,8,81, ,22,88,10,7,2,41,16,45,35,41,99,97,80,23,17,54,11,7, ,14,49,66, ,77,79,47,85,51,62,19,59,18
77,55,50,99,51,42,3, ,82,58,18,54,67,21,46,72,36,15,52, ,28,14,78,91,99,47,41,57,20,64, ,22,50,48, ,0, , ,54,1,32,22,15,35,21,1, , ,16, , ,76,10, ,11,27,80,42,75,35,50,43,26,9, ,74,98,47, ,57,35,44,10,6,38,86,90,79,45,69,75,28,39,7,0,33,34,99,3,97,87,16,20, 
 ,3,20,20,39,40,75,11,77,87,91,81,32, ,49,93,57,49,80,57,67,69, ,11,3,72,64,81,53,15,64,20,19,60,60,13,57,59,25,97,58,20, , ,70,16,13,48,91,13,24,41,63,69,69, ,67,51,44, ,46,59,31,42,6,48,85,94, ,57,79,94,72,99,98,98,90,29,75,95,9,4,14, ,41,80,65,60,32,40,21,55,75,21
74,24,33,34,68,87,97,76,29,3,60,18,28,73,72, , ,19,77,10,17,23, ,20,65,2,87,63,82,58,18, ,13, ,32, ,86,65, ,88,28,81,93,96,48, ,31,69,23,14,26,69,42,37,58,96,5,49,99,95,82,90,61,1,92, ,18,89,48,32,4,53,15,20,59,10,36,30,27,52,82,32,74,96,67,79,39,42, ,63,51,79,54,21
72,57,94,16,0, ,23,22,77, ,20,27,86,1,70,10,61,3,67,45,94,23,68,10,6,6,90,11,13, ,83,53,30,79,4,94,73,12,9,72,48,86,35,87,33,55,69,92,45, ,49,44,24,51,94,58,41,61,39,5,14,7,75,24,60, ,10,69,73,1,49,17,35,85,60,58,81,20,39,38,97,39,84,57, ,58,14, ,38,55,41,91,29,63
86,86,17,61,91,67,3,7,45,54,48,8, ,99,54,52, ,55,84,73,31,91,14,29,15,82, ,31, , ,4,10, ,63,0,54,92,31,92,22,18,28,27, ,88,81,63,25,46,36,67,64,48,83,85,94,24,21,74,61,74,19, ,45,76, ,86,4,31,42,26,22,20,67,5,73,4,9, ,39,98,80,1,51,91,94,30,28,42,18, ,60,48,5
88,96,89, ,36,96,65,92,94,83,75,99,10,54,29,73,7,83,55,1,9,80,86,36,97, ,72,3,57,21, ,40,0,65,12,80,12,12,66,65,80,23,35,88,27,23,86,53,12,71,38,38,42,44,51,11, ,34,8, ,10,77,86,98,52,57,35, , ,48, ,92,78,38,75, ,83, ,94,8,95,27,25, ,49, , ,49,43,30,54,9,7,90
58, ,68,14,2,98,80,77,81,5, ,82,17,81,1,8,80,12,35,80,44,98,2,50,71,64,98,39,83,43,10,76,19, ,55,36,76,52,61,98,13,84,50,43,14,10, ,62,66,64,36,58,72, ,21,87,98,71,5,14,89,14,28, ,5,43,78,66,72,54,59,3,31,50,9,28,61, ,61,62,92,66,97,28, ,66,35,22,4, ,55,53,96, 
54,51,48,34,41,64,24,7,88,16,82,64,77,79,28,96,77,25,22,93, ,58,80,60,46,88,86,21,87,92,82,88,62,92,59,82,8,77,98,60,41,2,58,39,78,38,16,27,64,67,72,48, , ,69,63,34,78,31,62, ,41,20,20,30,12,67,22,85,8,71,75,32,79,11,33,98,86,76,67,6,57,17,91,82,14,98,56,69,1,51,63,9,69
57,93,17,38,31,37,30,69,41,58, ,60,12,55,4, ,90,70,27,35,23,96,81,14, ,56,13,36,58,68,12,19,64,16,11,84, ,51,91,99, , , ,59,28,40,45,1,82,4,4, ,16,80,56,67,65,53,20,8,43,27,49,31,20,11,57,64,60,67,77,63,2,91,31,10,3,5,75,60, , ,63,5,22,72,82, ,46,27,84,94,61,88
74,75,2,2,34,81,72,35,29,88, ,16,63,33,28,36,77,3,80,92,8,37,15,6,13,68,71,27,52,83,63,8,98, ,78,23,94,72,82,73,69,29,37,87,66,55,12,56, ,67,52,9,48, ,14,16,20,54,45,65,64,80,79,96,46,3,22,41,5,70,76,9,72,47,55,50,44, ,23,36,69,63,28,43,26,10, ,96,33,19,87,93,94, 
34, ,70,60,83,5,5,30,54, ,51,37,51,7,11, ,49,54,3,30,1,27,18,51,99,25,57,41,9,85,71,56,43,30,35,12,75,43,72,42,1,76,24,36,77,70,53,69,37,44,61,10,95,31,49, ,50,17,65, ,99,68,60,96,18,29,6,18,27,71,83,32,70,42,38,24,89,8,14,80,37,96,0,61,29,87,53,37,92,2,58,68,20,98
81,68,88,63,80,17,57,23,23, ,15,36,99, ,47,91,19,24,91,53, ,33,19,37,66,47,82,68, ,68,24,68,61,89,76,99, ,1, ,21, , ,73,93, ,57,4,37,92,56,14,97,21,0,13,15,23,82,96,63,69,66,88,62,57,89,63,72,64,36, ,52, ,74,69,75,68, ,34,42, ,23,0, , ,98,49,14,42,38,88,40, ,16
52,44,80,25,10,62,90,21,75,46,26,0, ,14,82,33,50,17, ,4,38,86,36,27,9,42,65, ,65,15,63,78,70,92,67,91,6,17,43,34,3,43,2,50,58, ,21,26, ,55,21,79,53, ,71,63,26,69,8,66,79,79, ,1,8,43,31,85,78,96,10,61,15,45,34, ,55, ,34,61,8,56,32,16,99,57,93,84,43,81,78,63,71,2
16,42,33,75,87, ,87,40,80,67,52,17,45,4,5,72,38,54,69, ,34,31,29,59,98,79,19,52, ,86,61, ,34,27,58, ,12,73,61,83,50,78,75,38,66,14,65,45,10,81,8,19,2,75,84,43,54,54,35,51,92,55,42,12,50,33,66,79,45,33,13,65,99,98,11,37,16,62,93,11,69,3,97, ,42,39,52,37,15,19, ,69,73,79
45,10,18,2,15,6,42,60,97,53,91,38,79,29,94,88,82,97,77, ,93,29,43,75,71,12,43,28,3,15,31,44,7,69,20,32,70,28,36,72,55,98,8,85,64,67, ,11,33,36,74,75,76,16,73,62,76,80,56,60, ,60,69,46,20,72,74,37,55,80,48,7,76,10,11,12,92, ,61,59,79,70,34,80,4,77,4,57,55,45,23,19, ,93
18,75,33,87, , ,56,42,46,16,49,80,95,85,8, , ,4,55,52,15,64,77,55,32,11,27,98,23,96,54,97,7,8,81,50, ,14, ,35,99,41, ,69,15,95,75, , ,2,87, ,49,7,81,15,88, , ,18,99,16,50,67,70,25,74,38,9,62,88,26,10,53,4,63, ,80,57,43, ,16,96,7,69,22,34,76,14, ,68,81, ,84
46,4, ,22,20,62, ,96,91,12,30,86,76,12,45,45,0,91,12,28,15,41,68,7,57,85,9,31,36, ,82,11,97,4,14,31,14,35,94,48,30,40,78,50,49,30,92,45,44,92,48,53,49,4,62,99,23,11,53,67,56,35,40,38, ,31,78,97,5,46,47,50,23,51,44, ,47,90,18,62, , ,88,70,56,49,58,89,50,82,82,84,0,64
14,22,39,69,97, ,53,21,10,85,71,51,97,97,60,58,44,74,81,90,9,81,82,58,24,62,59,8,73,50, ,8,80,58,31,92, ,23,43,24,98,46,45,74, ,47,13,96,65,72,78,95,44,94,19,91,98,67,86,32,36,1,60,73,75,49,50,25,20,61,19,61,93,76, ,9, ,90,88,19,76,8,50,71,53,95, ,15,93,61,10,23,60,10
51,2,38,21,47,36, ,28,49, ,17,69, ,80,99,80,11,13,64,11,49,10,13,64,54, ,89,57,10,39,33,9,51,9,37,36,85,10,25,80,99,70,25,48,60,65,28,89,48,5,34,85,54,36,40, ,39, ,28,45,72,65,0,13,74,88,47,22,43,28,56,96,8, ,37,67,14,79,73,66,48,52,75,51,19,35,85,95,12,10,44,64,51,11
18,88,6,97,15,88,77,34, ,29,41,61,76,56,90,47, ,25,87, , ,13,33,95,26,74,59,97,87,68, ,3,46,33,77,53,81,22,72,36,52,58,26,5,71,85,40,16,41,52,86,28,45,8, ,45,29,60,37,42,15,41,77,30,72,16,66,20,69, ,87,87,77,49,36,57,9,32,72,54,36,52,0,48,45,77,68,21,63,60,65,91,13,97
 ,52,25,73,87,2,95,99,91,50,27,98,87,18,30,59,32,36,98,11,60,7,37,85,70,66,57, ,44,43,12,65, ,77,77,74,60,2, ,40,76, ,12,42,0,15,10, ,97,23, ,87,40,82,96,68,25,64,88,29, ,30,63,7,9,72,21, ,15, ,97,77,47,8,30,78,32, ,63,18,13, , ,76, ,14,54,18, ,96,18,43,91,87
78, ,41,73, ,77,34,22,68,28, ,81,75,50,59,29,46,84, ,26,56,63,48,87,72,31,17,82,86,99,58,53,5,49,65,95,20,56,57, ,29,72,18,13,69,68,71, ,35,29,81,60,17, ,73,94, ,23,62,37,69,14, ,8,1,89,84,16,35,96,30,66,87, ,5,3,65,48,54,88,24,97,27, ,6,69,22, ,89,59, ,64,77, 
50,11,78,13,42,62,82,76,7,11,51,32,46,75,83,43,39,38, ,51, ,62,66,21,33,22,37,45,85,76,5,44,92,2,2,82,52, , ,88,63, ,86,95,12,45, ,7,0,58,35,24, ,6,70,67,39,53,54,27,0,15, ,57,56,5,51,75,78,81, ,32,52, ,5, ,45,9,1,92,82,3,50,92,93,69,49,49,15, ,19,86,53,87
48,91,95,99,87,28,10,48,45,46,72,80,55,70,14,8,71,58,37,2,74,4,26,81,10,98,75,75, ,46,60,50,75,81,88,44,14,19,1,81,82,71, ,49,16,86,55,8,66,60,48,52,14,82,28,94,36,72,89,41,17,64,19,52,32,93,12,44,72,40,80,2, ,75,28,60,15,99,7,41,5,86, ,32,93,56,7,69,53,85,37,32,98,72
 ,44,22,82,35,41,42,22,54, ,64, ,49,92,18,30,37,67,46, ,29,67,40,21,55,42,43,28,55,91,32,17,93,39,82,6,27,89, ,11, ,8,78,3,51,21,47,98, ,92,64,82,74,20,83,54,43,3, ,56,2,4, ,51,48,2,16,7,60,93,29,69,72,2,54,32,0,3,90,1,71,78,70,87,68,11,59,83,94,7,83,48,80,7
7,9,12,67,75,14,36,42,7,26,11,51,75, ,56,85,60, ,39,25,89,61, ,97,87,37,19,26,91,29,99,44,13,78,43,75,73,10,21,6,1,23,83,75,71,65,91,55,13, , ,17,6,7,67,25,39,17,47,13,74, ,40,19,9,63,78,61,28,17,20,70,86,12,44,63,87,95,2,78,38,55,63,26,69, ,89,7,78,96,49,91,97,11
41,4,63,8,10,8,94,38,44,67,51,51,74,16,81,98,53,75,50,98,9,62,59,86,47, ,99,77, ,20,66,43,25,68,14,85, ,94,42,79,85,91,9,59,89,7,20,48,34,54,60,21,53,93,14,39,55,39, , ,51,53,16,69,60,11,40,89,45,78,38, ,77,66,32,29,83,85,56, ,21,16,34,4, ,49,97,5,99, ,66, ,97,48
60,23,92,39,51,47,76,27,38,15, ,14,0,17,78,64,98,81,90,54,68,50,3,5,59,45,46,28,40,63,83,77,25,97,75, , ,78,21,91, , ,57,53,16,51,28, , ,41, , ,12,83,42,33,71,2, , ,13,70,43,50,44,9,91,74,18, ,1,19,9,75,42,46,51,26,29,68,57, ,78,86,24,39,6, ,10,61,89,23,60,21
92,1, ,59,11,47, ,71,30,9,93,70,5,58,95,2,7,69,56,67,57,11,95,58,55,71,87,3,2,21,81,15,20,96,31,42,69,44,37, ,92,62,59,44,7,74,88,21,20,73,37,39,6, ,71,74,23,24, ,29,57, ,31,4, ,80,71,48,91,35,81,69,81,34,54,31,9,20,21,29,27,4,65,8,40, ,21,23,33,67,9,92,76,13
 , , ,55,42,3,13,64,56,76,42,41,77,5,94,21,11,78,55,92,94,5,7,62, , ,72,47,28,15,69,32,85,14,32,98,67,20,1,43,91, ,63,48,92,92,42,58,87, ,51,17,60, ,80,44,1,99,9,98,40,31, , ,34,8,79,73,73, ,58,55,11,17,63,28,49, ,39,99,92,32,56,56, ,30,1, ,57,31,21,84,79,21
78,83, ,76,50,69,34,89,52,53,48,4,78,54,34,73,44,83, ,60,3,3,72, ,36,46,29,47, ,26,18,22, ,22,85,50,66,42,89,76,64,48,3,4,11,77,87,22,5, ,90,51,18, ,23,81,17,13,55,43,68,29,54, ,77,5,89,74,26,77,16,79,20,30,80,30,16,70,40,62,76,40,65, ,91,83, ,86,40,95,92,18,17,8
97,74,66,28,16,21,86,6,54,47,98,64,19,13,17,24,70,74,50,43,97,89,95,59,88, , ,50,78,91,6,14, ,84,98,80,64,98,37,25,41,21,19, ,28,68,80,29,6,79, ,0,53,65,94,34,35,95,24,66,42,92,34,91,73, ,10, ,28,73,2,95,88, ,83,37,55, ,10,3,21,74,40,6,91,87,28,33,27,56,5, ,4,40
11, ,56,42,11,14,20,53,71,98,6,26, ,32,44,8,81,79,76,72,7,22,76,79, ,61,5,8,31, ,39,2,5,68,14,79,53, ,76,19,92,6,86,22,45,69,93,13,94,9,12,59,8,43,59,90,66,5,10,46,81,65,6,15,77, ,89,39,89,32,44,65,61,1,73,61,10,94,84,0, ,26, , ,4,96,62,35,36,19,32,72,94,71
94,56,56, ,83,59,11,86,50,36,93,27, , ,64,55,33,59, ,28,26,29,6,44,6,45,83,56,81,52,13,98,46,38,10,82,14,69,31,15,60,1,15,96,7,39,61, ,8,39,75,27,20,81,71,55,57,11,31,97,76,67,7,98,70,61,43,57,28, ,99,59,92,20,8,91,66,4,44,63,80,22,45,82,39,13,56,48,49,42,58,93,72,91
