Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78
291.11,110.47,198.73,135.58,286.59, ,0.15,200.48,174.03,294.31,32.81, ,260.61, ,5.71,181.16,243.46,293.13,71.22,106.49,296.43,190.20,230.84,219.74, ,93.76,17.99,6.11,151.07,217.42,272.43,85.35,187.73,267.57,117.31, ,20.92,299.16, ,230.00,222.33, ,16.09,143.14,40.73,172.12,143.25,279.87,161.65,275.24,221.88,25.05,272.70,175.12,257.10,201.85,100.04,183.71,297.78,137.19, , ,45.95,85.61,183.44,280.13,155.00,229.40,252.29,226.03,173.95,5.12,241.69, ,125.40,36.76,58.49,104.93
121.22,153.41,84.29,127.18,255.67,172.37, ,74.47,108.90, ,114.02,186.57,63.20,140.50,164.23,175.23, ,296.45,120.20,254.29,270.68,176.55,69.63,281.35,74.03,92.52,204.27,205.49,179.95,263.96,81.69,155.13,129.74,220.85, ,175.15,265.76,47.36,142.04,246.99,133.66,78.65,241.51,58.07,75.34,28.93,57.22,210.38,21.63,28.92,57.05,142.39,276.48,288.44,249.38,104.65,272.66,235.62,78.70,279.14, , ,209.28,199.96,134.51,181.63,193.16,67.50,261.49,225.29,162.50,185.36,257.71,150.45,72.20,187.02,83.19,59.42
182.68,112.14,180.97,180.61,232.45, ,193.95,34.96,154.58, ,121.73,187.28,60.66,201.33, ,284.51,70.25,286.60, ,3.78,82.89,284.73,132.50,209.29,129.36,279.17,82.43,206.31,73.07,229.18,214.66,258.91,10.25,5.19,25.01,250.49,193.36,123.25, ,32.54, ,85.72,197.95, ,104.26,3.59, ,277.99,7.03,4.49,172.80,57.17,18.65,5.71,242.88,237.87,161.50,131.47,217.94,115.36,133.69,152.04,20.23,190.84,66.93,44.55,205.00,137.53,109.38,135.66,272.21, ,133.71,156.23,79.80,196.30,19.34,80.29
 ,210.31, ,277.24,241.55,215.44, ,139.09,197.74,204.90,48.29,3.66,85.88, , ,280.89,290.88,298.48,0.13, ,197.13,40.70,102.99,181.94,95.23,55.22,239.48,118.27,228.83,255.01,18.36,294.31,217.43,235.03,124.83,162.84,29.85,160.62,159.67,290.33,77.14,24.87,270.73,185.74,171.55,212.98,67.31,126.46, , ,117.31,205.32,178.77,183.68,68.02,81.95,298.24,103.91,175.70,166.25,274.20,202.20,227.72,94.47,254.24,115.67,283.27,51.69,256.16,201.43,278.72,82.53,142.46,0.08,261.08,79.60,204.14,122.45
251.31, ,205.54,1.71,26.64,28.78,278.86,90.11,242.87,85.58,215.95,219.92, ,86.25,168.38,295.51,122.25,207.75, ,251.12,129.45,32.70, ,11.56,256.55,65.25,100.19,245.98,205.01,5.31,193.80,281.65,164.52,136.14,112.20,23.40,117.96,154.89, ,166.45,124.16,163.83,281.24,100.18,53.92, ,45.18,232.45,63.38,130.74,169.25,188.02,65.13,193.82, ,61.43,80.73,267.54,39.79, ,139.97,147.40,61.00, ,293.45,57.69,50.16,259.69,145.22,58.23,46.16,133.35,64.74,293.18,158.65,281.06,172.94, 
293.18, ,287.48,211.51,128.19,2.37,254.76,240.21, ,286.37,132.14,55.99,87.13,204.87,69.34, ,52.64,286.21,248.60, ,160.11,262.88,21.24,76.54, ,89.53,277.33, ,71.28,45.98,225.05,278.51,107.84,47.03,257.76,12.96,278.66,250.32,294.84,292.30,140.39,160.92, ,241.71,31.88,53.73,3.54,168.80,112.43,44.96,98.10,189.74,167.60,279.88,57.65, ,129.03,84.71,99.83,231.65,77.19,161.32,13.68,136.28,278.32, ,155.10,245.51,104.29,107.64,222.26,35.61,294.31,108.41, ,153.72,34.86,226.05
198.40,62.07,251.34,11.31,195.49,253.44,190.32,47.97,288.80,10.10, ,137.54,191.83,274.64,99.67,33.79,103.96,57.92,224.87,149.94, ,235.98,234.14,252.77,100.79,195.36,254.08,248.43,294.76,49.64,112.92, ,108.77,109.81,197.80,265.00,267.47, ,153.70,110.01,175.05,48.04,21.69, ,270.13,168.09,126.77,96.30, ,205.07,216.69,38.93,36.76,218.84,70.39, ,180.40,63.56,227.05,112.89,7.29,6.29,66.40,145.97,215.03,67.77, ,139.53,120.90,181.77,171.87,112.28,132.55,123.94,218.32,36.65,265.19,153.79
186.06,286.54,201.88,116.53,108.92,53.15,132.36,269.56,187.07,64.61,73.12, ,291.44,280.02,111.64,292.72,285.75,238.76,181.45,151.04,287.07,192.65,239.47,186.45,14.64,8.32, ,196.87,32.84,257.65, ,57.34,107.18,144.07,77.60,224.09,165.03,35.75,128.04,185.25,218.93,282.78,234.15,124.12,57.02, ,228.80,226.76,129.58,237.38,47.45,99.60,127.94,11.84,138.80, ,153.29,270.77,133.25,160.25,116.69,124.80,146.08,212.88,276.77,176.76,230.17,251.89,267.60,218.10,101.45,224.10,111.17,90.82,99.78,201.77,168.35,202.59
173.77,253.81,298.19,2.82,270.24,134.63,217.36, ,18.81,15.15,69.06,64.37,9.79,215.25,183.79,128.85,115.59,152.03,242.51,268.95,252.84,5.51,141.03,281.73,16.13,133.40,206.89,98.67,213.22,142.94,255.74,295.22, ,147.25,158.63, ,29.51,230.07,273.35,93.25,230.93,251.95,194.57,262.11,75.52,7.16, ,262.90,267.55, ,114.79,265.00,78.09,27.32,29.53,79.25,255.75,232.15,74.51, ,36.62,142.07,127.13,184.27,250.80,124.26,266.61,22.17,274.03,238.57,46.21,61.43,195.00,101.14,146.12,169.26,47.84,94.68
71.87,265.01,130.76,79.84,285.22,8.62,118.70, ,164.91, ,33.89,74.47,184.15,62.90,103.33,64.75,285.71,176.96,159.29,39.99,105.08,41.14,284.45, ,225.89,247.33,58.65, ,193.68,223.82,266.33,67.32,225.17,167.69, ,26.98,43.73,214.93,7.26,53.39,89.52,191.85,208.03,65.62,144.18,135.07,244.87,168.08,87.40,143.64,224.86,299.37,136.74,37.53,242.92,11.10,70.19,69.30,153.45,189.47,113.46,98.39,186.78,34.28,187.58, ,112.44,163.07,185.27,118.56,20.29,40.36, ,243.31,257.89,256.95,94.39,171.91
128.74,159.25,32.86,40.93,159.27,59.63,274.74,58.86,157.29,44.37,248.01,32.05,84.45, ,178.84,225.18,188.13,230.86,16.72,92.07, , ,272.92,156.28,136.11, ,104.45,177.22,192.35,258.36,198.26,155.63,236.81,145.80,158.11,237.40, ,150.68,170.56, , ,233.52,187.13,290.58,77.94,284.15,1.41,185.47,116.57, ,43.81,170.52,185.88, ,174.89,10.48,82.20,72.29,246.63,216.44,51.23,280.25,281.59,296.31,294.70,10.20,156.70,115.06,185.01,96.34, ,106.83,263.77,177.65,113.95,195.92,188.31, 
223.68,13.08,38.96,32.87,252.32,48.30, ,233.32,44.53,171.93,98.58,18.68,115.19,113.31,183.80,201.41,225.29, ,145.29,236.07,161.44,67.73,255.77,143.05,60.45,118.07,234.85,230.49,68.96,24.39,246.92,281.48,251.30,90.44,167.05,274.75,214.90, , ,58.40,116.81,217.55,30.65, ,261.14,257.61,87.87,271.19, , ,65.18, ,161.76,250.29,269.47,178.98,35.87,288.97,56.23,87.56,58.93,48.02,233.82,210.29,43.48, ,176.81,64.56,251.11,50.87,275.01,266.60,251.93, ,104.61,78.21, ,137.13
95.12,102.21,169.83,210.89,64.33,283.34,188.28,134.44,22.06,155.22,292.16,192.65,211.76,242.05,199.95,272.33,38.73,162.47,148.23,102.55,161.06,41.46,20.33,288.50,285.35, ,277.51,223.71,162.63,83.41,276.51,238.90,201.32,134.06,161.68, ,74.24,298.31,117.82,291.60,61.04,250.03,254.46,15.80,63.54,179.23,68.88,269.01,243.14,174.52,144.14,265.43, ,263.74, ,282.38,74.54, ,24.57,257.08,151.32,289.01,232.13,12.56, ,53.03,270.59,270.09,9.48,33.11,199.27,128.10,92.86,225.06,227.21,52.56,211.89,141.69
 ,160.81,11.53,221.16,119.53,198.71,158.18,267.37,33.50,146.16,127.42,140.21,276.01,275.46, ,80.92, ,118.50,136.38,280.13,58.65,206.24,33.93,91.60,82.48,35.85,40.24,277.45,86.16,81.24,82.15,142.54,162.16,183.73, ,163.86, ,263.53,107.09,26.73,298.75,23.79,37.86,197.87,244.49,268.77,45.66,219.63,103.46,149.24,80.33,151.05,90.05,98.71,112.03,95.84,234.66,145.38,183.66,287.82, ,256.59, ,7.51,261.13,155.30,98.15,50.69,72.02,63.77,37.90,296.18,286.57,253.36,203.36,175.19,265.17,147.77
275.40,192.55,266.24,46.90,283.47,13.60,238.34,226.22,253.17,109.98,153.23,71.69,200.37,247.77,149.35, ,124.75,177.13,217.06,108.19,208.45,295.05,144.13,190.15, ,112.55,265.33,293.68,22.37,283.90,59.59,65.68,258.00,221.30,233.55,127.47,54.73,210.05,177.38,208.81,8.07,228.09,287.14,10.42,115.82,279.65,127.56,219.57,61.82,104.84,287.16, ,41.89,120.42,142.93,269.36,110.96,68.77,277.86,94.78,106.35,267.02,216.66,201.33,74.17,107.06,29.36,279.89,4.92,131.81,203.21, ,14.17,57.30,69.75,193.31,154.19,24.14
199.06,37.27,110.66,8.34,108.83,160.09,52.63,11.89,163.61,189.03,204.95,276.30,294.17, ,148.35,55.96,51.07,21.56,203.11,260.69,209.86,243.39,61.03, ,261.52,214.91,245.16,96.88,94.55,91.08,239.40,182.32,294.16,245.26,177.88,207.21,256.15,204.57,276.64,147.95,175.75,88.71,182.71,42.38,276.64,103.63, ,285.95,70.70,84.99,138.60,224.42,87.43,4.36,116.67,281.48,288.46,143.54,227.04,151.76, ,285.21,221.81,293.88,132.46,146.53,93.20,74.10,65.24,197.34,30.80,180.25, ,224.58,107.89,258.31,55.93,244.86
185.89,57.74,139.08,93.97,105.53,62.85,137.01,195.85,7.78,216.03,204.42,22.58,292.24,271.95,244.96,112.03,223.43,78.28,182.10,51.25,244.02, ,81.03,181.99,98.86,32.84,292.31, , , ,195.73,213.86, ,25.89,116.81,49.82,77.75,230.56,166.09,51.51,135.75,63.94,21.39,126.88,270.24, , ,237.46,49.79, ,75.68,5.07,99.50,49.08,114.94,187.66,165.96,295.36,198.72,120.86, ,134.56,98.58,101.67,147.76, , ,227.14,41.08,263.36,247.54,40.40,172.59,227.96,195.36,206.10,148.29,182.19
167.35,135.73,16.81,120.48,19.50,294.85,246.09,286.04,243.14,255.62,226.45,123.10,211.01,247.15,230.81,42.15,110.10,67.18,161.36,257.90,235.28, ,181.37,227.49,154.09,30.62,180.38,92.92,125.22,249.34,52.92,226.67,188.78,218.25,265.91,273.59, ,226.33,222.56,15.72,291.37,28.17,150.04,54.10, ,176.22,252.11,180.24,80.22,283.33, ,249.24,58.30,145.58,184.24,121.90,65.70,169.61,74.45,36.25,171.88, ,273.45, , ,234.74,222.72,12.61,167.31,65.73,262.58,147.56,172.26,96.42,217.13,59.98, ,188.54
 ,193.32,86.34,235.82,141.37,239.16,165.98,270.98,69.79,282.06,264.28,264.87,139.85,250.99,118.79,88.37,207.92,9.58,108.92,15.35,103.95,104.27,60.97,201.64,8.80,48.12,38.03,33.78,195.00,77.71, ,166.08,70.22,250.83,256.69,79.83,0.19,11.24, , ,171.76,95.28,274.19,93.49,102.13,182.18,49.08,249.20,137.21,62.94,83.89,284.29,226.60,198.06,254.60,24.33,219.43,181.83,187.97, ,290.10,62.97,295.78,26.20,96.15,273.88,129.50, , ,220.10,191.28,107.56,182.28, ,1.89,297.70,91.06,179.95
241.47,33.53,283.15,296.57,218.35,158.26,49.25,131.96,42.78,9.77,172.19,31.50,59.43,63.93,207.70,188.26,200.83,49.59, ,46.16,84.62,71.00, ,222.49,178.39,118.35,192.69, ,224.19,191.29,228.54,161.10,230.04,73.25,59.87,18.09,169.97,32.95,99.19,163.47,187.52, ,75.68,36.50,245.62,98.82,129.65,60.12,70.64,75.31,130.27,240.56,202.51,269.25,142.46, ,70.08,135.69,241.58, ,149.11,53.66,1.76,88.53,185.37,132.28,81.64,293.23,198.84,65.47,39.22,146.46,278.01,181.86,253.94,246.60,141.71,50.99
183.57,205.34,298.69,29.63,0.16,102.53,218.61,67.09,75.94,4.01,225.91,148.00,224.84,282.91,94.86,210.01,173.42,47.38, ,77.02,153.14,54.98,18.49,119.22,298.92,280.33,258.69, , ,91.04,121.45,90.32,67.60,28.77,116.14,35.93,153.33, ,208.30,11.53,60.43,130.21,268.18,51.89,83.93,225.41,11.88,169.70,150.60,196.01, ,96.89,247.74,258.55,158.52,252.31,260.19,120.01,208.33,105.28,87.01,268.12,7.59,36.10,201.71,70.83,29.15,4.75,117.93,217.68,163.06,266.25,110.14,176.64,89.35,61.18,277.62,42.76
80.42,160.04,53.42,217.40,98.60,59.47,185.45,192.98,147.13,171.76,245.49,275.74,30.31, ,7.94,253.97,146.64,153.19,86.25, ,168.83,268.32,99.19, ,292.17,52.58,74.04,96.89,285.58,152.75,42.94,88.71,153.83,29.73,64.12,91.10,284.81,78.60,72.96,118.56,134.65, , ,180.98,31.12, ,183.86,188.08,277.77, , , ,205.41,30.70,87.52,270.27,228.63, ,47.19,233.14,24.87,99.31,172.94,183.43,154.93,101.35,256.48,45.81,205.14,201.89,110.57,171.90, ,215.13,193.22,8.32,48.35,210.86
23.08,270.06,31.65,181.24,298.05,210.16,86.10,71.14, , ,159.65,134.57, ,27.79,103.97,146.60,50.20,277.20,203.30,258.58,238.32, ,119.29,112.16,266.29,193.14,171.83,30.53,127.56, ,225.81, ,72.41,223.74,161.45, ,218.54,153.80,232.17, ,265.26,181.55,92.16,241.61,127.46,270.41,98.31,180.83, ,253.23,101.88,74.15,167.81,61.78,149.55,118.33,259.20,7.25,119.36,132.36,209.40,53.77,202.81,45.24,236.51,143.96,257.35,290.93,210.80,146.77,46.66,186.05,292.30,196.61,275.24,195.02,133.47, 
36.28,94.29,243.68,111.49,50.12,273.00,240.40,22.04,72.37,186.81,279.44,274.84,55.35,286.12,137.29,289.03,242.07,141.10,176.10,167.82,282.19,101.49,166.53,223.34,110.67,17.12,190.26,181.21,295.78, ,133.07,174.62,44.32,147.73, , ,97.89,82.51,161.74,105.24,228.45,95.95,61.25,228.86, ,174.47,234.61,182.06,234.68,81.17,36.42,26.67,109.12, ,47.83,224.37,233.95, ,29.90,258.45,120.28, ,294.75,217.85,242.71,289.49,35.87,167.82, ,4.57,295.73,204.06,148.19,178.36,254.32,192.43,124.23,224.43
7.47,25.32,227.79,51.77,15.88,227.02,142.68,219.21,155.41,82.81,180.39,4.62,169.43,47.48,209.77,101.13,256.99,279.51,106.47,243.98,265.17,185.33,102.58, ,258.00,29.07, ,290.24,242.91, ,290.39,73.04,254.47,219.30,269.79,187.38,48.07,266.23,195.06,21.65,20.34,227.42, ,35.62,207.48, ,70.75,52.66, ,7.13,150.53,103.86,275.43,2.68,71.15,180.22,243.40,165.57,107.25,164.30,254.63,121.40,142.53,206.61,21.57,120.40,1.78,126.71,29.17,262.37,51.15,245.55,22.43,217.60,26.10,272.54,153.67,134.67
184.27,282.53,255.02, ,256.80,204.65,56.35,196.39,85.20,102.22,61.41, ,191.08, ,163.62,232.92,54.84,141.83,211.65,51.14,125.61,41.75,241.96,64.31,254.76,177.33,229.25,270.33,129.82,5.84,129.95, ,184.79,92.84,79.53, ,94.11,40.00, ,281.96,60.69,188.72,297.64, ,236.38,66.04,125.81, ,255.76,10.65,178.53,121.47,244.01,52.17,193.53,206.51,121.98,295.80,177.38,256.40,229.82,82.87, ,154.76,254.00,66.32,43.93,216.02,113.82,54.16, ,242.19,138.57,197.65,74.86,127.81,91.87,203.69
53.66,29.49,155.94,175.65,238.82,166.51,159.29,294.98,199.14,113.70,1.33,172.07, ,299.88,178.26,11.15,111.17,82.49,69.02,96.14,216.21,186.02,0.89,152.00,21.22,297.83,90.50,230.99,95.58,274.15,288.39,26.84,198.37,20.05,86.71, ,2.91,172.92, ,295.01,142.82,101.10,75.15, ,6.15,245.42,32.44, ,17.74,24.97,55.42,183.50,161.21,145.04,43.33,77.69,16.91,54.57,61.17,9.62,135.87,156.43,100.36,298.31,21.78,34.21,68.29,219.32, ,64.36,131.45,126.19,86.25,224.35,107.87,213.88,189.95,175.31
82.15,261.15,272.77,234.46,52.72,269.28,240.29,30.71, ,156.90,189.21,165.87,11.48,7.35,109.89,205.67,71.29,33.89,129.43,205.99,71.04,148.66,298.45,83.97,285.26,11.69,144.49, ,155.96,275.30,207.40,91.99,35.73,14.03,78.08,213.27,103.40,106.12,269.88,240.63,273.68,51.75,25.99,116.10,26.82,68.28,55.84,214.36,108.92, ,187.00,12.11,64.14,250.58,253.42,161.42,212.68,45.22,68.91,176.95,1.35,19.15,24.19,149.92, ,78.31,175.33,226.73, ,210.27,24.00,209.37,157.16,228.34,182.89,176.91, ,178.26
267.27,52.38,263.75,135.02,82.76,81.12,30.14,219.76,208.32,209.87,240.61,22.09,214.81, , ,267.47,2.84,11.99,81.43,223.36, ,6.12,98.93,256.94,235.37,191.58,167.31,259.43,7.40,114.04,122.32,294.22,91.53, ,146.74,8.20,226.84, ,153.65,91.83,108.18,68.02, ,235.33,5.44,292.48,248.59,230.18,13.45,128.81,283.12,252.81,45.64,17.32,33.30,213.68,250.43,211.90,286.89,235.27,281.78,100.20,246.98, ,260.43,96.47,264.15,155.67,117.66,272.79,68.63,153.20,65.47, ,15.66,271.65,73.31,178.68
183.81,203.88,86.09,247.94,149.06,144.61,137.61,77.32,248.56,230.32,257.83,285.49,105.37,224.42, ,103.10, ,228.76,245.85,140.98,3.79,213.74,94.58,28.34,128.48, ,58.81,22.09,123.46,188.57, ,67.25,23.11,85.55,75.50,266.71,225.19,206.54,118.91,190.29,173.02,124.14,77.58, ,160.78,254.95,166.19,116.61,198.06,242.91,11.55,116.64,199.51,134.57,206.05,228.73,8.70,177.44,25.07,205.35,225.14,235.21,35.25,248.69,287.86,83.23,165.92,227.44,287.02,103.86,197.70,246.37,280.09,152.38,263.37,191.02,218.03,279.84
178.05,186.58,120.13,165.31,169.69,51.47,154.76,49.77, ,296.14,168.01, , ,83.33,64.20,87.01,251.68,68.47,226.87,0.34,99.69,66.37,37.85,47.21,272.85,81.11,58.54, ,169.79,172.28,186.50,125.78,95.80,145.41,92.93,276.35,179.48,55.99,0.59,119.13,251.92,274.89,277.34,9.86,46.31,185.90, ,11.68,122.06,155.15,270.68,74.42,114.41,16.27,37.75,5.46, ,224.25,168.17,130.42,48.72,60.17,109.54,246.31,208.50, ,6.57, ,80.99,23.79,71.30,155.89,215.57,13.89,293.82,41.42,60.09,0.97
24.77,206.70,229.80,95.14,121.76,113.62, ,137.40,16.20,176.79,263.09,96.72,258.02,144.33,38.87,83.23,259.25,65.82,123.55,25.47, ,215.35,205.53, , ,176.45,103.21,289.41,56.01,25.43,236.66,73.65,190.92,130.38,298.61,208.22,86.18,182.40,77.41,161.78, ,38.23,117.55,71.96,53.53,210.39,100.95,161.97,209.01,102.47,93.36, ,272.98,137.90,250.90,243.31,271.53,150.91,75.21,126.05, ,290.34,290.28,188.64,63.38,247.00,91.32,29.03,13.34, ,168.73,46.42,41.97,69.69, , ,41.32,105.06
188.41,233.55,164.25,43.08,32.80,53.22,237.97,86.51,177.53,145.66,67.27,241.90,80.53,281.85,212.01,65.12,62.52,80.12,84.47,188.67,32.14,190.44,288.31,186.48, ,32.15,299.44,31.69,0.31,118.24,257.63,187.28,267.67,138.17,270.42,83.12,293.52,278.13,13.32,150.12,187.24,268.95,102.05,23.07,46.26,224.52,46.45,61.93,297.75,208.57,161.49,55.87, ,34.00, ,289.07,209.16,151.04,62.99,178.76,55.46,227.37,228.90,91.78,287.95, ,196.51,52.43,113.57,204.88,26.09,136.64,144.05,145.90,75.95,200.91,154.45,89.39
54.84,226.21, ,15.74,247.67,289.05,187.01, ,34.58,275.63,217.45,184.18,141.83,162.34,122.14,168.68,151.22,274.74, ,25.89,205.81,166.60,109.42,91.36,88.18,125.80,231.39,143.58,87.30, ,130.05,173.87,137.38,222.24,102.52,138.00,97.24,62.27,220.98,83.46, ,97.41,163.47,142.42,23.54,110.76,59.78,54.50,173.98,280.75,182.11,124.10,269.43,140.06,156.64, ,227.79,142.40,23.47,267.16,194.74,141.28,256.66,129.88,51.87,295.92,91.58,162.06,137.53, ,99.06,265.37,182.15,286.46,148.84, ,179.35,170.94
127.78,198.51,142.76,167.13,288.34,6.78,128.08,248.12,243.38,102.88,84.62, ,91.51, , ,256.43,236.49,111.73,175.58,206.85,236.51,114.30,52.32,23.30,212.82,140.01,263.68, ,191.93,291.42, ,56.97,216.84,202.49,57.56,97.96,204.03,9.94,229.69,283.03,258.89,113.80,11.14,26.34, , ,202.47,260.56,163.84,252.91, ,10.46,3.94,48.44,284.81,268.10, ,221.09,245.66,104.86,112.37,167.85, ,70.32,119.43,184.04,282.67,202.81,94.78,268.00,245.15,209.99,299.88,134.35,205.44,110.71,281.61,30.09
