Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110
279.91,218.79,159.68, , ,121.82,183.39, ,231.02,32.69,44.35, ,248.96,270.51,192.69,46.70,51.36,84.06,134.89,189.74,237.02,212.80,109.74,222.03,27.20,25.80,230.63, , ,147.22,53.96,255.88,99.20,215.76,38.51,186.10, ,123.12,258.02,237.82,103.98, ,290.26, ,220.89,239.44,163.98, ,203.89,255.10,262.73,186.34, ,72.45, ,195.56,224.76,295.37,181.49,60.38,183.04,92.63,149.59,63.77,47.53,104.69,270.75,173.50,68.65,229.54,61.75,55.69,202.62,265.48,277.37,255.85, , ,60.20,241.58,234.80,91.62,291.75, ,165.25,175.56,149.00,22.01,229.38,176.72,274.01,257.82,216.68,235.88,178.42,206.74,256.28, , ,187.60, ,52.84,278.24,224.84, ,198.95,43.64,61.77, , 
17.53,137.81,218.33,274.89,18.62,20.91,226.94, ,29.62,44.82,274.45,159.80, ,241.12, ,2.89, ,22.47,233.94,41.80,176.52, ,195.14,298.24,174.80,276.74,168.10,212.29, ,72.09, ,13.21, ,16.10,84.88,64.58,198.86,171.08,123.06,270.52,146.64,245.72,255.02,221.48,62.44,267.81,216.15, ,121.48,163.85,16.63,162.25,101.28,206.53,91.69,147.17,201.58,108.33,80.46,176.45,20.93,24.85, ,152.49,278.11,167.06,100.88,238.03,170.76,42.87,298.34,194.58,299.39,269.28,100.48,130.81,248.69,182.37,227.93,107.37,119.12,281.82,43.91, ,214.66,99.20,124.84,156.66,196.39,255.06,277.17,281.56,131.51,17.07,280.78,43.03,171.06,168.64, ,88.49,276.03,246.59, ,143.59,25.61,271.45,190.73,163.49,83.32,225.14
230.67,152.33,92.73,291.16,114.44,49.87,28.55,208.41,4.68,61.42,91.98,10.97,281.49, ,64.81,80.13,100.14,17.52,78.78,65.00,155.34,90.02,146.08,25.58,59.56,174.16,169.57, ,152.28,275.28,253.33,87.41,244.89,136.04,152.24, ,192.39,201.25,149.45,37.29,160.07,252.62,186.71,241.26,274.47,262.82,83.10,69.15,52.45,37.66,294.85,154.90,246.89,169.66,103.49,271.38, ,223.99,190.53,239.04,20.65,140.88,151.92,71.54,0.91,91.21,209.00,226.99,252.71,265.90,86.63,20.42,176.67,47.98,290.60,245.26, ,86.14,207.76, , ,35.50,52.52,208.32,34.57,11.04,270.47,104.36,80.51,20.00,202.52,15.52,32.45,245.38, ,153.14,125.56,188.69,166.96,33.21,30.85,236.33,8.25,152.93, ,7.47,101.84,258.77,99.54,144.12
109.82, ,263.01,12.51,134.95,147.97,104.76,205.94,227.40,37.50,65.76, ,237.33,297.79,33.62,187.32,142.25,62.25,260.14,52.82,207.27,259.81,37.06,281.37,66.03,115.65,261.31,234.15,146.32,94.75,29.27,57.68,279.20,211.84,192.24,51.19,196.96,174.94,149.64,12.16,51.86,62.02,57.88,211.82,228.11,84.14,288.63,128.91,261.74,207.18,5.42,253.49,269.37,136.40,284.74,34.67,276.37,49.77, ,261.59, ,268.16,278.35, ,107.26,126.14,131.82,153.43,233.61,59.56,192.21,46.77,213.24,17.14,133.14, ,94.74, ,62.90,102.12,176.83,244.32,57.38,283.09,166.33,266.62,278.73,104.44,199.60,108.87,27.61,268.14,36.75,254.17,270.41,119.34,265.66,150.21, ,133.31,6.13,200.48,28.74,36.46,258.92, ,175.67,105.12,212.16,101.79
241.51,222.62,219.43,124.51,211.33,202.95,270.44, ,202.45,104.99,35.93,293.05,239.57,4.16,286.95, ,153.28,257.37,148.39,264.18,246.45,237.22,20.69,102.35,110.12,171.35,119.98,42.08, , ,23.18,103.83,143.39,256.75, ,105.15,297.19, ,172.70,73.41,222.93,259.76,259.80,82.08,66.36,98.80, ,121.98,44.86,42.79,247.95,34.98,121.11,131.14, ,146.41,98.27,294.28,102.40, ,184.48,255.51,132.67,249.66,96.10,245.85,296.49,282.44,246.89, ,78.03,268.53,267.19,293.79,124.84,215.55, ,249.42,289.30, ,238.96,262.29,282.58,229.97,83.62,123.26,25.10,35.83,125.74,60.43,264.49,215.72,199.25,129.45,185.69,34.92,248.27,58.13,98.39,107.22,249.54,69.18,131.78,268.27,108.03,77.05,213.97,252.56,189.17,281.95
293.54,199.51,14.07,172.65,245.74,294.47,210.35,169.92,168.65, ,276.68,76.70, ,69.48, ,258.65,176.02,77.31, , ,206.96,191.78,136.40,13.89,82.00,201.60,246.19,123.78,206.68,272.07,269.97,181.60,57.60,262.14,250.50,154.03,85.82,176.88,217.45,253.89,268.29,123.59,195.28,137.35, ,109.42,117.83,271.09,140.85,8.59,279.21,129.79,289.56,13.55,93.05,165.67,172.61,216.10,216.43,224.44,11.33,107.87,117.11,175.61,107.67,233.72,87.95,223.55,239.10,289.29,141.41,124.66,176.11,101.10,204.23,110.94,59.40,44.72,297.77,134.47,104.54, ,192.49,115.87,70.81,259.29,194.39, , ,290.36,9.51,172.61,193.84,94.45,132.89,110.43,105.43,157.76,108.19,5.34,20.24, ,279.53,171.43,106.74,84.12,89.34,247.72,60.87,218.83
168.78,283.95,295.23,79.75,8.02,174.19,150.24,209.13,129.45,223.53,160.38,11.30, , ,74.11,294.92,109.08,182.74, , ,292.86,46.82,295.44, ,145.68,142.09,0.81,198.97, ,206.62,32.75,207.33,16.85,99.80, ,282.53, ,160.50,17.07,212.69,128.34,158.18,287.75,0.50,32.59,293.43,185.80,20.51, , ,295.37,163.28,215.36,212.93,294.05,283.18,242.50,52.41,111.21, ,111.71,266.90,243.99,235.01,226.61,103.20,23.50,127.25,251.40,297.74,203.55,10.44,170.23,162.70,233.16,205.22,153.42,94.08,78.23,67.58,57.23,268.81, ,96.06,158.22,163.28,209.10,195.91,261.24,182.10,251.03,137.38,238.37,89.98,87.73, ,92.57,274.14,257.04,157.44,39.17,285.86,72.10,120.56,38.11,273.60,89.45,107.65,296.93, 
32.71,294.40,297.44,110.21,127.74,216.26,30.34,236.18,151.36,75.55,51.15, ,21.42,275.00,88.78,246.21,4.64, ,140.71,129.21,207.34,242.09,207.27,202.85,227.42,156.48, , ,216.95,229.05,188.52,9.15,4.33,165.09,231.77,3.94,256.71,17.92,34.88,171.23,68.63, , ,101.62, ,18.57,61.80,91.06,248.10,124.25,116.59,153.13,283.61,79.10,232.03,229.77,149.12,225.84,159.45,49.39,283.71,51.00,6.91,165.44,93.56,176.38,269.36,32.54,243.61,147.86,89.52,32.86,245.13,186.41,109.66,253.05,3.76, ,10.67,4.31,239.66,142.07,263.36,182.35, ,293.98,290.83,141.82,22.15,282.39,191.54,144.37,185.41,148.64, ,294.74,124.50,22.59,84.22,138.14,202.29,260.56,244.17,108.30,66.22,250.25,86.79,119.15,227.70,80.02
126.09, ,250.59,3.16,93.40,55.30,191.40,20.53,252.81,266.17,130.81,170.91,248.22,224.75,140.90,259.63,18.13,73.44,43.57,185.87,65.71,196.94, ,217.46,202.62,81.16,112.86,294.20,190.81,143.20, ,35.24,141.17,64.44,22.08, , ,244.98,149.13,14.03, ,129.01,41.43,124.85,152.76,72.75,26.44,113.99,251.19,215.91,208.48,26.64,121.73,261.46,83.72,192.68,162.75,184.22,231.87,58.47,128.11,128.21,47.17,229.30,86.23,2.92,275.73, ,97.46,272.67,47.87,168.80,238.79,114.76,122.36,201.43,251.94,35.21,79.83,35.80,63.64,81.11,156.73,69.55,74.82,230.31, ,99.10,57.05,167.99, ,291.82,18.96,134.11,50.27,31.57,292.12,267.07,153.56, ,223.11,258.72,8.30,83.60,134.64,97.00,40.67, , ,227.92
276.23,288.48,13.65, ,108.86,255.51,165.41,185.53,98.13, ,179.53,59.11,75.11,16.80,65.07,257.90,249.47,275.07,124.28,12.50,97.58, ,60.00,101.47,162.93,96.41,79.13,173.75,105.98,110.10,94.93,179.65,70.82,62.99, , ,21.26,149.29,206.68,294.90, ,157.84,251.24,286.88,146.23,88.09,190.29,271.02,189.50,82.46,121.93,241.33,112.49,22.93,92.61,182.77,87.06,8.51,13.08,20.40,75.58,35.40,118.33,277.51,65.36,11.11,151.19,60.92,138.37,151.55,16.08,31.75,74.92,141.42,35.65,247.32,270.31,77.10,289.13,96.47, ,107.58,265.77,2.69, ,86.54,129.38,115.31,205.75, ,47.17,237.04,225.56,179.31,125.38,197.41,64.42,294.57,193.67,232.02,189.79,282.90,259.79,86.10,291.27,22.30,254.57,247.44,7.61,88.41
94.69,12.99,237.72,31.12,267.90,27.75,93.55,128.47,96.17,174.24,190.90,125.88,155.88,25.61,200.06,296.49,99.84,153.86,17.03,168.96,148.12,142.61,207.37, ,3.54,169.24, ,65.78,222.01,290.17,85.16,61.64,184.97,91.11,199.06,223.81,93.06,264.73,13.60,206.75,175.64,177.84,168.93,183.47,165.29,38.57,63.87,32.08,261.71,287.68,231.34,228.78,283.42,260.07,65.60,5.61,259.22, ,128.15,91.33,292.36,257.67,28.85,274.88,19.60,265.38,29.42,109.14,160.29,13.90,68.25,162.93,139.94,217.35,173.45,187.19,273.65,108.61,202.75,280.19,181.57,102.71,122.44,264.81,214.50,140.05,159.43,292.24, ,209.59,222.80,154.64,191.91,197.21,202.25,174.60,162.28,227.31,242.61,38.08, ,16.79,36.41,68.37,175.58,238.25,40.52,297.67,48.42,26.35
199.41,117.44, ,237.62,242.59,90.49,105.58,297.47,180.56,239.35,49.26,147.46,97.59,189.96,52.40,253.07,86.54,112.68,129.45,61.88,230.52,52.72,296.51,207.08,223.87,86.29, ,233.76,1.09,55.39,290.13,180.88,29.06,98.04,270.46,201.49,78.86,95.22,50.36,22.04,69.28,13.73,71.95,207.84,185.22, ,175.35,181.74,234.81,258.76,293.20,275.92,185.95, ,0.91,276.33,7.56,191.41,88.02, ,295.86,154.00,37.26, ,219.00,99.66,148.82, , ,150.00,141.87,101.57,259.90,165.73,123.51,288.75,20.49,207.38,111.53,94.16,31.32,30.93,254.90,5.07,135.67,160.50,34.84,120.32,39.97,262.21,43.18,75.00,208.49,120.57,148.86,160.89,227.89,11.16,71.58,72.64,171.30, ,206.15,5.12,235.19,163.09,34.35,173.67,22.54,218.60
4.91,203.45, ,95.27,244.01,212.47,74.10,249.79,289.92,264.01, ,255.18,178.85,167.95,87.56,208.57,233.06,139.49,98.56,231.77,144.72,207.28,172.72,111.15,280.96,95.63,36.34,225.66, ,93.62,127.91,176.28,217.17,273.57,188.32,285.45,19.00,90.41,256.78,291.52,62.41,184.03,284.00, ,199.19,253.46,103.10,43.17,154.74, ,208.42,85.01,204.38, ,294.79,234.71,275.89,138.66,207.14,207.56,232.68,117.17, , ,123.72,157.43,149.75,186.88, ,80.75,257.18,70.18,293.39,217.44,285.08,223.64,48.55,290.60,182.79,128.93,0.46,260.49, ,28.65,166.50,246.56,139.01,12.06,298.62,298.00,143.56,238.77,187.53,192.07, , ,171.76,69.28,250.73, ,279.38,179.50,160.58,0.22,133.45,164.43,78.78,135.49,118.33,105.30
229.03,9.91, ,0.15, ,250.88, , ,29.33,91.47, ,91.68,184.73, ,176.66,99.71,169.00, ,274.30,278.13,50.67,142.30,43.08,1.69,230.08,187.73, ,77.64,115.10,95.98,53.51,238.80,284.79,71.26,82.09,12.03,162.69,46.81,31.08,215.20,156.57,77.21,170.57,227.79,288.21,273.23,296.42,194.93,19.83,15.11,78.21,6.43,15.13, ,46.20,69.60,136.29,12.89,87.31,80.62,155.94,46.22,100.82,92.59,278.07,97.13,136.99,86.42,139.39,232.28,119.38,121.28,218.62,108.51,1.90,78.92,293.53,55.49,83.38,176.37,206.85,141.44,97.77,121.72,67.52,122.76,55.88,142.57,78.20, ,80.10,59.35,133.74,293.42,267.87,104.46,48.35,170.77,175.73,213.91,166.15,235.65,23.79,195.63, ,146.71,37.99,38.08, ,222.57
48.75,110.84,219.76, , ,251.37,189.16,219.77,133.19,108.36,35.11,155.27,150.70,30.99,172.07,258.28,276.25,285.07,160.22,246.28,295.36,198.27,62.93,239.84,273.46,53.11,52.20,1.57,42.37,40.51,39.47,9.08,5.81, , ,198.98,257.42,246.74,78.87,273.72,205.80,66.92,255.76,167.29,22.01,289.90,124.11,61.31,45.10,127.34,233.15,197.00,220.67,46.25,153.41,18.26,267.16,18.12,204.29,180.26,95.07,288.82,199.53,52.36,117.24,92.53,206.02,240.96,133.27,126.23,7.19,45.89,229.67,197.28, ,77.54,44.48,49.09,147.23,16.02,216.46,184.39,101.73, ,228.42,195.03,293.87,199.14,176.58,103.76,262.78,151.40,97.65,72.13,246.33,77.32,87.80,222.58,74.76,262.47, ,157.50,97.57,256.98,236.31,241.08,48.57,161.57, ,260.67
153.20,15.09,245.19,203.55,157.54,264.27,281.50,277.51,165.54,296.32,273.54,243.95, ,238.20,202.30,105.95,183.30,61.13,258.14,17.36,21.55,90.19,277.17, , ,23.70,12.83,129.84,270.51,225.63,258.84,238.81,173.97,77.75,235.92,99.12,161.80,248.95,262.22,110.14,242.63,237.58,160.40, , ,180.98,39.63,103.96,204.61,100.55,213.03,18.24,289.75,132.82,132.03,164.83,176.33,76.01,62.92,181.34,67.32,89.35,202.13,85.39,171.23, ,84.27,107.33,212.17,229.25,119.40,15.71,200.62,137.57,186.09,195.88, ,258.19,248.25,282.07,267.06, ,56.15,142.00,33.99,150.86, ,270.26,220.76,188.16,169.39,230.02,98.57, ,56.76,32.93,0.27,184.14,286.17,91.15,103.78,182.35,88.38,224.90,8.15,264.07,126.11,282.11,265.33,154.16
229.75,239.17,253.67,83.60,63.62,68.01,299.89,122.04,37.75,164.18,3.66,97.99,295.02,199.25,291.64,282.44, ,221.62,194.17,235.01,108.55,202.02,109.65,97.99,190.13,62.10,148.59,34.02,185.37,177.61,105.76,128.16,171.54, ,65.71,113.58,203.26,101.74,32.98,277.21, ,122.15,80.29,183.35,249.10,228.43, ,34.19,42.60,229.28,239.90,187.09,194.71, ,296.45,9.79,246.79,94.83,233.69,39.67,289.44,185.76,115.48,252.06,142.80,102.50,253.30,122.28,292.20,283.60,182.21,239.23,234.08,197.93,209.18,284.81,226.36,116.49,270.77,215.07, ,17.57,35.25, ,42.03,83.67,95.91,19.02,94.87,69.20,120.88,230.39, ,156.75,293.49, ,62.03,60.59,131.22,179.22,280.38,53.53,246.89,29.91,184.58,219.02,117.57,232.15,145.58,204.70
102.63,68.85, ,129.44,48.17,187.87,219.16,47.99,56.01,13.12, ,137.90,35.78,280.83,3.42,77.07,248.24,11.42,44.37,146.52,276.54,240.88,4.46,18.98,106.01,0.78,298.41,68.85,94.14,2.11,176.09,5.69,258.89,141.41,245.48, ,222.03,297.15,77.70,212.00,153.16, , , ,204.81,161.01,99.61,96.52,242.32,100.02,119.32,204.47,229.36,286.83,257.90,80.29,91.85,158.20,211.78,47.09,189.21,115.55,71.23,264.52,14.27,214.76, ,119.23,235.32,185.24, ,65.09,42.93,163.84,77.21,40.41,192.21,32.40,218.44,219.82,117.17,247.49,67.69,151.16,188.77,151.34,269.02,144.87,73.36,213.07,84.32,274.86,183.11,284.29,110.88,284.50,138.20,259.99,185.45,171.99,42.29, ,11.30,45.77,13.12,236.32,138.79,138.55,72.91,99.61
256.70,158.96,141.93,144.74,276.40,219.82,298.18,251.52,182.90,32.72,51.75,59.71, ,198.26,231.76,105.49,0.77, ,185.52,56.13,298.96,286.15,83.16,161.93,293.81,31.96,240.85,295.57,274.26,198.82,86.18,85.62,243.66,157.56,145.97,159.44,246.22,63.71,129.92,64.05,270.47,150.25, ,145.82,153.98,110.69,86.42,219.74,297.24,136.37,260.54,285.85,296.28,169.18,261.36,89.70,65.29,235.33,65.43,188.47,81.40,53.53,52.74,146.63,87.84,176.40,33.06, ,29.33,23.04,255.05,144.69,183.15,275.46, ,56.61,15.25,47.39,5.83,42.06,150.12,135.46, ,168.52, ,197.85,55.19,137.51,97.53,56.21, ,215.96,209.70,239.03,11.58,53.54,49.87,261.83,41.46,58.06,177.10,107.82,145.40,197.07,158.19,74.66,227.79,209.90,254.81,185.19
156.74,78.10,144.73,86.38,28.27,96.15,234.64,264.94,264.64,98.49,236.70, ,164.49,18.85,118.59,187.17,24.50,163.08,270.63,17.49,231.29,252.97,96.57,101.60, ,263.60,244.40,148.26,64.79,72.20,130.63,253.93,264.47,78.70,50.46, ,207.27,75.00,49.66,17.18,48.19,114.86,83.16,171.56,79.95,208.71,14.24,100.63, ,180.46,8.73,290.26, ,203.26,298.42,168.39,104.18,154.35,239.88,234.19,74.02,295.04,160.84,131.40,239.14,141.94,253.28,237.95,211.04,171.90,94.13,225.06,256.86,117.34,16.92,8.17,65.68,73.67,12.50,188.00,149.62,199.33,102.80,277.99,278.50, ,72.63,148.36,147.02, ,43.76,139.82,35.64,55.14,132.02,14.39,19.28,49.96, ,152.76,244.91,34.38,89.90,284.97,77.95,166.04,175.75,6.06,146.38,282.82
43.58,270.08,69.73,113.56,101.01,44.22, ,78.59,222.82,125.68,263.55, ,129.78,137.87, ,284.26,43.91,90.98,210.03,164.09, ,152.43,234.44,191.04,275.24, ,160.84,151.26,115.11,254.17, ,90.01,0.52,53.52, ,147.89,82.96,194.62,164.41,285.53,230.79,36.29,43.07,119.98,21.51,72.72,183.61,65.70,89.51,246.75,131.50,180.49,106.62,265.55,114.86,32.08,3.97, ,47.03,128.18,287.01,14.09,246.88,28.39, ,231.50,222.57,181.49,277.45,178.17, ,293.03,291.23,198.04,46.89,25.10,186.43,238.33,274.80,3.59,25.31,234.68,118.75,293.65,275.12,99.98, ,93.02,232.13,10.23,178.59,16.83,141.73,291.99,3.73,45.85,202.50,241.60,60.78,8.31,214.39,82.58,230.97,244.70,7.29,154.83,210.23,239.54,200.59,94.21
