Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69
10,35,59,1,16,11,27,53,30,26,81,47, ,9,0,41, , ,74,71,35,12,4,69,44, ,98,27,40,2,84,80,95,38,94,78,8, ,51,93,60,3,36,4,52,18,63,12,68,58,27,53,40,20,98,12, , ,36, ,40, ,19,12,96,2,57,39,92
2,17,23,37,75,51,78,52, , , ,71,1, ,65,17, ,10,42, ,65,31,2,93,18,32,54,42,63,61,53,13,33,81,95,47,90,64,86,45, ,78,83,18,33,5,69, ,40,60,99,46,16,26,28,38,18,52,51,13,56,1,97,57,2,60,73,47,42
 , ,86,45,76,99,21,23,40,28,60,77,3,63,44,66,85,58,46,77,3,50,88,3, ,31,59,45,20,85,27,64,82,73,48,31,81,21,96,8,96,95,57,78,24,76,60,66,43,97,18,63,36,5,82, ,78,54,12,13,19,67,38,37,52,78,95, , 
43,0,75,35,68,88,85,71, ,38,17,12,0,77,85, ,80,47,3,95,77,28,45,68,17,55,65,5,3,41,81,1,52, ,55,38,49,21,47, ,64,31, ,96,51,27,1, ,26,91, , ,34,72,48,50,22,47,38,7,75,36,58,38,13,12,44,38,38
7,86,49,43,95,76,66,33,89,86,27,93,3,79, ,17,24,39,53,24,44, ,47,80,75,73,97,60,40,28,7,36,68,0,93,75,93,71,53,21,21,90,96, ,36,36,22,92,50,84,26, ,70,57,68,94,40,86,33,82,19,79,20,68,12,89,27,89,51
 , ,58,10,50,29,79,26,9, ,30, , ,80,23,70,82,98, ,17,44,85,25,78,26,3,12,65,19,60,24,34,36,69,13,52,16,52,52,47,36,13,29, ,48,89,4,46,79,45,63,97, ,34,91,5,65,89,91,58,67,10,43,25,34,64,39,76,46
34,98, ,63,64,74,1,50,6, ,61, , ,32,75,63,31,63,46,7,24,86,65,68,21,67,90,7,24,58,11,52,30,9, ,16,1,86,72,36,77,1,35,37,55, ,55,7,30,23,15,57,2,1,37, ,71,53,64, ,1,59,2,66,22,47,38,47,77
60,22,36,70,84, ,73,38,7, ,22,1,82,91,11,15,90,67,74,44,75,88,2,51, ,69,66,85,35,3, ,43,34,47,46,5,67,19,94,92,13, ,98,69, ,5,18,63,33,94,0,3,31,87,27,72,29,56,84,14,74,86,82,53,48, ,48,99,21
42,97,45,53, ,98,33,85,33,0,21,31,2,18,27,13, ,85,39,13, , ,92,21,64,39,30,57,87,87, ,79,17,40,78,71,50,72,57,59,15,3,20,8,46,92,80, , ,65,30,80,54,67, ,25,28,92,92,37,51,97,35,67,62,73,96,86,72
66,86,75,80,32,11,23,12,50,79,56, , ,48,47,78,52,18,35,53,62,88,55,38,33,16,7, ,91,2,49,50,90,88,31,83,44,35,24,57,80, ,93,81,46,50, ,88,3,64,8,74,43,61, ,86,95,8, ,1, , ,43,0,87,31,68,83,92
 ,36,30,13, ,9,50,84,48,1,7,53,91, ,59,69,73,6,2, ,16,67,50,77,70,88,17,74,91,55,26,47,10,70,77,45,62,20,31,46,23,74,30,11,15,99,3,4, ,74,99,79,44,13,24,3,34,0,68,85,64,90, ,38,69,85,60,83,13
67, ,78,27,11,87,77,71,25,47,1,51,44,21,39,25,42,17,69,33,73,61,94,91,95,1,97,58,9,54,55,65,76,18,28,26,72,52,20,86,82,12,41,22,49, , ,58,2,48,80,71,79,95,10, ,96,58,43,25,61,63,76,97,71,89,13,63,46
15,18,53,62,99,49,19,2,49,52,19, ,9,92, ,13,87,1,60,20,65,29,45,26,33, ,85,44,2,24,30,8,90,55,98,16, , ,51,82,16,34,55,15,28,54,12,56,39, ,94,56, , ,79, ,69,32,7,78,86,62,11, ,23,23,40,2,13
39,38, ,68,47,74,67,18,48,69,97,83,61,40,30,45,15,28,88,22,98,91,50,20,90,58,27,88,70,20,4,91,84,53,16, ,15,99,23,2,0,81,20,77, ,6,95,94,31,5,51,60,38,59,56,22,69,60,35,35,78,73,54,59,47,70,88,58,64
45,86,0, ,61,18,49, ,92,97,3,32, ,3,10,8,99,82,13,21,34,84,28,15,26,49,55, ,6,9,41,65,42,61,6,84, ,67,0,94,47,67,94,5,29,9,77,51,96,16,50,44,76,87,7,93, ,61, ,84,98,93,0,60, ,57,42,48,61
49,63,80,20, , ,87,66,45,39,81,14,36,31,88,51,55,22,27,64,37,29,60,71,76,60,20,93,47, ,35,87,60,7,16,43,47,93,17,44,66,84,75,18,7,68,49,28,44,89,45, ,93,18,6,10,75,14,41,19,82,41,12,53,42,12,35,27,33
95,55,70,71,31,59,86,13,67,25,49,9,70,6,73,44, ,99,49,46,61,94,45,25,4,99,2,34, ,79,35,10,20,80,40,41, ,0, ,46,10,10,19,64,69,23,99,0,39,99,17,31,14,60,87,91,26,60,37,31, ,55,52,56,54, ,75,1,55
9,1,21,94,94,94,79,39,81,85,51,51,9,26,33,28,97,39,22,67, ,61,68,89,69,87,36,17,45,93,78,85,72,60,38,59,83,5,9,54,79,44,78,82,7,81,51,6,83,16,61,76,97, ,6,52,56,29,72,54,99,78,81,91,29,21,19,27,95
62,86,86,9,14,8, ,8,57,80,85,33,7,63,11,0,91,7,88,16,64,14, ,23,34,11,2,70,4,9,66,10,30,94,1,53,9,20,28,72,61,0,81,9,25,95,58,79,18,24,18,26,29,69,91,20,26,16,91,93,46,9,95,92,62,34,94,9,9
81,22,54,22,56,97,31,39,47,30,48, ,83,51, ,75,65,55,58,36,80,94,43,21,68,16,8,93,48,16,54,46,48,7,11,88,36,69, ,90,78,78,67,72,92,48,96,31,88,23,44,83,3,4,76,44,54,33,66,53,47,43,41, ,30,83,52,9,52
92,53,79,42,42,69,18,95,71,62,99,54,18,32,94,5,20,74,66,2,81,58,99,19,93,17,74,76,78,21,94,59,84, ,51,18,31,19,90,50, ,31,60, ,36,29,20,39,61,31,71,45,44,80,7,37,32,89,64, ,1,92,14,86,55,92,13,96,20
83,81,20,87,28,89,61,18,38,48,94, ,86,80,52,82,66,7,86,8,74,1, ,92,23,50,56,76, , ,3,84,75,53,17,28,82, ,89,37, ,54,66,54,49,45, ,49,48,50,89, ,63,38,60,36,14,37,76,74,26,62,5,21,74,29,47,7,41
