Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80
273.72,71.69,209.74,63.57,10.87,17.13,78.87,198.13,274.62,282.98,39.10,183.31,90.20,265.02, ,231.84, ,261.91,41.99,164.26,256.12,157.93,281.71,13.82,205.62,15.97,223.22,27.12,22.84,198.21, ,40.20,170.38,181.61,197.89,248.91, ,124.05,282.63,98.18,285.59, , ,192.40,56.63,14.63, ,212.84,64.64,287.05,108.94,19.67,221.93,10.29,92.63,213.95,269.85,183.97,195.29,166.06,242.17,118.04,122.42,88.99,283.92,122.08,244.70,99.69,110.33,97.95,281.66,101.34,222.29,225.17,170.85,220.99,176.81,134.66,69.90,186.29
299.68, ,244.38,246.37,260.46,208.96,38.01,264.76,143.15, ,260.73, ,181.72,182.73,68.59,290.64,68.25,291.92,191.14,226.75,47.32,193.86,50.63,177.13,221.38,265.45,281.01, ,162.73,24.71,88.88,74.11,274.93,73.03,9.71, ,147.21,165.52,12.94,272.94,231.53,210.35, ,191.37,172.38,3.63,137.57,103.76,173.62,30.25,130.24,255.99,187.17,274.06, , ,201.18,121.73,126.01,125.90,2.04,71.48,195.36,98.17, ,271.79,150.97,208.05,174.44,78.10,290.66,212.67,207.52,2.59,254.35,128.92,23.34,43.20,22.55,127.19
72.96,99.48,17.42,114.86, ,192.96,14.77,291.61, ,119.94,109.85,219.52,46.02,65.96, ,88.51, , ,114.43,209.66,215.47,153.22,241.30,186.27,245.48,151.71,297.83,162.15,269.46,118.13,166.87, ,255.38,283.26, ,181.30,101.59,192.40,204.09,0.99,89.77,268.24,298.78,291.41,38.18,261.85,173.20,63.66,84.10,40.66,75.70,124.88,18.73,132.11,150.97,13.19,79.58,182.22,247.50,239.29,134.51,142.00,29.86,65.10,218.12, ,293.82,88.50,46.45,3.22,256.75,282.45,215.90,79.72,211.38,233.55,87.87,39.06,164.56,160.67
162.84, ,156.66, ,27.78,136.43,9.86,167.32,290.69, ,70.41,167.58,11.04,111.64,103.71,10.30,67.89,211.27,230.97,28.47, ,69.06,126.72,191.25,71.23, ,27.43,154.75,276.12,259.66,11.53,294.98,111.81,10.65,97.19,91.02,203.25,194.71,13.45,192.55,44.86, ,72.28, ,267.29,105.29,90.71,290.33,138.64,148.55,125.22,90.91, ,294.16,266.10,116.41, ,123.90,262.51,56.87,148.15, ,253.44,83.00,241.45,208.90,17.24,168.80,149.11,34.37,188.00,138.74,240.21,128.31,289.27,281.66,185.11,270.91,256.94, 
198.39,117.72,239.85,110.77,25.02,237.20,83.81,7.03,177.89,216.53,23.05,84.33, ,90.15,277.16,26.49,245.47,3.68,188.94,298.22,204.62,28.97,277.83,79.93,144.54,282.59,136.77,31.54,74.69,111.01,168.78,237.81,86.59,1.70,121.09,67.30,193.94,98.62,62.92,237.83,292.27,154.67, , ,267.48,7.91,283.03,215.99,290.95,162.34,278.12,292.57,9.14,141.69,58.29,286.32,112.07,216.54,107.63,152.96,4.23,153.60,37.57,208.10,72.18,21.18,53.88,95.72,200.27,170.78,142.01,254.69,135.69,220.82,244.27,18.43,234.65, ,272.22, 
 ,13.82,21.92,268.19,159.84,235.94,202.00, ,59.10,193.33,20.43,138.10,187.94,213.20,28.56,94.81,292.84,284.00,117.47,175.34,207.96,89.09,108.55,244.45,132.79,62.43,251.94,117.92,57.05,262.47,180.09,55.80,152.83, ,270.30,255.42,295.88,212.54,270.51,245.53,28.93,200.59,35.26,0.07,158.16,137.62,211.28, ,84.21,39.37, , ,119.70,123.17,54.03,252.18,69.79,279.10,290.93,188.37,161.33,250.20, , ,103.81,193.53,143.76,52.31,60.19,3.28,153.68,7.62,7.47,196.20,230.52,147.83,279.17,182.42,201.68,123.34
179.59,193.50,249.77,185.14,117.82,193.34,245.73,77.36,278.38,239.77,160.69,27.79,96.76, ,298.44,192.57,173.35,197.43,159.22,81.84,261.06,62.52,215.98,9.91,241.86,108.96,144.16,178.55,293.32,53.25,82.52,295.69,155.26,152.56,36.36,183.66,204.66,229.96,209.67,289.83,223.34,2.29, ,180.84,288.67,104.77,52.12,276.12,205.86, ,220.34,94.95,203.01,50.19,120.26,72.85,111.40,208.88,63.69,294.54, ,264.14,173.33,270.58,24.26,18.70,96.78,279.77,127.31,250.98,99.64,33.14, ,29.33,135.94, ,130.48, ,94.63,89.06
98.79,135.15,257.21,72.01,299.73,8.82,223.77,78.75,2.24,156.87,107.09, ,129.92,32.81,217.92, ,28.82,73.21,235.03,183.93, ,183.66, ,162.77,189.84,38.22,230.01,223.66,187.90,167.01,81.05,229.12,47.35, ,120.56, ,150.98, ,62.90,123.78,52.28,173.48,65.61,223.81,289.22,148.60,127.92,118.52,88.92,87.93,262.46,168.77,59.47,243.32,64.11,106.00,94.49,110.20,45.04,120.80,294.92,71.73,129.21, ,218.12,251.34, ,159.83, ,219.30,255.98,72.47,147.67,117.57,299.06,172.19,98.48,28.00,278.18,197.09
14.25,119.26,80.19,125.43,45.22,222.29,86.40,24.29,183.62,61.21,119.53,215.77,139.85,285.90,94.60,286.45,298.20, ,78.39,199.87,183.48,214.62,31.00,208.97,93.01,26.27,170.37,191.46,99.51,74.27,229.82,203.99,255.46,113.11,147.96,26.18,257.59,216.12,150.19,253.65,175.92,218.89, , ,134.66,245.58,256.64,166.20,214.07,170.33,155.51,40.17,49.72,122.50,286.34,90.92,215.88,219.91,13.12,245.12,198.60, ,155.24,222.90,280.16,186.19,200.07,47.51,254.19,204.26,31.61, ,271.60,277.77,227.59,51.02,138.66,63.42,104.86,118.27
 ,162.83,117.02, ,164.53,165.59,48.92,241.41,96.55,18.68,104.53,65.21,118.98,105.17,99.25,11.91,30.75,80.35, ,143.26,103.15,114.66,36.84,254.35,296.82,281.38,271.90,136.35,46.63,232.61,139.47,240.94, ,62.53,211.07,280.60,104.30,274.80,5.36,71.60,171.89, ,243.03, ,79.38,223.71,270.91,259.08, , ,286.93,153.42,157.36,58.14,102.55,78.90,208.01,75.97,89.46,22.93,202.49, ,126.20,9.53,181.00,72.61,110.01,50.50,86.19,66.14,287.07,126.75,7.09,170.96,66.71,109.91,98.86, , ,134.14
203.99,238.25,212.21,205.43,56.26,147.23,39.46,221.48,229.29, ,100.25,210.16,125.46,95.48,82.83,171.82,224.52,136.24,99.17,106.55,240.75,209.12, , ,284.63,272.71,147.27,228.75,69.58, , ,91.90,185.59,15.44,150.67,11.23,36.17,11.73,215.94,40.08,264.27,57.38,237.91,9.95,262.09,220.88,244.59,114.14,276.50,240.29,281.26,77.02,69.30, ,285.24,34.44,273.86, ,210.84,0.85,163.73,0.31,259.64,97.40,75.07,203.36, ,184.61,278.08,36.18,196.40,76.42, ,50.28, ,261.11,157.26,150.78,182.21,79.84
32.80,202.19,56.97,7.76,184.43,143.63,52.67,242.03,270.87,179.36,158.67,247.91,22.38,136.13,34.09,31.70,69.58,173.57,151.44,68.15,167.17,256.48,251.82,48.92,200.77,183.55,68.76,75.37,230.15,295.72,127.47,31.12,261.32,23.62,86.03,148.62,3.55,173.04,3.61,178.06,150.25,263.81,193.08,10.14,250.69,87.47,33.29,275.22,23.29,107.36,90.60,62.51, ,235.55,64.69,227.57,7.77,232.87, ,272.06,5.50,242.78,0.91,211.56, ,234.84,78.04,65.56,106.67,95.10,209.21,199.74, ,207.51,61.72,8.24,71.19,256.52,106.70,290.04
233.56,253.10,38.75,274.07,103.93,167.86,42.99,45.90,156.49,5.75,87.68,251.99,27.72,172.84, ,162.88,99.50,105.79,162.34,282.09,206.99,102.97,158.84,99.04,287.11,44.36,140.12,157.31,86.07,171.83,231.75,73.19,158.30,39.26,282.04, ,189.03,58.71,296.05,41.21,176.44,79.02,233.76,239.06,223.44,104.58,236.63,217.13,297.58,7.14,78.16,273.96,165.69,209.36,222.00,196.41,44.22,180.19,112.80,210.73,124.12,180.19,154.60,28.62,193.44,170.41,64.25,238.80,177.04,91.68,98.73,197.47,263.52, , ,196.91,112.58,46.97, ,201.58
 ,53.76,146.17,255.14,68.55,140.36,42.09, ,140.82, ,283.76,19.77,259.99,136.34,237.71,65.33,84.89,129.89,138.95,62.83,186.47,288.03,76.97,258.87,170.94,63.70,62.66,259.39,0.15,95.21,279.05,257.34,15.96,202.60,63.28,249.00,96.81,276.58,267.15,295.37,114.45,292.79,142.55,199.76,47.90,80.55,155.51, ,171.47,293.48,188.40,275.38,55.72,114.74,179.55,224.86,164.64,10.42,126.49,241.51,10.50, ,37.44,87.62,263.46,121.80, ,80.71,239.29,177.62,65.92,104.21,74.82, ,85.24,101.21,252.10,58.33,120.12,280.57
224.09,120.47,233.86,126.61,160.89,76.70,28.95,19.12,208.70, ,293.94,95.65,250.65,100.10, ,195.87,193.89,63.82, ,297.68,292.47,96.84,273.47,284.45,30.87, ,18.83,9.98,94.28,268.03,151.85,246.48,227.05,167.69,154.73,288.55,26.02,187.53,158.78,265.97,230.16, ,248.99,292.14,63.05,234.40,195.74, ,243.47,110.21,259.58,144.71,55.62,133.43,152.26, ,118.23,72.59,240.50,57.16,287.95,276.53,143.58, ,113.42,232.72,226.89,188.58,140.42,242.34,187.34,266.06,212.83,102.36,164.90,58.38,111.88,74.07,22.16,298.24
62.07, ,288.97,247.80,263.67,2.91,79.34,203.58,10.35,211.48,292.88,69.94,147.29,164.48,270.69,179.76,172.89,165.50,233.97,222.43,5.30, ,84.64,38.73,33.20,105.24,159.59, ,250.00,63.24,169.47,225.29, ,98.18,5.71,93.91, ,291.55,107.80,208.96,165.43,163.85,207.96,191.72,23.33,36.55, ,206.01,181.48,260.71,115.19,239.69,85.44, , ,229.95,118.71,192.78,224.45,129.39,116.64,156.41,214.54,214.55,63.48,75.80, ,190.99,15.39,76.05,0.74,67.48,104.51,220.86,52.53,155.33,262.41,42.02,247.87,135.32
48.48,144.23,7.06,63.29,135.30,159.99,125.13,164.13,55.56,255.59,230.77,293.70,144.25,113.96,20.72, ,69.20,4.77,187.70,205.17,175.29,70.14,169.64,175.47,53.17,54.88,191.23,154.96,10.06,198.37,211.40,262.73,28.29,122.48,7.49,126.15,72.15,194.11,193.91,41.08,30.04,108.35, ,263.31, , ,204.05,65.38,36.71,80.00,168.47,11.70,122.14,268.27,88.59,212.35,251.14,188.21,267.78,8.85,115.15,85.08,54.65,70.91, ,150.90,64.92, ,261.03,1.75,287.48,139.37,248.51,59.26,137.60,246.19,258.14,127.10,80.55, 
151.46, ,2.36,155.04,175.96,118.30,45.38,268.05, ,216.56,64.87,112.85,299.47, ,60.81,93.26,268.14,292.81,77.06,9.94,144.43,48.17,63.62,68.50,278.30,248.24,138.97,66.40, , ,280.93,112.09,203.15,61.13, ,138.19,31.43,35.55,118.45,280.95,66.77, ,140.88,143.85,262.37,210.73,235.95,25.14, , ,128.27,124.24,165.18,181.19,50.92, ,49.20,265.93,92.10,256.85,0.08,15.33,147.43,146.28, ,194.31,232.11,31.95,172.34,71.73, ,122.65, ,171.84,152.45,23.63,244.66,8.76,91.91,28.78
65.36,74.42, ,6.53,104.79,154.59, ,208.12,257.26,21.04,291.71,116.92,182.17,91.92,242.94,110.01,254.43,39.60,135.05,35.38,217.23,271.90,232.89,53.68, ,74.72,231.91,136.18,130.38,39.17,140.70,131.32,177.43,152.02,141.74,241.67,181.69,230.95,272.82,154.52,51.18,182.23,177.46,230.33,216.16,29.14, ,160.46,69.94,21.30, ,285.76, ,167.46,198.89,230.65, ,93.62,52.07,44.12,294.25, ,210.41,266.51,136.47,136.54,294.12, ,3.01,100.53,11.06,169.84,289.01,102.19,240.73,58.48, ,52.73,21.15,203.28
 ,39.75,66.96,108.75,128.79,68.40, ,79.46,252.54,276.70,161.02,72.97,117.81,99.07,17.14,133.69,107.88,260.17,131.06,31.26,35.12, ,264.44,203.72,178.26,228.83,123.57,83.46,105.97,237.91,158.43,110.21,166.01, ,88.52, ,119.78,280.46,185.49,188.51,197.03,51.76,77.27,114.02,14.17,2.02,196.52,10.21,239.31,181.05,264.74,223.67,247.65,47.32,149.04,222.36,2.60,171.93, ,285.95,163.63,242.62,102.47, ,109.20,2.14,20.71,176.67,51.40,148.52,257.47,34.55,43.63,153.95,117.02,201.51,167.03,0.23,209.93,108.65
145.69,9.37,77.68,110.79,10.36,227.80, ,262.35,0.49,1.60,116.52,117.56,172.03, , ,134.94,263.42,123.36,163.44,151.89,100.55,59.84, ,27.67,171.13,17.21,176.93,287.15,50.82,53.96,35.65,110.78,172.14,136.69,128.29,98.24,227.01,237.62,287.99,3.59,140.61,29.75,254.07,199.46,178.18,280.73,162.14,227.16,56.36,280.62,190.30,62.43,158.08,104.18, ,107.77,105.94,34.94,82.65,22.93,230.01,68.27,138.49,71.00,216.15,153.38,25.15,163.24,90.32,246.64,128.62,241.57,183.00,58.03,28.34,53.19,57.31,102.19,281.25,68.56
8.04,298.20,154.18,175.65,24.73,180.88,176.70,87.90,98.96, ,127.30,78.54,284.20,187.85,181.25, ,78.65,170.49, ,24.67,277.91,263.02,150.05,276.90,204.26,71.47, ,198.77,140.48,261.27,172.27,221.74,89.83,2.39,77.24, ,15.53,254.16,182.76,94.92,76.71,196.26,49.36,46.95, ,31.38,139.17,128.98,136.96,61.29,179.12,244.01,154.07,118.27,209.34,227.54,299.19,265.26,276.08,194.32,22.14,290.23,129.35,222.22,38.01,105.67,122.05,81.25,76.26,108.73,122.00,54.60,262.99,268.57,243.32,241.59,88.58,126.77,51.02,184.24
32.51,6.17,39.58,130.66,286.95,101.43,275.66,230.15,175.88, ,119.20,119.30,150.18,211.43,102.14,252.34,292.93,197.35,281.82,278.14,271.72,199.08,193.20,10.82,230.99,9.57,271.13,134.84,179.99,189.42,6.69,173.30,84.01,147.10,55.41,163.49,42.78, , , ,118.62,48.67,77.41,299.28,233.70,86.26,10.01,286.66,241.68, ,12.32,1.61,258.62, , ,227.66,237.39,21.29,94.01,82.63,48.72,126.58,75.17,179.32,93.21,85.23, ,97.56,268.48,171.50,260.16,61.24, ,106.58,115.52,233.57, ,282.29,220.04,262.23
30.92,119.80,191.02,28.88,112.17,153.87,130.93,156.57,276.87, ,160.99,199.34, ,292.81,167.60,228.44,239.44,235.62,21.37,258.55,115.21, ,269.07,178.54,210.96,59.98,69.45,260.21,15.53, ,92.37,174.44,238.19,280.17,173.13,0.44,51.78,202.39,84.72,277.92,167.74,227.80,118.07,5.78,164.30,48.45,54.89,277.49, ,257.66,209.90, ,41.58,282.98,110.36,200.75,235.53,136.91, ,254.98,119.83, ,66.36,133.08,13.17,114.32,68.23,259.85,148.54,38.41,245.39, ,146.13,134.74,73.96,28.67,10.17,70.77,214.85,19.65
174.23, ,224.17,131.63,225.88,185.44,111.69,113.06,276.96, ,191.58,143.71,153.00,68.74,40.46,84.82, ,259.05,170.10,88.80,67.23,281.89, , ,83.50,104.48,142.13,252.04,93.84,119.20,241.03,288.19,127.79,244.30,238.64,270.05,116.12, , ,289.96,191.59,113.11,133.91,246.20,221.44,258.24,287.77,83.61,123.88,24.25,298.24,182.58, ,298.70,32.44,295.53,288.31,166.64,202.90,230.59,43.33,247.10,258.40, ,234.36,78.98,38.42,221.51,45.51,219.70,244.28,46.62,4.72,164.45,18.51,219.70,29.66,254.47, ,100.83
83.09,60.19, ,137.42,30.49,175.06,234.02,266.60,117.15,96.25,260.43,267.93,122.14,70.45,111.22,177.43,2.28,152.62,57.99, , ,172.97,38.68,1.61,87.62,276.60,100.36,298.64,117.14,65.88,197.37,106.78,269.52,23.31,153.04,112.18,169.79, , ,92.13, ,179.75,190.34,263.24,62.26,244.50,97.41,80.41,238.87,244.04,178.52,200.98,178.36,129.61,103.74, ,147.86,135.39,142.16,273.98,261.28,214.03,102.92,224.73,285.00,21.46,258.47,233.91, ,295.13,129.51,85.99,246.73,220.53,179.97, ,149.49,236.96, ,39.87
149.87,94.64, ,127.58,226.41,106.59,56.61,21.93, ,107.07,278.30,59.69,147.15,7.76,228.10,153.12,180.92,85.27,232.82,103.14,150.45,227.69,221.24,64.80,22.68,178.94,199.47,159.24,229.78,274.60,238.27,125.85, ,211.12,63.54,197.90,285.62, ,28.49,194.53,60.48,265.15,218.18,178.06, ,107.83,185.83,182.68,91.55,144.28, ,207.81,294.53, ,57.05,151.94,99.33,101.29,210.38, ,74.99,12.13,26.60,172.06, ,185.62,141.09, ,237.72,224.38,30.16,289.31,199.78,34.28,131.41,55.39,285.53,90.88,116.61,254.19
109.79,174.29,234.51,280.20,141.88,104.49,252.41,107.00, ,141.29,255.32,52.59,177.63,218.31,299.57,129.48,145.59,162.53,157.40,19.44,208.59, ,80.63,227.91,28.63,28.92,7.13,78.41,98.66,52.88,260.96,103.43,234.26,111.73,183.72,292.95,87.03,47.47,93.41,55.30,27.20,147.86,5.25,168.89,187.66,77.85,10.44,97.81,207.61,218.22,87.97,4.68,128.15,42.66,27.53, ,54.72,191.45,187.42,257.95,5.38,69.18, ,250.46,134.87,161.34, ,249.32,254.08,92.40,166.97,33.76,57.55,147.10,177.54,66.72, ,72.10, , 
 ,45.47,40.23,39.24,152.93, ,107.01,149.97,279.84,146.99,221.47,91.87,113.01, ,248.49,9.29,247.24,169.05,113.28,196.25,2.59,141.07, ,253.95,269.42,74.05,178.56, ,270.43,164.91,103.17,249.05,77.09,47.83, , ,155.42,13.63,134.43,218.16,108.65, ,42.44,76.46,197.84,191.43,293.26,166.98,237.30, , ,27.27,22.59,285.32,202.01,242.27,61.47,165.36,192.93,92.07,128.80,97.74,53.72,8.48,197.66,200.14,79.37,211.31,115.78,209.79,39.95,74.50,84.94,291.17,147.65,247.25, ,44.99,126.87, 
47.58,250.95,115.07,175.12,132.27,223.01,8.69,194.12,64.38,23.04,256.93,138.79,147.15,249.17,38.81,149.00,118.81,34.10,130.27,260.26,200.12,4.61,146.23,292.01,177.79,266.15, ,104.94, ,16.87,176.73,73.23,142.06,125.68,125.92,85.38,218.49,269.46,194.32,121.83,26.29,201.38,134.34,97.38,120.02,161.30,169.93,22.49, ,148.17, ,104.12,38.69,259.05,245.72,123.84,39.70,67.17,142.57,28.20,74.74,54.20,144.98,170.58,236.13, ,124.29, , ,288.34,56.88,88.08,120.32,249.94,222.80,113.01,219.21,199.05,107.16,212.41
5.67,267.43,95.51,252.47,189.55,57.63,237.29,156.68,1.34,28.06,297.65,48.44,194.03,284.30,82.58,32.47,276.58,91.08,91.62,287.35,284.36,227.61,190.69,279.27,190.92,116.16,148.39,105.43,112.09,43.60,286.43,282.92,75.98,35.10,117.55,148.77,67.44,23.57,160.67,150.15,10.17,240.16,130.91,200.99,135.30,137.66,20.66,84.75,194.58,264.24,142.31,114.05,189.39,167.87,140.47,101.65, ,41.81,115.24,210.19,222.69, ,44.43,16.47,272.09,249.02,223.19,49.34,1.08, ,168.94,15.34,90.43,171.29,175.19,219.63, ,142.32, ,186.75
257.13,87.70,264.94, ,56.28,128.62,12.09,226.29, ,113.26, ,284.55,60.02,143.17,15.84,85.57,172.24,213.62,288.88,153.10,173.19,86.26,266.73,5.31,99.22,6.28,208.97,114.06,261.90,114.40, ,199.97,114.96, ,3.11,229.66,102.93,65.59,104.66, ,109.96,86.76,231.62,43.08,91.34,184.35,126.47, ,26.44,106.25,244.19,217.62,265.58,276.70,209.75,63.49,191.32,284.06,220.45,68.51,52.69,27.26,207.05,92.55,285.69,61.07,8.17,103.73,299.24, ,208.99,68.41, ,57.24,78.53,51.69,120.59,227.62,205.64,37.21
68.15,197.00,252.77,107.91,178.91,136.92,16.13, ,122.41,9.47,130.32,264.44,107.75,204.98,274.45,292.81,107.79,169.64,268.48,44.91,253.71,161.89,168.19,89.77,212.38,203.36,86.39,20.07,236.62,149.74,264.68,183.72,158.26,9.48,128.17,151.71,206.45, ,74.64,9.19, ,108.42, ,194.81, , ,73.02,238.69,39.07,167.82,239.51,121.01,49.35,217.96,81.86,50.65,105.75,221.74,168.25,21.60,26.74,152.00,245.33,83.86,171.94,95.94,172.85,177.69, ,95.65,174.21,104.08,132.95,252.44,32.17,46.87,169.53,247.24,163.15,53.16
209.87,243.49,177.69,199.00,252.79,153.32,21.85,157.71,121.32,180.08,252.94,248.72,144.77,91.76,233.89,155.48, , ,165.07,259.41,127.33,58.71,39.20,238.05, ,59.37,115.45,260.00, ,82.47,57.55,195.10,19.15,135.19,149.55,196.35,64.32,21.16,4.33,203.60,257.28,1.75,254.42,224.34,76.20,183.99,181.04,125.18,129.67,69.11,260.63,88.17,289.14,147.99,169.69,235.85,190.57,91.31,152.22, ,228.42,25.81,203.50,187.36,234.57,172.80,108.36,1.95,127.39,281.31,280.98,56.71,223.49,199.26,146.54,210.30,237.36,137.13,41.01,244.56
