Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44
211.77,5.44,236.48,95.60,157.89,67.81,36.92,65.83,35.14,52.70,92.08,203.33, ,158.35,79.59,177.09,101.24,203.22,2.18,83.12,35.25,124.93,280.88,219.85,55.88,228.68,210.14,209.69,184.30,111.16,257.50,161.67,53.95,46.25,242.24,113.25,73.33,131.51,258.91,230.18, ,158.86, ,232.02
296.06,298.88,80.20,95.46, , ,6.76,205.53,190.74,226.49,256.96,18.28, ,248.46, ,107.32, ,39.34,54.40,181.53,235.85,257.08,153.02,184.47,12.02,105.12,59.96,287.76,87.47,227.32,134.29,143.24,264.46,268.76,38.23,180.48,288.21, ,141.23,36.27, ,169.74,286.85,229.93
47.66,178.24,53.32,181.09,98.64,79.14,164.41,217.70,91.45,182.44,47.14,279.51,82.52,263.49,78.96,43.99,210.81,101.61,234.76,160.69,128.25,100.81,57.19,37.54,224.43,91.88,46.45,74.32,220.65,198.35,231.23, ,142.04, ,106.17,210.53,132.73,206.69,31.43,252.07,112.52,288.95,148.07,275.80
 , ,260.20,196.05,5.06,33.47, , ,268.95,106.51,199.42,35.23,277.07,299.83,163.80,293.99,24.18,234.25,166.24,251.28,85.89,84.57,125.97,259.01, ,65.52,94.74,231.84,55.78,25.42,82.94, ,94.80,109.16,226.94,223.51,37.68,134.56,128.77,156.94,55.45,153.30,147.00,183.90
 ,103.04,133.17,212.23,280.78,81.69,177.54,233.35,94.77,190.32,71.52,73.96,206.30,12.60,273.22, ,145.81,145.29,65.58,256.06,12.05,119.80,84.21,255.24,271.65,30.30,269.52,262.63,87.45,141.43,62.06,288.06,18.45, ,84.02,207.77,176.67,241.94,198.66,153.79,90.48,68.93,21.31, 
150.13,30.62,283.34, ,271.40,96.04,252.26,269.38,2.20,274.47,44.60,62.97,211.76,250.17, , ,230.78,121.61,105.02,251.66, ,223.06,286.80,150.51,297.19,169.07,285.02,187.83,176.19,69.91,36.39, ,7.87,236.65, ,41.67,201.36,133.40,137.63,152.23,287.06,298.69,292.66,269.35
 ,145.54,211.76,3.10, , ,243.75,140.45, ,83.09,255.14,219.22,36.68,80.90, ,79.59,213.54, ,94.03,294.75,116.90,63.83,207.38,23.02,215.24,197.23, ,152.37,230.50,251.49,26.03,222.83, ,136.37, ,230.40, , ,190.95,54.96,76.39,293.24,45.00, 
43.33,7.45,151.50,209.63,278.60,76.29,39.96,253.12,143.06,43.35,218.11,189.15,288.75,181.57,63.90, ,107.23,109.14,163.79,274.99,40.33,93.54,199.80, ,244.08, ,287.43,22.93,172.59,188.54,92.83,255.39, ,62.62, ,127.98,107.71,77.43,262.82,272.57,177.17,106.69,155.05,9.87
293.92,89.24,73.96,17.61,66.19,91.96,0.44,22.78,22.92,256.18, ,228.76,148.36,255.04,134.05,184.66, ,67.12,225.55,283.34,170.43,197.61,12.12,182.34,6.21, ,262.39,106.31,39.33,170.14,129.45,43.54, ,86.62,117.48,222.31,255.33,150.36,55.13,50.99,197.39,142.71,19.59,138.83
73.02,80.87,222.95,110.93,101.26,18.30,209.72,19.57,33.35,17.98,32.41,25.94,126.17, ,145.76,101.15,275.37,137.36,117.61,153.70, ,51.24,242.42,13.59,126.00,131.92,135.42,212.96,94.14,30.01,184.89,157.61,207.74,78.75,169.88,104.20,24.84,297.52,116.41,229.25,58.05,86.39,225.50,54.82
38.48,76.10, ,233.72,224.94,243.51,155.86,279.65,269.52,77.93,251.51, ,193.92,227.20,40.55,279.66,172.35, ,248.45, ,182.16,122.34,49.78,24.01,277.44,263.98,182.35,64.05,66.80,118.49,238.28,146.71,254.41,236.07,267.50,32.02,283.85,17.81,152.15,28.10,146.23,242.14,192.85,299.98
264.16,253.65,277.51,120.37,119.41,66.53,234.03,236.57,252.91,251.52,296.20,234.66,271.69,171.01,182.99,124.19,289.46,49.58,178.20,198.88,226.40,84.53,63.97,78.31,275.49,121.95,9.44,114.11,233.41,145.68,156.11, ,145.56, ,112.53,183.06,223.53,276.82,269.90,29.16,57.67,78.04,276.33,236.22
68.62,75.55,286.02,184.17,77.22,262.66,157.79,201.16,255.19, ,225.08,118.53,276.43,51.33,99.49,92.26,207.44,265.48,247.90,5.91,274.37,160.12,95.58,65.27, ,243.25, ,162.01,159.41,207.96,294.47,49.56,197.38,48.62,78.75, ,84.66,34.37, ,198.49,59.94,294.93,207.00,207.08
45.99,207.44, ,201.92,26.79,158.79,37.27,62.54,81.66,227.76, ,281.86, ,41.79, ,62.76,243.83,254.29, ,161.74,13.55,205.18,52.30,24.13,85.62,123.35,233.88,283.31,32.98,91.25,276.11,137.53,17.71,115.68,143.70,251.31,41.08,197.59,220.45,182.94,8.40,173.34,57.41,45.82
154.48,165.16,210.95,291.98,110.06,236.19,85.08,111.01,43.98,219.54, ,102.48,238.71,143.84,166.19,226.81,154.97, ,285.56,124.43,203.49,85.20,188.25,27.18,296.44,7.85,35.59,18.46,176.88,149.93,293.43,284.68,5.39,71.75,23.39,268.49,130.67,66.55,223.97,18.17,164.89,136.39,264.19,206.58
282.08,198.93,206.93, ,212.32,297.26,255.56,171.76,24.10,248.99,149.41,61.19,207.61,206.21,51.39,14.68,43.14,91.39,278.12,244.16,207.18,93.71,134.85,45.18,190.90, ,40.31, ,110.13,50.36,52.59,77.39,294.21,138.45,139.18,60.61,7.01, , ,130.54,66.18,18.56,169.89,297.39
183.67,151.26,123.86,35.78,271.12, ,109.58,160.96,176.20,233.16,269.05,274.53,100.05,147.21, ,67.73,226.92,162.06,185.44,282.03,187.17,251.21,62.73,69.92,243.00,222.04,283.26,61.52,55.96,259.13, ,26.86,158.83,29.69,163.70,219.05, ,172.20,111.74,102.94,223.81,195.87,132.93,101.76
291.05,106.23,270.82,277.04,196.98,168.14,119.00,53.05,86.52,240.07,160.19,79.91,88.95,229.85,154.92,116.34,189.33,96.14,260.72,298.60,28.48,291.70, ,44.74, ,270.00,35.27, ,115.18,123.45,144.03,245.88,161.68,64.97,187.99,44.97, ,202.67,90.48,137.14,239.11,277.98, ,13.24
214.54,253.47,219.39,83.34,273.15,257.12,29.27,263.25,106.28,276.91,277.46,233.07,110.38,96.40, ,109.64,216.21,12.25,157.46,37.55,82.91, ,121.03,124.95,86.08,271.26,27.15,234.26,67.14,81.84, ,83.51,122.92,211.25,253.93,244.92,91.43,274.04,148.86,196.22,71.96,204.40,154.60,69.21
 ,113.85,83.80,280.18, ,279.90,136.07,36.94,225.30,108.82,199.64, ,95.86,257.17,95.21,77.90,161.33,168.59,89.39,153.17,9.37,49.46,290.15, ,71.15,142.90,107.91,137.65,138.40,250.31,123.68,139.60,203.75, ,178.93,192.98,191.27,186.18, ,176.33,194.47,132.59,127.45,79.91
 ,218.31,183.94,117.24,119.61, ,151.94,9.05,22.82,164.92,227.34,105.11,29.67,51.15,36.96,102.76,143.69,35.18,220.34,254.49,134.80,276.82,273.58,260.38,27.03,221.58,230.96,58.05,26.28,122.88,287.80,180.10,262.04,268.75,230.46,29.09,66.98,51.99,291.79, ,18.82,258.55,68.62,31.24
11.51,152.13,128.24,254.85, ,170.13,222.19,151.71,165.85,257.19,259.25,230.21,267.80,254.76,136.50,272.23,251.51,17.88,240.91, , ,135.45,129.11,251.85,8.92,199.51,35.54, ,265.75,182.87,109.75,170.14,96.09,1.26,53.77,149.68,8.65,284.87,179.43,111.74,51.42,59.77,264.99,232.60
73.52, ,183.26,134.52,35.42,234.28, ,261.81,73.59,144.18,130.35,100.96,183.86,171.53,169.91,162.16,67.26,217.97, ,157.29,51.95, ,286.23,260.73, , , ,74.93,48.84, ,290.93,46.12,226.02,298.98,18.52,23.85,97.88,93.78,194.74,0.59,123.37,129.01,295.64,129.05
96.33,282.15,209.98,249.72,244.29,224.19,14.95,199.31, ,293.09,285.58,77.45,102.95,295.56, ,43.05,122.84,213.71,226.65,133.27,259.70,125.08,40.38, ,239.69,222.76, ,208.34,107.17, ,145.95,172.36,113.50,3.22,72.19,179.53,241.48, ,19.04,39.46,21.00,299.11, ,231.88
2.49, ,77.38,256.71,31.88,261.32,140.30,262.55,93.74,189.99,14.01,30.62,268.44,224.87,25.49,199.43,21.51,139.82,203.17,246.71,233.62,125.41,122.25, ,215.99,212.42, , ,96.26,89.89,238.74,173.37,256.87,279.27, ,78.16,138.80,138.76,232.91,146.34,52.13, ,298.52,36.77
202.64,272.80,280.92,49.98,169.31,56.73,7.38,226.73,237.80,49.84,184.51,156.56, ,25.33,64.66,247.58,9.16,296.39,61.52,51.68,77.24,272.55,65.91,152.55,9.34,26.83,288.66,176.12,106.97,139.12,7.97,195.22,167.30,18.83,99.53,144.64,129.03,102.58,188.73,171.93,59.28,217.64,239.60,276.26
295.21,218.20,202.08,20.31,5.02, , ,109.64,281.32,260.05, ,148.78,5.55,98.30,264.49,143.92,122.50,53.45,108.69,139.97, ,209.36,116.07,31.68,50.43,164.39,96.89,159.25,3.56,234.22,170.60,51.79,202.97,282.30,50.97,280.83, ,190.18,231.93,231.89,148.18,22.03,41.78,17.91
23.59,111.92,94.62,283.25,95.36,5.76,276.50,217.04,160.55,149.78,204.97,250.12,26.56,211.82,292.18,246.04,153.75,247.24, ,230.49,45.71,277.60,132.52,198.96,182.84, ,275.32,13.55,264.31,197.60,108.46,105.86, ,259.61,152.80,62.82, ,108.53,157.42,71.83,289.41,62.56,85.80,206.74
263.33, ,160.93,247.93,153.04,256.26, ,109.06,177.72,200.45,131.66, ,203.49, ,57.42,61.71,38.04,242.58,139.51,162.29,29.98,39.72,169.26,147.30,173.00,170.67,11.26,131.32,205.82,154.07,69.06,106.46,184.23,108.47,131.08,210.43,183.76,193.46,102.51,31.34,65.77,48.96, ,180.28
110.15,19.06, ,234.84,125.35,228.87,142.81,204.58,221.01,3.39,141.36, ,172.70,220.99,130.37,279.04,163.00,259.84,162.57,116.90,103.44, ,37.26, ,241.84,252.24,135.41,171.55,221.94,22.72,118.96,140.95,163.74,187.19,186.01,101.66,92.17,238.87,242.37,94.68,149.68,214.40,113.64,226.40
130.20, ,249.16,19.46, , , ,89.52,284.11,212.32,96.29,139.72,168.86,222.87,281.32,3.63,223.22,130.53, ,9.04,281.35,49.75,51.91,36.82,268.22,173.65,24.31,184.21,193.70, ,212.24,123.10,194.89,145.89,99.74,34.46, , ,152.07,114.88,290.52,104.38,249.87,242.84
33.09,168.42,291.64,251.64,296.53, , ,171.94,167.46,63.12,269.37,127.54,51.35,160.47,36.59,4.61,85.06,285.23,189.41,34.14,91.61,287.56,173.09,213.47, ,276.59,35.28,41.95,243.12,280.01,196.60, , ,175.41,161.26,30.57,163.03,229.74,159.18,66.79,95.89,84.59,21.75,264.24
239.42,223.71,6.21,9.79,296.35,250.85,14.09, ,177.11,225.49,12.21,137.59,203.79, ,276.26,235.37,30.37,147.85,94.22,74.40,263.75,289.21,228.36,196.01,180.41,149.58,61.26,88.80,161.27, ,137.53,143.02,30.78,225.88,112.04, ,216.05, ,205.26,58.36,154.29,88.96,132.04, 
 ,128.98,250.80,264.42,163.12,166.34, ,92.22,237.29,238.02, ,68.03,174.13,267.16,108.86,231.77,96.30,30.43, ,281.22,217.56,251.10,235.89,150.26,23.76,200.27,240.89,29.82,290.25,266.66,265.07,250.45,119.08,236.40,99.97,132.34,287.16,42.54,228.45,251.16,280.35,213.99,267.54,220.74
100.03,276.48,210.17, ,29.25,207.47, ,125.09,191.26,289.40,35.30,126.60,170.05,137.88,28.19,27.86,63.23,136.32,192.98,266.63,75.74,71.51,214.12,55.31,8.85, ,44.15,165.78,132.61,168.49,0.92,244.51,37.14,86.16,265.38,43.48,208.39,200.94,297.98,113.05,106.39,142.55,120.31,181.15
 ,49.64,281.98,114.08,60.70, ,137.54,150.62,281.29,264.89,116.75,279.78,66.24,87.55,236.71,217.11,160.78, ,30.35,191.06, ,251.76,129.94,182.78,270.32,39.57, ,156.32,26.09,264.32,173.67,48.97,90.21,242.32,34.34,168.52,117.11,177.15,110.42,30.81,236.77,130.56, ,286.88
267.29,34.37,246.67,128.53,297.69,270.53,29.70,154.59, ,135.07,208.34,98.70,36.48,134.04,207.44,153.92,42.54,11.88, ,219.35,201.80,245.98,203.10,115.52,230.78,192.76,84.17,161.72,174.73,157.36,104.63, , ,275.15, ,97.24,13.37,197.99,293.83,133.51, ,191.19,61.66,263.31
222.21,169.14,22.22,138.71,259.11,208.99,157.00,31.50,16.37,51.18, ,121.49,42.70,271.47,68.97,206.30, ,31.33,74.58,110.44,180.41,247.69, ,104.69,35.31,108.78,9.07,187.86,135.83,137.87,173.54,162.73,121.64, ,205.58, ,16.02,45.15,75.92,89.39,226.96,138.49,239.37,91.29
278.12,57.78,34.43,22.83,11.17,37.53,50.05, ,66.07,32.23,156.62,241.03,93.74,175.72,5.10,220.77,1.40,190.11,182.32,140.22,132.61,117.01,34.75,242.04,150.17, , ,141.04,44.02,259.23,64.26,243.02,96.67,132.91, ,15.23, ,94.71,186.72,195.78,281.20,22.30,112.08,138.16
168.26,187.91,101.92,91.83,237.19,289.36,175.28,85.33, ,180.04,139.91,120.10,72.96,83.68, ,58.45,23.12,224.68,54.20,163.19,71.54,34.54,170.47,112.06,193.31,135.85,205.16,237.72,0.58,50.23,265.63,247.41,35.39,199.77,198.68, ,270.22,270.16,33.81,143.18,73.28,125.47,113.60,128.63
 ,24.26,258.57,239.06,278.63,78.07,64.03,241.36,246.98,269.82,138.51,121.28,223.07,253.60,143.32,242.60,60.34,53.85,256.74, ,235.37,2.98,31.39,55.14,226.71,0.86,298.36,26.09,73.73, ,187.70,86.77,122.59,97.17,166.04,169.35,289.28,93.91,168.09,158.20,0.36,199.99,16.40,231.26
124.38,222.97,186.19,142.39,156.86,185.23, ,54.58, , ,207.75,59.37,244.01,281.76,158.50,278.44,118.18,33.52,44.30,291.44,187.99,210.91,185.46,121.01,47.65,131.32,189.57,236.80,149.20,95.62,105.48,216.84, ,250.36,239.69,20.35,183.95,204.65, ,138.45,146.07,236.27,141.50,168.08
259.42, ,55.04,102.34,241.81,24.50,54.90,188.13,257.92,95.82, ,1.85,216.08,187.13,125.31,278.19,106.93, ,103.78, ,206.12,277.44, ,169.61,110.43,62.26,129.83,230.93,159.92,129.49,119.08,133.15,260.03,254.63,137.21,190.29, ,12.04,196.65,19.90, ,77.64, , 
 , ,120.87,199.96,271.76,232.21, ,192.24,121.37,68.66,280.18, ,292.22, ,150.51,224.63,189.32,156.31,274.54,217.66,24.28,210.21,100.24,210.06,246.58,82.36,211.21,256.73,54.76,96.50,160.19,24.50,191.67, , ,5.13,104.66,231.99,72.74,30.00,24.70, ,107.06,225.44
248.54,224.36,77.47,157.24,154.12,290.26,53.05,40.07,261.13,49.00,142.22,5.99,105.92,139.24,274.37,82.59,45.65,219.95,136.58, ,290.70,211.97,36.99,65.70,29.56,203.00,277.41,11.55,90.14,241.66,268.48,85.71,51.99,111.34,229.24,96.81,172.47,245.57,77.22, ,106.78, ,112.34,250.68
 ,40.81,167.96,86.49,129.64,226.29,89.22,151.54,198.20,150.22,17.05,284.20,123.15,174.78,203.33,40.28,224.94,145.24,125.03,267.20,209.61,176.98, ,28.52,193.09,126.80,117.04,84.27,9.62,20.14,78.59,139.52,243.74, ,36.64,182.79,0.31,197.33,91.23,205.81,85.30,194.60,122.84,269.65
90.71,288.35,223.49,29.45,250.88,280.36,295.71,291.36,255.55,173.31,80.91,114.59,84.92, ,207.76,21.23,180.98,164.31,89.63, ,118.93,50.44,109.84,262.44,42.17,289.88,264.77,294.60,237.00, ,288.58,178.83,163.25,175.95,130.74,199.01,84.51,281.55,131.17,146.25, ,64.24,285.35,293.04
108.38,59.48,218.63,75.77, ,135.58,237.57,69.96,197.43,157.92, , , ,184.52,276.55,143.71,277.78, ,86.16,1.33,285.42,58.86, ,194.45,195.68,88.20,58.20,190.19,280.95, , ,100.73,114.24,82.31,81.19,178.18,25.50,133.40,220.14,31.70,65.51,275.36,259.65,96.39
270.74,29.12,242.81,235.01, ,17.33,155.49,27.25,67.00, ,140.59,184.14,223.25,99.68,103.36,232.16,209.18,277.08,17.50,68.15,276.94,269.84,297.93,153.25,78.34,138.28,150.44,91.23,272.06,272.29,250.25,275.16,107.35,97.73,172.13,77.37,8.32,275.08,58.55,7.64, ,145.92,20.54,147.05
140.40,66.51,288.22,190.99,78.31, ,203.17,111.26,164.44,27.74,125.82,267.85,223.18, ,279.00,147.72,252.72,164.02, ,152.24,94.94, ,238.17,271.68,56.52,117.98,279.96, ,66.25,135.37,63.29,268.44,262.47,174.50,258.52,154.55,183.94,110.64,187.66,224.13,112.42,259.17, , 
290.43,142.00,212.00,240.55,127.07,274.93,153.62,195.31,44.20,257.65,31.70,210.74,286.51,132.18,11.68,162.35,211.05,127.92,209.63,3.48,271.50,38.27, ,233.58,256.06,90.94,44.53,21.64,222.76,132.54,56.48,30.79,32.07,186.52,244.77,158.59,226.48,19.74, ,253.32,4.92,275.83,10.67,137.45
134.84,143.56,238.73,34.08,296.67,183.85,13.99,10.37,65.32,15.20,196.24,1.81,234.66,16.97,189.72,256.35,36.67,27.85, ,61.93, ,131.15,212.95,295.43,140.61,70.69, ,266.93,179.50,58.98,185.05,46.86,260.64,76.15,99.26,125.05,24.30,292.34,99.17,176.32, ,237.08,133.89,60.11
294.26,17.19,113.24,198.25,282.13,228.87,68.92,167.74,4.73,222.45,153.13,61.94,38.01, , ,113.78,130.12,257.08,259.43,168.80,223.05,127.34,193.61,132.34,126.37,115.31,22.69,108.74,144.04,83.64,18.66,141.73,5.46,296.09,169.14,122.56, ,249.89,209.44,76.45,272.52,86.09,236.20,130.06
198.56,104.47,295.47,153.13,7.35,140.35, ,5.24,213.28,44.69,230.50, ,201.29,147.36,184.68,41.90,104.39,291.56, ,287.03,104.99,218.11,271.64,178.03,285.13,297.94,248.70,220.65,129.73,29.90,268.69,159.00,217.84,274.99,51.33,37.45,93.32,213.26,145.90,41.83,182.60,160.85,268.22,13.84
165.51, ,134.20,74.07,75.03, ,201.73,54.65,81.18,194.74,212.92,85.72,171.67,294.53, ,262.75,113.47,279.53,275.77,14.40,231.36,223.37,291.16, ,230.34, ,125.09,139.52,9.56,37.40, ,69.91,51.55,190.97,163.46,88.02,62.57,208.55,61.22,143.16,11.16,138.85,198.59,77.28
72.25,101.72,260.34,127.62,55.57,124.14,66.77,196.22,50.01,281.34,37.30,20.69, ,159.54,96.60,63.50,294.47,262.64,195.39,172.22,189.83,31.42,257.57,5.08,293.59,68.25,147.15,125.52,90.75,181.82,207.28,48.27,180.36,246.35,145.17,283.03,9.38,143.87,258.03,53.87,258.80,56.46,14.87,1.55
167.03,292.97,128.69, , ,52.14, ,197.31,67.84,50.38,76.18,40.32,71.20,183.93,48.41,208.19,291.42,97.41,6.78,3.48,147.79,100.15,97.34,111.21,229.77, ,5.95, ,231.09,279.75,143.45, ,51.63,96.31,55.95,72.22, ,120.23,287.12,145.68,217.84,249.65,118.48,153.57
184.92,247.52,199.67, ,4.56,151.36,208.05,71.97, ,46.56,210.46,20.88,118.15,13.03,86.34,264.91,128.90, , ,14.49,167.40, ,10.00,29.67,266.00,198.31,148.19,11.44,19.69,0.02,80.61,44.75, ,284.67,182.55, , ,233.48,104.36,294.85, , , ,293.58
230.03,110.02,23.65,9.06,88.12,91.47,1.78,117.54, ,126.78,203.80,145.10,222.53,171.21,52.85,108.06,230.28,274.08,273.49,180.81,191.91,88.62,272.26,142.32,219.58,175.31,29.35,131.54,160.36,66.36,3.01,77.26,124.27,105.04,155.13, ,47.04,183.53,228.57,214.14,15.93,118.95,212.59, 
164.48,273.61,212.93,105.27,209.90,41.54,27.29,0.78,243.70,5.73,185.66,229.66,118.01,248.24,25.50,228.16,87.33,120.82,178.38, ,88.28,31.98,182.92,104.00,172.35,10.85,246.75,117.54,230.94,24.29,255.94,116.42,199.22,266.73,196.57,189.93,48.45,88.07,150.56,236.50,253.16,210.78,60.27, 
291.21,0.25,214.70,295.88,11.38,27.34,210.63, , , ,22.69,199.99,175.63,196.17,83.83,28.69,135.27,135.31,4.91, ,117.06,69.34,24.71,39.29,16.85,130.83,162.76,185.45,290.02, ,118.80,39.14,249.87,152.15,268.44, , ,274.11,46.51,135.32,141.83, ,281.90,145.51
15.89, ,5.91,112.86,158.66,272.21,26.40, ,294.84,293.65,255.52,18.53,239.58,199.90,21.77, ,167.27,227.64, ,233.56,20.00,109.78,30.49,198.40,112.01,136.26,165.26,209.92,149.84,45.51,159.75, ,71.50, ,299.14,165.13, ,185.13,193.69,21.46,255.54,224.01,12.56,14.04
239.59,254.18, ,3.92,10.62,20.33,193.45,77.96,252.17,243.72,55.56,264.59,256.39,91.56,153.45,119.21,60.82, ,149.91,215.87,271.01,119.08,44.78,294.14,90.71,47.08,211.56,298.44,4.32,170.67,292.77,228.70,52.71,162.51,206.13,1.37,229.71,93.33,258.99,77.85,243.48,83.56,172.85,234.15
221.32,286.65,96.72,164.65, ,27.16,67.23,53.42,35.25,37.71,132.86,87.58,68.66,266.13,85.36,157.85,269.45,249.18,59.40,48.19,25.63,260.89,180.88, ,216.13,74.95,21.05,13.44,268.78,169.75,11.30,50.32,187.32,223.01,72.39,119.05,113.18,242.12, , , ,291.40,18.22,165.67
230.70,187.13,239.04,167.94,129.93,44.24,64.79,215.32, ,196.55,128.54,171.55,95.10,195.21,133.06,105.40,43.16,238.53,113.73, ,270.64,209.52,291.00,129.98,126.64,102.87,192.67,263.71,36.64,291.68,211.60, ,263.00,256.44,47.11,219.68,40.81,24.39,58.75,185.68,125.34,67.94,142.48,181.21
46.11,230.64,171.35,104.24,182.09,35.90,130.85,44.07, ,68.46,82.08,113.04,192.49,115.10,205.33,291.20,170.69,74.92,122.31,297.40,291.80,292.57,188.93,265.08,271.47,287.96,100.69,100.71,163.85,103.18,40.37,213.46,45.33,104.23,98.09,124.31,159.71,10.90,65.02,109.24,9.52,90.04,198.20,103.40
106.54,131.23, ,44.69, ,33.08,213.93,263.83,221.06,155.11,172.18,207.94,256.62,78.61,27.68,237.40,38.86,37.66,190.86,214.78,84.91,111.04,79.03,37.07,198.41,232.05,112.31,52.00,57.46,115.58,107.42,216.23,96.91, ,287.77, ,236.61,179.01,76.25,122.53,258.13,5.50,91.53,30.17
186.74,274.13,172.78,55.29,227.83,42.90,139.98,175.35,112.83,124.24,12.40,2.40,267.71,160.71, ,190.89,12.45,176.89,151.30,70.06,186.26,283.21,62.24,5.80,131.45,263.07,72.56,22.93,177.54,203.81, ,94.70,168.99,16.42,224.52,253.81, ,176.07,291.58,166.66,77.13,57.54,18.63,250.04
173.21,72.38,64.36,171.72,97.91, ,281.67,195.18,34.30,111.55,47.88,48.99,126.99, ,167.19,232.91, ,106.11,179.67,9.17, ,213.06,299.80,188.17,28.55,203.57,235.19,132.73,134.91,112.03,280.78,247.73,96.45,19.80,234.68,50.42,257.79,249.78,96.85,126.86,261.59, ,196.78, 
181.83,220.96,133.26,273.09,115.43, ,135.23,70.69,161.21,295.95,63.74,221.54,80.40,163.28,257.19,227.19,241.90,221.11,11.71,208.85, ,278.39,73.51,299.40,250.39,107.62,177.12, ,78.81,43.56,252.40,2.16,0.91,58.04,179.81,44.88,162.45,67.05,56.67,90.56,106.62,275.95,81.05, 
159.86,221.89,131.06,104.11,223.55,68.68,227.98,190.46,0.87,83.69,230.29,182.60,46.54,74.58,167.59,106.56,290.34,129.40,251.09,132.04,281.67,20.22,39.14,226.29,84.30,132.05,249.90,113.21,101.18,224.67,299.46,296.22,59.68, ,10.77,243.25,40.80,205.63,183.11,176.74,200.60,55.17,136.62, 
133.05,216.17,139.75,88.96,205.45,261.59, ,20.72, ,61.52,250.45,286.97, ,210.10,75.43,182.54,35.08,45.10,127.10,45.83,191.79,248.19,143.39,199.85,224.74,225.62,195.12,15.58,126.31,229.23,190.95,113.79,22.70, ,149.81,177.93, ,59.73, ,203.12,93.80,30.32,292.85,233.60
