Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16
 ,27.68, ,74.51,77.21,7.07,31.06,98.18,9.14, ,15.21,0.95,75.36, ,1.58,98.62
 ,9.47,47.67,1.47,11.66,38.76,59.61,94.54, ,46.47,58.11,10.83,28.58,59.92,16.07,51.67
41.06,24.16,45.05,96.72,72.97,45.36,8.86,30.98,25.77,90.97, ,1.80,33.65,28.35,49.26,17.12
30.91,88.11, ,49.42,66.14,72.14,58.83,97.98,76.35,67.25,7.64,69.12,5.97, ,71.42, 
88.55,25.18,3.64,62.59,74.22,75.44,40.24,27.37,24.07,61.98,71.04,63.64,45.69,42.47,41.04,44.39
9.57,32.64,20.91, ,95.14,41.70,64.21,68.87,0.04,64.41,43.64,55.01,79.71,26.27,65.67,74.21
29.88,27.89,64.69,9.34,47.09,1.33,27.01,13.73,42.80,18.41,12.17,70.24,98.05,21.70,16.82,58.97
39.69,89.78,9.98,64.21,50.17,68.37,35.73,4.23,60.25,64.97,96.07,64.29,31.72,57.82, ,16.79
21.60,85.02,13.63,90.19,34.31, ,11.48,21.17,69.99,38.36,53.83,70.16,28.54,4.12,50.42,3.15
7.63,30.68, ,14.82,91.15,79.53, ,70.98,76.32, ,14.68,86.63,46.09, ,47.97, 
98.39,67.15,2.54,74.73,94.40,59.95,38.66,15.76,10.46,75.59, ,90.26,86.58,73.45,17.00,0.21
19.82,48.16, , ,38.59,16.52,93.76,66.80,17.84,43.71,41.65,84.93,22.51, , ,62.85
17.38,69.28,58.18,1.06,39.56,89.65,67.79,58.15,16.66,0.65,60.97,55.51,74.22,17.42,73.98, 
91.36,3.07,1.50,29.62,60.07,46.98,37.07,74.30,47.04,72.31,11.25, ,57.16,40.94,34.34,54.84
6.28,71.19,99.65,64.46,51.76,3.96,70.80, , ,81.40,14.76,3.74,51.73,18.21, ,52.54
90.31,13.86,91.86,88.11,13.15,35.32,49.06, ,83.41, ,64.81,74.90,41.66,5.34,22.48, 
75.02,28.33,19.45,87.54, ,71.10,50.01,28.17,9.64, ,55.07,47.29,80.89,34.65,6.25,7.63
 ,82.65,3.57,29.31,65.88,25.27,78.74,43.39,74.35, , ,8.10,4.12,39.64,35.74,11.29
32.42,48.18,25.41,93.41,72.11,52.16,96.26,72.65,37.81,92.67,3.83,49.33,1.85,12.99,13.77,10.53
 ,58.71,65.24,54.67,82.56,72.12,10.21,52.59,40.84,42.52,3.42,80.75,45.13,24.37,83.49,93.25
88.49,90.95,62.42,73.69,59.57,24.91, ,77.50,89.68,62.16, ,5.44,91.90,71.56,33.29,64.93
84.74,78.50,7.14, ,80.84,80.88,10.81,75.49,70.30,65.41,86.26,37.90,37.83,59.66,21.76, 
48.30,72.44,75.14,67.72,60.42,77.32,64.43,62.56,98.29, ,30.75,64.08,2.08,57.11,56.01,76.45
27.17,47.48,51.04,21.69,87.48,24.80,39.73,37.11,51.08,10.62,78.83, ,80.91,7.58,32.62,19.10
13.62, ,67.59,82.19,93.52,64.58,44.23,71.11,96.79,46.18,4.00,82.11,5.92,62.05,91.33,67.67
 ,62.13,62.67,54.12,29.72,8.70,36.31,18.99,2.22,5.99,83.58,20.54,50.21,87.89,91.65,31.55
84.68,13.83,77.73,92.08,17.83,2.75,74.19,72.30,8.66,32.91,34.36,57.23,24.24,82.86,24.90,23.23
44.99,87.56,77.35,74.70,96.27,13.66,93.70,98.49,19.65,77.27,19.03,69.86,65.16,10.68,1.41,49.84
24.50,79.15,41.92,42.34,81.89,16.11,14.64,90.56,49.02,49.00,47.79,73.26,31.86,72.68,96.49,76.85
